00_Uf_02	LTS19_SQ13
00_Uf_08	LTS20_TH09
01_1632_01	LTS19_SQ02
01_1632_02	LTS19_SQ14
02_EB_02	LTS19_SQ15
02_EB_03	LTS19_SQ25
03_LB_01	LTS19_SQ04
03_LB_02	LTS19_SQ16
04_EG_01	LTS19_SQ05
04_EG_02	LTS19_SQ17
04_EG_04	LTS20_TT01
05_MG1_01	LTS19_SQ06
05_MG1_02	LTS19_SQ18
05_MG1_04	LTS20_TT02
06_MG2_02	LTS19_SQ19
06_MG2_03	LTS19_SQ27
07_LG_01	LTS19_SQ08
07_LG_02	LTS19_SQ20
08_Tor_01	LTS19_SQ09
08_Tor_02	LTS19_SQ21
09_Hei_05	LTS19_SQ10
09_Hei_09	LTS19_SQ30
10_Me_05	LTS19_SO06
10_Me_06	LTS19_SQ29
11_Kr_06	LTS20_TH04
11_Kr_10	LTS20_TH03
12_Sp_06	LTS20_TH05
12_Sp_07	LTS20_TH01
13_Ag_06	LTS20_TH06
13_Ag_07	LTS20_TH02
14_TL_06	LTS20_TH07
15_Ad_11	LTS19_SQ12
