Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	349	239
OG0000001	501	454
OG0000002	519	489
OG0000003	345	199
OG0000004	418	338
OG0000005	447	421
OG0000006	207	165
OG0000007	187	152
OG0000008	399	357
OG0000009	415	337
OG0000010	385	335
OG0000011	368	272
OG0000012	420	384
OG0000013	438	413
OG0000014	370	343
OG0000015	312	276
OG0000016	308	257
OG0000017	386	295
OG0000018	393	318
OG0000019	342	300
OG0000020	165	136
OG0000021	254	231
OG0000022	502	485
OG0000023	251	211
OG0000024	341	244
OG0000025	344	267
OG0000026	321	291
OG0000027	336	319
OG0000028	242	218
OG0000029	269	238
OG0000030	235	183
OG0000031	154	118
OG0000032	248	229
OG0000033	309	245
OG0000034	177	152
OG0000035	180	154
OG0000036	216	190
OG0000037	197	172
OG0000038	195	113
OG0000039	216	187
OG0000040	292	279
OG0000041	210	174
OG0000042	279	256
OG0000043	285	256
OG0000044	203	175
OG0000045	206	158
OG0000046	257	236
OG0000047	249	194
OG0000048	151	128
OG0000049	168	141
OG0000050	241	214
OG0000051	244	230
OG0000052	280	230
OG0000053	219	189
OG0000054	238	221
OG0000055	269	232
OG0000056	183	154
OG0000057	246	223
OG0000058	168	124
OG0000059	174	155
OG0000060	186	172
OG0000061	144	135
OG0000062	202	171
OG0000063	168	139
OG0000064	190	169
OG0000065	213	203
OG0000066	165	120
OG0000067	190	172
OG0000068	179	154
OG0000069	161	96
OG0000070	140	123
OG0000071	198	173
OG0000072	131	94
OG0000073	187	171
OG0000074	176	158
OG0000075	84	73
OG0000076	185	143
OG0000077	117	91
OG0000078	171	152
OG0000079	149	126
OG0000080	205	161
OG0000081	170	152
OG0000082	153	133
OG0000083	192	172
OG0000084	151	141
OG0000085	93	67
OG0000086	167	126
OG0000087	79	41
OG0000088	161	150
OG0000089	171	157
OG0000090	111	80
OG0000091	199	183
OG0000092	273	273
OG0000093	176	157
OG0000094	167	147
OG0000095	161	141
OG0000096	69	51
OG0000097	179	163
OG0000098	136	115
OG0000099	124	118
OG0000100	172	130
OG0000101	139	129
OG0000102	177	166
OG0000103	159	146
OG0000104	106	88
OG0000105	146	135
OG0000106	126	111
OG0000107	143	80
OG0000108	137	120
OG0000109	158	140
OG0000110	139	130
OG0000111	123	114
OG0000112	186	173
OG0000113	142	129
OG0000114	126	119
OG0000115	134	109
OG0000116	144	132
OG0000117	93	52
OG0000118	188	176
OG0000119	108	98
OG0000120	126	92
OG0000121	128	113
OG0000122	131	116
OG0000123	88	72
OG0000124	78	64
OG0000125	95	85
OG0000126	94	81
OG0000127	58	41
OG0000128	119	104
OG0000129	100	88
OG0000130	100	88
OG0000131	142	130
OG0000132	157	150
OG0000133	163	151
OG0000134	167	145
OG0000135	175	160
OG0000136	157	148
OG0000137	102	94
OG0000138	152	125
OG0000139	165	159
OG0000140	117	95
OG0000141	106	101
OG0000142	104	68
OG0000143	212	212
OG0000144	148	135
OG0000145	146	118
OG0000146	131	92
OG0000147	81	60
OG0000148	103	90
OG0000149	100	93
OG0000150	208	208
OG0000151	90	82
OG0000152	128	108
OG0000153	126	112
OG0000154	133	113
OG0000155	124	105
OG0000156	179	169
OG0000157	68	47
OG0000158	91	77
OG0000159	102	79
OG0000160	129	117
OG0000161	130	97
OG0000162	134	117
OG0000163	87	69
OG0000164	110	99
OG0000165	71	58
OG0000166	85	70
OG0000167	81	64
OG0000168	91	80
OG0000169	121	106
OG0000170	188	179
OG0000171	84	73
OG0000172	117	110
OG0000173	82	74
OG0000174	102	93
OG0000175	101	94
OG0000176	170	152
OG0000177	192	192
OG0000178	133	118
OG0000179	72	60
OG0000180	85	72
OG0000181	69	54
OG0000182	117	102
OG0000183	90	80
OG0000184	109	100
OG0000185	85	77
OG0000186	72	38
OG0000187	115	94
OG0000188	83	55
OG0000189	182	176
