Species Tree Node	Duplications (all)	Duplications (50% support)
N0	385	92
N2	7865	663
NEMVE	7212	7212
N10	7704	4390
XENTR	4036	4036
SCHMD	12118	12118
HUMAN	5787	5787
N8	344	78
STRPU_ok	9974	9974
OWEFU	12826	12826
N11	4856	4856
DROME	9970	9970
N20	3873	3873
APOSJ_ok	38322	38322
BRAFL	5255	5255
ASTMX	1694	1694
N3	6170	121
DANRE	18713	18713
PFLAV	14701	14701
SACKO_ok	8544	8544
N12	1569	1569
N18	1425	1425
CAEEL	7748	7748
MOUSE	26067	26067
N19	296	97
ORYLA	2375	2375
N14	539	284
N15	2504	1976
N9	1330	115
APOSC_ok	3928	3928
N5	3090	25
BRALA	8728	8728
N13	898	123
N16	610	105
AENJA_ok	8243	8243
N17	2619	2619
AMPFI_ok	4773	4773
LYTVA_ok	8685	8685
N21	2047	1459
N22	148	148
HELIO_ok	449	449
CAPO3	978	978
N1	1806	181
YEAST	858	858
N4	109	39
N6	46	46
N7	4	4
