	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
AENJA_ok	0.0	943.0	1064.0	1878.0	919.0	1098.0	1345.0	453.0	362.0	1357.0	760.0	476.0	999.0	1163.0	1408.0	1594.0	875.0	1230.0	1661.0	1109.0	684.0	1354.0	856.0	367.0
AMPFI_ok	843.0	0.0	896.0	1738.0	966.0	1114.0	1519.0	455.0	295.0	1589.0	976.0	439.0	1037.0	981.0	1581.0	1617.0	1070.0	1372.0	1321.0	829.0	718.0	1184.0	821.0	412.0
APOSC_ok	1171.0	983.0	0.0	2389.0	2128.0	1550.0	1556.0	840.0	503.0	3088.0	1762.0	1099.0	2397.0	1778.0	3228.0	1734.0	1941.0	2129.0	2003.0	1557.0	1355.0	2408.0	1814.0	805.0
APOSJ_ok	3739.0	3611.0	4185.0	0.0	10615.0	4921.0	5015.0	2905.0	1334.0	16528.0	7726.0	3673.0	12703.0	6616.0	18186.0	6466.0	9679.0	8812.0	6590.0	5206.0	6361.0	10297.0	8784.0	1763.0
ASTMX	1081.0	1162.0	2560.0	6042.0	0.0	2049.0	2090.0	1507.0	564.0	1284.0	4372.0	986.0	1558.0	1665.0	3893.0	2441.0	774.0	3452.0	2098.0	1721.0	2501.0	2804.0	917.0	803.0
BRAFL	1479.0	1386.0	1900.0	2892.0	2211.0	0.0	1737.0	855.0	496.0	2988.0	1483.0	910.0	2287.0	1646.0	3025.0	2437.0	1934.0	2847.0	3109.0	2411.0	1117.0	2299.0	2021.0	578.0
BRALA	1726.0	1815.0	1903.0	3214.0	2276.0	1804.0	0.0	875.0	507.0	3116.0	1460.0	1023.0	2290.0	1938.0	3028.0	2898.0	2056.0	2891.0	3622.0	2501.0	1131.0	2316.0	2001.0	595.0
CAEEL	498.0	489.0	807.0	1430.0	1177.0	725.0	752.0	0.0	364.0	1579.0	1245.0	402.0	1213.0	635.0	1575.0	1062.0	1076.0	1150.0	787.0	692.0	1162.0	853.0	978.0	415.0
CAPO3	162.0	199.0	248.0	372.0	303.0	209.0	169.0	171.0	0.0	388.0	238.0	130.0	323.0	219.0	408.0	229.0	300.0	287.0	185.0	186.0	215.0	206.0	249.0	191.0
DANRE	2292.0	2640.0	5515.0	13564.0	2025.0	3952.0	4076.0	2942.0	1053.0	0.0	8514.0	2071.0	5205.0	3695.0	13866.0	5037.0	2335.0	7188.0	4349.0	3645.0	5247.0	6091.0	2425.0	1474.0
DROME	1209.0	1532.0	2637.0	5594.0	5166.0	1607.0	1778.0	1909.0	527.0	6409.0	0.0	1089.0	5280.0	1691.0	6600.0	2359.0	4805.0	3683.0	1754.0	1606.0	3281.0	2421.0	4327.0	815.0
HELIO_ok	412.0	392.0	784.0	1232.0	668.0	602.0	689.0	321.0	218.0	997.0	561.0	0.0	707.0	136.0	1019.0	762.0	665.0	806.0	693.0	540.0	440.0	192.0	595.0	282.0
HUMAN	1060.0	1197.0	2734.0	7241.0	1694.0	1937.0	2000.0	1529.0	577.0	4298.0	4362.0	1003.0	0.0	1879.0	3615.0	2573.0	1434.0	3687.0	2115.0	1707.0	2724.0	3312.0	1136.0	933.0
LYTVA_ok	1372.0	1107.0	1779.0	3362.0	1480.0	1375.0	1597.0	623.0	426.0	2331.0	1098.0	128.0	1683.0	0.0	2419.0	1739.0	1290.0	1919.0	1960.0	1406.0	1001.0	2000.0	1253.0	445.0
MOUSE	2297.0	2903.0	6435.0	16956.0	6100.0	4050.0	4082.0	3258.0	1157.0	16024.0	9881.0	2402.0	4700.0	4199.0	0.0	5635.0	5185.0	8372.0	4537.0	3700.0	6267.0	7365.0	2760.0	1687.0
NEMVE	1393.0	1303.0	1504.0	2944.0	1943.0	1810.0	1931.0	958.0	496.0	2796.0	1486.0	783.0	2154.0	1452.0	2829.0	0.0	1714.0	2114.0	2010.0	1401.0	1493.0	1964.0	1635.0	607.0
ORYLA	975.0	1029.0	2224.0	5213.0	759.0	1766.0	1760.0	1320.0	505.0	1589.0	3817.0	921.0	1318.0	1499.0	3186.0	2116.0	0.0	3066.0	1834.0	1412.0	2153.0	2488.0	767.0	702.0
OWEFU	1377.0	1523.0	2268.0	4563.0	3170.0	2329.0	2431.0	1360.0	659.0	4379.0	2678.0	1103.0	3472.0	1927.0	4600.0	2628.0	2947.0	0.0	2729.0	2309.0	2148.0	2496.0	2792.0	589.0
PFLAV	2604.0	2172.0	2775.0	4462.0	2559.0	3557.0	4128.0	1030.0	711.0	3546.0	1578.0	1434.0	2545.0	2806.0	3477.0	3345.0	2265.0	3590.0	0.0	3974.0	1524.0	3409.0	2082.0	712.0
SACKO_ok	1481.0	1264.0	1839.0	2897.0	1682.0	2241.0	2263.0	797.0	492.0	2495.0	1326.0	912.0	1823.0	1660.0	2420.0	1922.0	1472.0	2392.0	3166.0	0.0	1095.0	1947.0	1368.0	577.0
SCHMD	860.0	804.0	1490.0	3492.0	2310.0	1028.0	1097.0	1384.0	474.0	3455.0	2595.0	536.0	2616.0	1150.0	3922.0	1663.0	2072.0	2066.0	1239.0	998.0	0.0	1744.0	2084.0	842.0
STRPU_ok	2013.0	1788.0	3104.0	5969.0	2524.0	2437.0	2572.0	1007.0	610.0	3984.0	1726.0	277.0	3040.0	2510.0	4294.0	2872.0	2369.0	2841.0	3109.0	2137.0	1667.0	0.0	2178.0	625.0
XENTR	885.0	878.0	1945.0	4229.0	1073.0	1667.0	1713.0	1110.0	409.0	1851.0	2938.0	789.0	1046.0	1319.0	1975.0	1844.0	837.0	2481.0	1610.0	1198.0	1827.0	2040.0	0.0	601.0
YEAST	213.0	237.0	379.0	526.0	430.0	258.0	265.0	253.0	184.0	549.0	393.0	198.0	510.0	263.0	575.0	320.0	407.0	315.0	271.0	272.0	457.0	307.0	391.0	0.0
