	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
AENJA_ok	0.0	6805.0	6378.0	2526.0	3907.0	6246.0	6222.0	3251.0	3337.0	2359.0	2816.0	6666.0	3396.0	5845.0	1923.0	5155.0	3725.0	5192.0	6678.0	6798.0	2551.0	5744.0	4049.0	1620.0
AMPFI_ok	6805.0	0.0	6419.0	2652.0	3963.0	6123.0	6175.0	3168.0	3196.0	2395.0	2800.0	6883.0	3332.0	5845.0	1966.0	5116.0	3735.0	5141.0	6453.0	6666.0	2657.0	5760.0	3985.0	1580.0
APOSC_ok	6378.0	6419.0	0.0	6712.0	3763.0	5796.0	5723.0	2985.0	3066.0	2282.0	2739.0	6625.0	3237.0	5704.0	1828.0	4797.0	3558.0	4927.0	6119.0	6310.0	2482.0	5678.0	3878.0	1495.0
APOSJ_ok	2526.0	2652.0	6712.0	0.0	1445.0	2251.0	2254.0	1211.0	1191.0	868.0	1079.0	2594.0	1279.0	2287.0	718.0	1920.0	1343.0	1959.0	2398.0	2459.0	999.0	2229.0	1456.0	608.0
ASTMX	3907.0	3963.0	3763.0	1445.0	0.0	4287.0	4307.0	2338.0	2635.0	9624.0	2345.0	3878.0	8048.0	3216.0	4621.0	3635.0	11940.0	3638.0	4029.0	4227.0	1953.0	3285.0	8837.0	1400.0
BRAFL	6246.0	6123.0	5796.0	2251.0	4287.0	0.0	13798.0	3438.0	3621.0	2569.0	3043.0	6155.0	3668.0	5113.0	2007.0	5494.0	4141.0	5682.0	6714.0	6876.0	2641.0	5264.0	4481.0	1767.0
BRALA	6222.0	6175.0	5723.0	2254.0	4307.0	13798.0	0.0	3383.0	3543.0	2657.0	3006.0	5991.0	3736.0	5071.0	2132.0	5490.0	4119.0	5577.0	6609.0	6750.0	2723.0	5142.0	4434.0	1705.0
CAEEL	3251.0	3168.0	2985.0	1211.0	2338.0	3438.0	3383.0	0.0	2763.0	1441.0	2418.0	3211.0	2006.0	2706.0	1189.0	3061.0	2355.0	3000.0	3294.0	3385.0	1944.0	2794.0	2505.0	1584.0
CAPO3	3337.0	3196.0	3066.0	1191.0	2635.0	3621.0	3543.0	2763.0	0.0	1539.0	2302.0	3482.0	2033.0	2744.0	1147.0	3076.0	2666.0	3120.0	3432.0	3474.0	1748.0	2906.0	2770.0	1913.0
DANRE	2359.0	2395.0	2282.0	868.0	9624.0	2569.0	2657.0	1441.0	1539.0	0.0	1477.0	2264.0	5079.0	1887.0	3366.0	2219.0	7295.0	2203.0	2429.0	2562.0	1270.0	1987.0	5345.0	840.0
DROME	2816.0	2800.0	2739.0	1079.0	2345.0	3043.0	3006.0	2418.0	2302.0	1477.0	0.0	2843.0	1943.0	2307.0	1151.0	2682.0	2335.0	2749.0	2877.0	2989.0	1581.0	2417.0	2473.0	1325.0
HELIO_ok	6666.0	6883.0	6625.0	2594.0	3878.0	6155.0	5991.0	3211.0	3482.0	2264.0	2843.0	0.0	3258.0	7552.0	1795.0	5156.0	3736.0	5184.0	6434.0	6579.0	2499.0	7577.0	4053.0	1714.0
HUMAN	3396.0	3332.0	3237.0	1279.0	8048.0	3668.0	3736.0	2006.0	2033.0	5079.0	1943.0	3258.0	0.0	2761.0	8489.0	3017.0	7591.0	3063.0	3461.0	3593.0	1762.0	2787.0	9439.0	1058.0
LYTVA_ok	5845.0	5845.0	5704.0	2287.0	3216.0	5113.0	5071.0	2706.0	2744.0	1887.0	2307.0	7552.0	2761.0	0.0	1541.0	4303.0	3075.0	4316.0	5506.0	5657.0	2183.0	7255.0	3351.0	1348.0
MOUSE	1923.0	1966.0	1828.0	718.0	4621.0	2007.0	2132.0	1189.0	1147.0	3366.0	1151.0	1795.0	8489.0	1541.0	0.0	1729.0	4215.0	1712.0	1921.0	2045.0	1174.0	1551.0	5085.0	624.0
