	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
Number of genes	26838	26083	29170	65437	23079	27535	35997	20869	8362	43441	22111	12793	30709	30238	55736	26036	20499	31811	35285	34239	29850	27447	19291	6352
Number of genes in orthogroups	23289	20809	25932	62722	22653	26350	32620	16534	6896	42482	19920	12631	29256	25454	53647	20925	19778	28756	33569	26400	25087	26855	19080	4378
Number of unassigned genes	3549	5274	3238	2715	426	1185	3377	4335	1466	959	2191	162	1453	4784	2089	5111	721	3055	1716	7839	4763	592	211	1974
Percentage of genes in orthogroups	86.8	79.8	88.9	95.9	98.2	95.7	90.6	79.2	82.5	97.8	90.1	98.7	95.3	84.2	96.3	80.4	96.5	90.4	95.1	77.1	84.0	97.8	98.9	68.9
Percentage of unassigned genes	13.2	20.2	11.1	4.1	1.8	4.3	9.4	20.8	17.5	2.2	9.9	1.3	4.7	15.8	3.7	19.6	3.5	9.6	4.9	22.9	16.0	2.2	1.1	31.1
Number of orthogroups containing species	10274	10163	14018	15312	10530	13371	14463	6738	5170	11728	7549	9192	12835	11050	14075	9544	9374	11475	12491	12077	8209	11475	9324	3032
Percentage of orthogroups containing species	20.5	20.2	27.9	30.5	21.0	26.6	28.8	13.4	10.3	23.4	15.0	18.3	25.6	22.0	28.0	19.0	18.7	22.9	24.9	24.1	16.3	22.9	18.6	6.0
Number of species-specific orthogroups	891	623	333	1928	45	278	776	1407	192	684	1492	5	542	890	1419	753	146	1986	1113	989	1912	452	178	272
Number of genes in species-specific orthogroups	5640	2245	957	7889	155	991	3055	7803	799	3619	5295	10	2085	4789	6394	3087	685	8491	5425	4889	8931	2060	1668	863
Percentage of genes in species-specific orthogroups	21.0	8.6	3.3	12.1	0.7	3.6	8.5	37.4	9.6	8.3	23.9	0.1	6.8	15.8	11.5	11.9	3.3	26.7	15.4	14.3	29.9	7.5	8.6	13.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	39934	40045	36190	34896	39678	36837	35745	43470	45038	38480	42659	41016	37373	39158	36133	40664	40834	38733	37717	38131	41999	38733	40884	47176
'1	6940	6667	9409	4484	6197	9920	9808	4092	4328	4075	3450	7544	6409	6738	4052	5783	5543	6095	7805	8046	3114	6779	5875	2235
'2	1746	1854	2595	4045	2020	1731	2225	1334	573	2918	1879	1076	3099	2383	3306	2080	1838	2638	2136	2076	2660	2771	1845	573
'3	575	714	823	1578	909	598	824	449	147	1531	810	275	1472	688	2031	720	819	967	746	713	911	691	704	134
'4	283	319	410	1599	497	289	427	246	53	943	470	105	706	336	1336	291	423	534	413	330	507	370	363	43
'5	137	157	230	613	283	183	279	147	14	552	247	62	380	197	885	176	243	347	283	199	271	169	151	15
'6	110	110	154	697	174	112	163	99	22	361	169	34	229	124	563	95	151	206	178	126	168	142	89	10
'7	68	58	72	291	129	77	122	58	7	279	116	25	151	85	396	76	103	133	142	101	114	78	47	5
'8	47	49	59	435	68	67	99	46	5	196	84	14	95	64	303	55	54	82	96	73	93	69	38	2
'9	41	30	43	219	59	51	79	39	3	143	68	10	66	67	225	38	37	78	83	62	63	50	31	3
'10	21	25	36	185	43	50	51	27	5	111	56	6	46	49	172	23	20	54	69	38	55	35	27	3
11-15	108	83	102	578	76	126	139	68	5	318	118	22	100	143	444	88	74	158	216	135	118	138	66	4
16-20	68	44	37	247	34	62	84	43	2	127	39	11	42	72	172	38	32	72	126	64	41	49	37	2
21-50	111	39	45	315	38	90	146	81	3	149	40	7	37	92	172	70	35	106	174	103	69	117	43	3
51-100	18	9	3	24	3	15	14	9	3	17	3	1	3	10	16	9	2	5	21	9	15	14	6	0
101-150	1	5	0	1	0	0	2	0	0	4	0	0	0	2	2	2	0	0	3	1	5	3	2	0
151-200	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	79.5	79.8	72.1	69.5	79.0	73.4	71.2	86.6	89.7	76.6	85.0	81.7	74.4	78.0	72.0	81.0	81.3	77.1	75.1	75.9	83.7	77.1	81.4	94.0
'1	13.8	13.3	18.7	8.9	12.3	19.8	19.5	8.2	8.6	8.1	6.9	15.0	12.8	13.4	8.1	11.5	11.0	12.1	15.5	16.0	6.2	13.5	11.7	4.5
'2	3.5	3.7	5.2	8.1	4.0	3.4	4.4	2.7	1.1	5.8	3.7	2.1	6.2	4.7	6.6	4.1	3.7	5.3	4.3	4.1	5.3	5.5	3.7	1.1
'3	1.1	1.4	1.6	3.1	1.8	1.2	1.6	0.9	0.3	3.0	1.6	0.5	2.9	1.4	4.0	1.4	1.6	1.9	1.5	1.4	1.8	1.4	1.4	0.3
'4	0.6	0.6	0.8	3.2	1.0	0.6	0.9	0.5	0.1	1.9	0.9	0.2	1.4	0.7	2.7	0.6	0.8	1.1	0.8	0.7	1.0	0.7	0.7	0.1
'5	0.3	0.3	0.5	1.2	0.6	0.4	0.6	0.3	0.0	1.1	0.5	0.1	0.8	0.4	1.8	0.4	0.5	0.7	0.6	0.4	0.5	0.3	0.3	0.0
'6	0.2	0.2	0.3	1.4	0.3	0.2	0.3	0.2	0.0	0.7	0.3	0.1	0.5	0.2	1.1	0.2	0.3	0.4	0.4	0.3	0.3	0.3	0.2	0.0
'7	0.1	0.1	0.1	0.6	0.3	0.2	0.2	0.1	0.0	0.6	0.2	0.0	0.3	0.2	0.8	0.2	0.2	0.3	0.3	0.2	0.2	0.2	0.1	0.0
'8	0.1	0.1	0.1	0.9	0.1	0.1	0.2	0.1	0.0	0.4	0.2	0.0	0.2	0.1	0.6	0.1	0.1	0.2	0.2	0.1	0.2	0.1	0.1	0.0
'9	0.1	0.1	0.1	0.4	0.1	0.1	0.2	0.1	0.0	0.3	0.1	0.0	0.1	0.1	0.4	0.1	0.1	0.2	0.2	0.1	0.1	0.1	0.1	0.0
'10	0.0	0.0	0.1	0.4	0.1	0.1	0.1	0.1	0.0	0.2	0.1	0.0	0.1	0.1	0.3	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0
11-15	0.2	0.2	0.2	1.2	0.2	0.3	0.3	0.1	0.0	0.6	0.2	0.0	0.2	0.3	0.9	0.2	0.1	0.3	0.4	0.3	0.2	0.3	0.1	0.0
16-20	0.1	0.1	0.1	0.5	0.1	0.1	0.2	0.1	0.0	0.3	0.1	0.0	0.1	0.1	0.3	0.1	0.1	0.1	0.3	0.1	0.1	0.1	0.1	0.0
21-50	0.2	0.1	0.1	0.6	0.1	0.2	0.3	0.2	0.0	0.3	0.1	0.0	0.1	0.2	0.3	0.1	0.1	0.2	0.3	0.2	0.1	0.2	0.1	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	6940	6667	9409	4484	6197	9920	9808	4092	4328	4075	3450	7544	6409	6738	4052	5783	5543	6095	7805	8046	3114	6779	5875	2235
'2	3492	3708	5190	8090	4040	3462	4450	2668	1146	5836	3758	2152	6198	4766	6612	4160	3676	5276	4272	4152	5320	5542	3690	1146
'3	1725	2142	2469	4734	2727	1794	2472	1347	441	4593	2430	825	4416	2064	6093	2160	2457	2901	2238	2139	2733	2073	2112	402
'4	1132	1276	1640	6396	1988	1156	1708	984	212	3772	1880	420	2824	1344	5344	1164	1692	2136	1652	1320	2028	1480	1452	172
'5	685	785	1150	3065	1415	915	1395	735	70	2760	1235	310	1900	985	4425	880	1215	1735	1415	995	1355	845	755	75
'6	660	660	924	4182	1044	672	978	594	132	2166	1014	204	1374	744	3378	570	906	1236	1068	756	1008	852	534	60
'7	476	406	504	2037	903	539	854	406	49	1953	812	175	1057	595	2772	532	721	931	994	707	798	546	329	35
'8	376	392	472	3480	544	536	792	368	40	1568	672	112	760	512	2424	440	432	656	768	584	744	552	304	16
'9	369	270	387	1971	531	459	711	351	27	1287	612	90	594	603	2025	342	333	702	747	558	567	450	279	27
'10	210	250	360	1850	430	500	510	270	50	1110	560	60	460	490	1720	230	200	540	690	380	550	350	270	30
11-15	1364	1024	1276	7247	949	1604	1804	843	59	4003	1493	277	1267	1775	5607	1110	934	1993	2764	1701	1473	1755	836	48
16-20	1204	775	660	4361	602	1101	1492	768	34	2237	698	187	735	1293	3047	680	555	1266	2247	1122	730	883	651	35
21-50	3377	1212	1309	9033	1061	2710	4325	2551	97	4466	1111	212	1071	2632	4847	2136	959	3008	5146	3131	2072	3497	1327	97
