transcript_id	gene_id
rna-XM_035817715.1	LOC118414000
rna-XM_035817741.1	LOC118414000
rna-XM_035817733.1	LOC118414000
rna-XM_035817723.1	LOC118414000
rna-XM_035817707.1	LOC118414000
rna-XM_035827936.1	LOC118420880
rna-XM_035816464.1	LOC118413228
rna-XM_035819423.1	LOC118415041
rna-XM_035819436.1	LOC118415051
rna-XM_035812320.1	LOC118410551
rna-XM_035826798.1	LOC118420091
rna-XM_035827032.1	LOC118420295
rna-XM_035827058.1	LOC118420308
rna-XM_035807008.1	LOC118406705
rna-XM_035827221.1	LOC118420427
rna-XM_035827253.1	LOC118420449
rna-XM_035827266.1	LOC118420454
rna-XM_035827304.1	LOC118420476
rna-XM_035827512.1	LOC118420641
rna-XM_035832710.1	LOC118424169
rna-XM_035826045.1	LOC118419591
rna-XM_035827573.1	LOC118420676
rna-XM_035839568.1	LOC118429128
rna-XM_035839654.1	LOC118429128
rna-XM_035836829.1	LOC118427189
rna-XM_035840550.1	LOC118429918
rna-XM_035827777.1	LOC118420784
rna-XM_035827818.1	LOC118420808
rna-XM_035827844.1	LOC118420821
rna-XM_035810081.1	LOC118409209
rna-XM_035810070.1	LOC118409198
rna-XM_035828187.1	LOC118421037
rna-XM_035833315.1	LOC118424654
rna-XM_035831630.1	LOC118423459
rna-XM_035818397.1	LOC118414372
rna-XM_035828214.1	LOC118421048
rna-XM_035828295.1	LOC118421131
rna-XM_035828324.1	LOC118421160
rna-XM_035822111.1	LOC118416839
rna-XM_035828354.1	LOC118421189
rna-XM_035824558.1	LOC118418564
rna-XM_035828472.1	LOC118421258
rna-XM_035828648.1	LOC118421383
rna-XM_035828659.1	LOC118421393
rna-XM_035828683.1	LOC118421411
rna-XM_035828696.1	LOC118421419
rna-XM_035828780.1	LOC118421468
rna-XM_035828263.1	LOC118421100
rna-XM_035828849.1	LOC118421529
rna-XM_035822560.1	LOC118417147
rna-XM_035811822.1	LOC118410260
rna-XM_035828882.1	LOC118421544
rna-XM_035828906.1	LOC118421561
rna-XM_035828984.1	LOC118421620
rna-XM_035815974.1	LOC118412913
rna-XM_035815993.1	LOC118412924
rna-XM_035815984.1	LOC118412924
rna-XM_035828963.1	LOC118421602
rna-XM_035828972.1	LOC118421602
rna-XM_035829282.1	LOC118421778
rna-XM_035829325.1	LOC118421820
rna-XM_035829346.1	LOC118421842
rna-XM_035829449.1	LOC118421943
rna-XM_035829498.1	LOC118421992
rna-XM_035829528.1	LOC118422021
rna-XM_035839239.1	LOC118428940
rna-XM_035839253.1	LOC118428946
rna-XM_035839263.1	LOC118428946
rna-XM_035829682.1	LOC118422162
rna-XM_035829799.1	LOC118422277
rna-XM_035810098.1	LOC118409228
rna-XM_035829810.1	LOC118422288
rna-XM_035829851.1	LOC118422329
rna-XM_035825949.1	LOC118419510
rna-XM_035825941.1	LOC118419510
rna-XM_035825934.1	LOC118419510
rna-XM_035825967.1	LOC118419510
rna-XM_035825957.1	LOC118419510
rna-XM_035825925.1	LOC118419510
rna-XM_035835423.1	LOC118426158
rna-XM_035840900.1	LOC118429979
rna-XM_035840828.1	LOC118429979
rna-XM_035840671.1	LOC118429979
rna-XM_035840754.1	LOC118429979
rna-XM_035841234.1	LOC118430325
rna-XM_035841150.1	LOC118430325
rna-XM_035829872.1	LOC118422349
rna-XM_035841014.1	LOC118430258
rna-XM_035840148.1	LOC118429607
rna-XM_035819616.1	LOC118415214
rna-XM_035830445.1	LOC118422721
rna-XM_035832886.1	LOC118421626
rna-XM_035829562.1	LOC118422053
rna-XM_035839984.1	LOC118429460
rna-XM_035828001.1	LOC118420922
rna-XM_035828021.1	LOC118420922
rna-XM_035828013.1	LOC118420922
rna-XM_035828036.1	LOC118420922
rna-XM_035828029.1	LOC118420922
rna-XM_035828044.1	LOC118420922
rna-XM_035834716.1	LOC118425681
rna-XM_035825797.1	LOC118419426
rna-XM_035830587.1	LOC118422808
rna-XM_035830622.1	LOC118422835
rna-XM_035830673.1	LOC118422856
rna-XM_035825786.1	LOC118419415
rna-XM_035830713.1	LOC118422877
rna-XM_035825829.1	LOC118419450
rna-XM_035825775.1	LOC118419404
rna-XM_035825806.1	LOC118419436
rna-XM_035830748.1	LOC118422898
rna-XM_035830773.1	LOC118422916
rna-XM_035830795.1	LOC118422924
rna-XM_035832960.1	LOC118424402
rna-XM_035832969.1	LOC118424402
rna-XM_035832980.1	LOC118424416
rna-XM_035836033.1	LOC118426542
rna-XM_035830844.1	LOC118422954
rna-XM_035829829.1	LOC118422299
rna-XM_035829821.1	LOC118422299
rna-XM_035829840.1	LOC118422318
rna-XM_035811265.1	LOC118409888
rna-XM_035809894.1	LOC118408995
rna-XM_035830898.1	LOC118423002
rna-XM_035838409.1	LOC118428362
rna-XM_035838404.1	LOC118428362
rna-XM_035833207.1	LOC118424576
rna-XM_035830964.1	LOC118423055
rna-XM_035831061.1	LOC118423083
rna-XM_035825874.1	LOC118419478
rna-XM_035825882.1	LOC118419478
rna-XM_035825893.1	LOC118419478
rna-XM_035825853.1	LOC118419469
rna-XM_035825862.1	LOC118419469
rna-XM_035827764.1	LOC118420766
rna-XM_035827747.1	LOC118420766
rna-XM_035827755.1	LOC118420766
rna-XM_035832376.1	LOC118423989
rna-XM_035832368.1	LOC118423989
rna-XM_035831434.1	LOC118423315
rna-XM_035810785.1	LOC118409628
rna-XM_035810799.1	LOC118409635
rna-XM_035810808.1	LOC118409635
rna-XM_035834427.1	LOC118425525
rna-XM_035834436.1	LOC118425525
rna-XM_035831319.1	LOC118423235
rna-XM_035831310.1	LOC118423235
rna-XM_035832822.1	LOC118424275
rna-XM_035832828.1	LOC118424275
rna-XM_035831464.1	LOC118423339
rna-XM_035836322.1	LOC118426776
rna-XM_035836231.1	LOC118426681
rna-XM_035836223.1	LOC118426681
rna-XM_035836248.1	LOC118426681
rna-XM_035836215.1	LOC118426681
rna-XM_035836257.1	LOC118426681
rna-XM_035836206.1	LOC118426681
rna-XM_035836239.1	LOC118426681
rna-XM_035836263.1	LOC118426681
rna-XM_035836287.1	LOC118426681
rna-XM_035836271.1	LOC118426681
rna-XM_035836279.1	LOC118426681
rna-XM_035836309.1	LOC118426681
rna-XM_035836293.1	LOC118426681
rna-XM_035836315.1	LOC118426681
rna-XM_035836300.1	LOC118426681
rna-XM_035836320.1	LOC118426681
rna-XM_035822972.1	LOC118417405
rna-XM_035822987.1	LOC118417405
rna-XM_035823003.1	LOC118417405
rna-XM_035822964.1	LOC118417405
rna-XM_035822980.1	LOC118417405
rna-XM_035822995.1	LOC118417405
rna-XM_035807886.1	LOC118407381
rna-XM_035807958.1	LOC118407381
rna-XM_035829693.1	LOC118422173
rna-XM_035831491.1	LOC118423371
rna-XM_035819457.1	LOC118415059
rna-XM_035831618.1	LOC118423452
rna-XM_035831641.1	LOC118423469
rna-XM_035818932.1	LOC118414714
rna-XM_035818941.1	LOC118414714
rna-XM_035818923.1	LOC118414714
rna-XM_035818916.1	LOC118414714
rna-XM_035835823.1	LOC118426422
rna-XM_035835807.1	LOC118426422
rna-XM_035835815.1	LOC118426422
rna-XM_035835800.1	LOC118426422
rna-XM_035831654.1	LOC118423477
rna-XM_035824425.1	LOC118418478
rna-XM_035831669.1	LOC118423496
rna-XM_035831883.1	LOC118423646
rna-XM_035833564.1	LOC118424787
rna-XM_035833572.1	LOC118424787
rna-XM_035833578.1	LOC118424787
rna-XM_035831918.1	LOC118423686
rna-XM_035831919.1	LOC118423702
rna-XM_035831997.1	LOC118423775
rna-XM_035832086.1	LOC118423820
rna-XM_035811246.1	LOC118409874
rna-XM_035811235.1	LOC118409859
rna-XM_035811226.1	LOC118409859
rna-XM_035811208.1	LOC118409839
rna-XM_035811200.1	LOC118409839
rna-XM_035811216.1	LOC118409839
rna-XM_035832215.1	LOC118423895
rna-XM_035832240.1	LOC118423921
rna-XM_035832285.1	LOC118423952
