RNAseq_amphioxus_10h_rep1	10h	1
RNAseq_amphioxus_10h_rep2	10h	2
RNAseq_amphioxus_11h_rep1	11h	1
RNAseq_amphioxus_11h_rep2	11h	2
RNAseq_amphioxus_15h_rep1	15h	1
RNAseq_amphioxus_15h_rep2	15h	2
RNAseq_amphioxus_15h_rep3	15h	3
RNAseq_amphioxus_15h_rep4	15h	4
RNAseq_amphioxus_18h_rep1	18h	1
RNAseq_amphioxus_18h_rep2	18h	2
RNAseq_amphioxus_24h_rep1	24h	1
RNAseq_amphioxus_27h_rep1	27h	1
RNAseq_amphioxus_27h_rep2	27h	2
RNAseq_amphioxus_32cells_rep1	32cells	1
RNAseq_amphioxus_32cells_rep2	32cells	2
RNAseq_amphioxus_32cells_rep3	32cells	3
RNAseq_amphioxus_32cells_rep4	32cells	4
RNAseq_amphioxus_32cells_rep5	32cells	5
RNAseq_amphioxus_36h_rep1	36h	1
RNAseq_amphioxus_36h_rep2	36h	2
RNAseq_amphioxus_36h_rep3	36h	3
RNAseq_amphioxus_50h_rep1	50h	1
RNAseq_amphioxus_50h_rep2	50h	2
RNAseq_amphioxus_60h_rep1	60h	1
RNAseq_amphioxus_60h_rep2	60h	2
RNAseq_amphioxus_7h_rep1	7h	1
RNAseq_amphioxus_7h_rep2	7h	2
RNAseq_amphioxus_8h_rep1	8h	1
RNAseq_amphioxus_8h_rep2	8h	2
RNAseq_amphioxus_Blastula_rep1	Blastula	1
RNAseq_amphioxus_Blastula_rep2	Blastula	2
