AcSc	T				1		1	unpublished	TCT	Endodermal-anterior, ectodermal-ventral, ectodermal apical, ectodermal-blastopore
activin	S	XLOC_039072		growth/differentiation factor 8-like		1		unpublished	Chin-Yi Lin	Mesodermal-ventral
admp1	S	XLOC_021755	KP744521	bone morphogenetic protein 2-like			1	Chang et al., 2016	Chang et al.	Ectodermal-ventral, ectodermal-apical
admp2	S	XLOC_018458	KP744519	bone morphogenetic protein 2-like		1	1	Rottinger et al., 2015; Chang et al., 2016	Gigi	Ectodermal-dorsal, Mesodermal-dorsal
aim1	O (actin-binding protein)						1	unpublished	Cindy	Ectodermal-blastopore
alk4/5/7	S (receptor protein)	XLOC_001950		TGF-beta receptor type-1	1	1	1	unpublished	Chin-Yi Lin	Ubiquitous, weak signal in the apical region and the ciliary bnad
alx	T	XLOC_002630		visual system homeobox 2-like		1		unpublished	Cindy	Mesodermal-ventral
arrestin	S	XLOC_014610		beta-arrestin-1-like isoform X1		1	1	unpublished	Cindy	Mesodermal-dorsal, ectodermal-apical
atonal	T	XLOC_021499		basic helix-loop-helix transcription factor amos-like			1	unpublished	Cindy	Ectodermal-apical
axin	S	XLOC_008818		axin-1 isoform X1	1		1	unpublished	Chin-Yi Lin	Endodermal-posterior, posterior ectoderm
bmp2/4	S	XLOC_006966	AB028219.1	bone morphogenetic protein 2-like		1	1	Harada et al., 2002; Röttinger and Martindale, 2011; Su et al., 2019	Harada et al., Röttinger and Martindale and Su et al.	Mesodermal-dorsal, ectodermal-dorsal
bmp5/8	S	XLOC_012737		bone morphogenetic protein 6		1	1		Gigi	Mesodermal-dorsal, ectodermal-apical, ectodermal-blastopore
brachyury (Bra)	T	XLOC_034300	AB004912.1	brachyury protein	1		1	Tagawa et al., 1998; Peterson et al., 1999; Röttinger and Martindale, 2011	Tagawa et al., Peterson et al. and Röttinger and Martindale, 2011	Endodermal-posterior, ectodermal-ventral, ectodermal-blastopore
brn3	T	XLOC_030744		POU domain| class 4| transcription factor 3			1	unpublished	Cindy	Ectodermal ventral, ectodermal-dorsal, ectodermal-blastopore
bsx	T	XLOC_012314		brain-specific homeobox protein homolog			1	unpublished	Chin-Yi Lin	Right side cilia
calmenin	S				1		1	Tagawa et al., 2014	Tagawa et al.	Endodermal-anterrior, Ectodermal-dorsal, ectodermal-apical
CaM-K	O (Calcium/calmodulin-dependent protein kinase)	XLOC_035578		calcium/calmodulin-dependent protein kinase type 1-like		1	1	Tagawa et al., 2014	Tagawa et al.	Mesodermal-ventral, ectodermal-ventral, ectodermal-apical
caudal-like	T				1	1		unpublished	Cindy	Endodermal-anterior, whole mesoderm
