Orthogroup	BRAFL	DROME
OG0000000	bflo_10712, bflo_10733	DROME16218, DROME16219
OG0000000	bflo_04183	DROME04813
OG0000000	bflo_26461, bflo_26462	DROME07346
OG0000000	bflo_24421, bflo_24425, bflo_09165	DROME14805, DROME14806
OG0000000	bflo_08798	DROME15599
OG0000000	bflo_09701	DROME15463, DROME15462
OG0000000	bflo_10072	DROME11250
OG0000000	bflo_10147	DROME14878
OG0000000	bflo_16599	DROME21328, DROME21327
OG0000000	bflo_16111	DROME20419
OG0000000	bflo_08732	DROME03422
OG0000000	bflo_26435	DROME12799
OG0000000	bflo_10637	DROME16097
OG0000000	bflo_19045	DROME01107
OG0000000	bflo_00450	DROME17319
OG0000000	bflo_00191	DROME13389, DROME13388
OG0000000	bflo_15523	DROME11314
OG0000000	bflo_00195	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	bflo_00192	DROME13413
OG0000000	bflo_00197	DROME13414
OG0000000	bflo_00617, bflo_23916	DROME10025
OG0000000	bflo_00176	DROME16399
OG0000000	bflo_10639	DROME17718
OG0000000	bflo_26449, bflo_00194, bflo_00920	DROME15341, DROME15342, DROME15343
OG0000000	bflo_14857	DROME03546, DROME03545, DROME13420
OG0000000	bflo_00526	DROME04989
OG0000000	bflo_10437	DROME16202
OG0000000	bflo_10148, bflo_18457	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927	DROME04936, DROME08706, DROME19770
OG0000002	bflo_13037, bflo_13533	DROME21552, DROME21551
OG0000002	bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984	DROME14626, DROME12189, DROME02894
OG0000005	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372	DROME15227
OG0000006	bflo_14856, bflo_15258	DROME08113
OG0000006	bflo_22120	DROME01994, DROME01995, DROME01996
OG0000006	bflo_16305	DROME07928
OG0000006	bflo_22526	DROME00104
OG0000006	bflo_12576	DROME19258, DROME19257, DROME19259
OG0000006	bflo_23572	DROME21396
OG0000006	bflo_22579	DROME15583
OG0000006	bflo_06220	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	bflo_08237	DROME19786, DROME00664
OG0000006	bflo_08431	DROME18045, DROME18046, DROME18044
OG0000006	bflo_22598	DROME00147, DROME00148
OG0000006	bflo_15412	DROME19780, DROME19779, DROME19781
OG0000006	bflo_10980	DROME21674, DROME21675, DROME21673
OG0000007	bflo_13266	DROME12545
OG0000007	bflo_05651	DROME16994, DROME16993
OG0000007	bflo_16444, bflo_15598	DROME17568, DROME17567
OG0000007	bflo_25603	DROME07864
OG0000007	bflo_10207, bflo_23632, bflo_13761	DROME09292
OG0000007	bflo_00716	DROME18346
OG0000007	bflo_12369	DROME14142
OG0000007	bflo_23309	DROME19603, DROME19602
OG0000007	bflo_23091	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	bflo_11392	DROME21792, DROME00712, DROME00713
OG0000008	bflo_09106, bflo_19282	DROME05669
OG0000008	bflo_12140	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000008	bflo_11080	DROME15136
OG0000010	bflo_08401	DROME10941
OG0000010	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000010	bflo_21956	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652
OG0000012	bflo_04680, bflo_21369, bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	DROME14687, DROME14686
OG0000012	bflo_16244, bflo_17650, bflo_27278	DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820
OG0000013	bflo_11697, bflo_11698	DROME14257, DROME14247, DROME14258, DROME18111, DROME14254, DROME14255, DROME14256, DROME14251, DROME14252, DROME14250, DROME03185, DROME16203, DROME07507, DROME07508, DROME03238, DROME03237, DROME00659, DROME03236, DROME01152, DROME14613, DROME14614, DROME03497, DROME02996, DROME02995, DROME06577, DROME02994
OG0000013	bflo_16773, bflo_16475, bflo_16445, bflo_16476	DROME03979, DROME03978
OG0000014	bflo_17972	DROME06381
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941, bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893, bflo_18525, bflo_05141	DROME05409, DROME03987
OG0000014	bflo_04326, bflo_04339, bflo_04331	DROME14595, DROME14594
OG0000015	bflo_14874	DROME11913, DROME20981, DROME20982
OG0000015	bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	bflo_12769	DROME01609
OG0000019	bflo_04872, bflo_04871, bflo_24292	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	bflo_19465	DROME22108
OG0000020	bflo_17473, bflo_27211, bflo_24908	DROME02490
OG0000020	bflo_16368	DROME11466, DROME11467
OG0000020	bflo_14118	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	bflo_07448	DROME03151, DROME03150
OG0000020	bflo_00687	DROME14454, DROME14455
OG0000021	bflo_11723	DROME18320, DROME18321
OG0000021	bflo_20935	DROME08269
OG0000021	bflo_20505, bflo_09681	DROME00802, DROME00801
OG0000021	bflo_27402, bflo_22537, bflo_22539, bflo_22305	DROME08091
OG0000021	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456	DROME04919, DROME04917, DROME04918
OG0000023	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000027	bflo_08030, bflo_00219, bflo_00221, bflo_00220, bflo_22002, bflo_20174	DROME13849, DROME08050
OG0000028	bflo_14636, bflo_15358	DROME00133, DROME09421
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	bflo_06341	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000030	bflo_08323, bflo_05230	DROME12966
OG0000030	bflo_23616	DROME11112, DROME11110, DROME11113, DROME11111
OG0000030	bflo_05555, bflo_23730	DROME06898
OG0000030	bflo_22462	DROME12965
OG0000031	bflo_02624	DROME19945
OG0000031	bflo_02501	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	bflo_15458	DROME09230
OG0000031	bflo_15459	DROME05246
OG0000032	bflo_01810	DROME02388
OG0000032	bflo_23561, bflo_23038, bflo_01635	DROME01213
OG0000034	bflo_20326	DROME20092, DROME20090, DROME20091
OG0000034	bflo_03308, bflo_13145	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	bflo_05871	DROME13496
OG0000034	bflo_03310	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	bflo_15884	DROME03104, DROME03105
OG0000034	bflo_03379	DROME20524
OG0000035	bflo_02157	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	bflo_09462	DROME19358, DROME19359
OG0000035	bflo_09767, bflo_09277	DROME17164, DROME17163
OG0000036	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305
OG0000036	bflo_12806, bflo_12805	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	bflo_01343	DROME13887, DROME14759, DROME14760
OG0000037	bflo_10199, bflo_10232, bflo_10192	DROME20237
OG0000037	bflo_10180	DROME08695, DROME15640, DROME04516
OG0000038	bflo_18855	DROME13993
OG0000039	bflo_15832	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	bflo_16781, bflo_18133, bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	bflo_05956	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	bflo_14922	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	bflo_07748	DROME03638
OG0000044	bflo_07502, bflo_13320, bflo_10330, bflo_00108, bflo_00107, bflo_01958, bflo_01243, bflo_26025, bflo_26127, bflo_26635	DROME17013
OG0000045	bflo_01071	DROME00740, DROME05490, DROME00741, DROME00650
OG0000046	bflo_18241	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304
