HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N21.HOG0000000	OG0000000	n32														LYTVA_09514										
N21.HOG0000001	OG0000000	n47												HELIO_01999		LYTVA_01679								STRPU_10146, STRPU_10084		
N21.HOG0000002	OG0000000	n97														LYTVA_23170								STRPU_22262		
N21.HOG0000003	OG0000000	n128												HELIO_08880		LYTVA_01380								STRPU_10304		
N21.HOG0000004	OG0000000	n189												HELIO_10837		LYTVA_25096								STRPU_10010		
N21.HOG0000005	OG0000000	n206												HELIO_06752		LYTVA_01827								STRPU_10083, STRPU_10145		
N21.HOG0000006	OG0000000	n251												HELIO_10666		LYTVA_18988								STRPU_10015		
N21.HOG0000007	OG0000000	n283												HELIO_00795		LYTVA_18985								STRPU_10016		
N21.HOG0000008	OG0000000	n321																						STRPU_19865, STRPU_19892		
N21.HOG0000009	OG0000000	n357														LYTVA_13103								STRPU_02929		
N21.HOG0000010	OG0000000	n384														LYTVA_27688								STRPU_19906		
N21.HOG0000011	OG0000000	n396												HELIO_03148										STRPU_03800		
N21.HOG0000012	OG0000000	n416												HELIO_09005		LYTVA_21959								STRPU_23673, STRPU_23648		
N21.HOG0000013	OG0000000	n431												HELIO_02157		LYTVA_22602								STRPU_09982, STRPU_09961		
N21.HOG0000014	OG0000000	n456												HELIO_11687		LYTVA_19974								STRPU_20780		
N21.HOG0000015	OG0000000	n484														LYTVA_27704								STRPU_23557		
N21.HOG0000016	OG0000000	n498														LYTVA_08678								STRPU_23206		
N21.HOG0000017	OG0000000	n542																						STRPU_05654		
N21.HOG0000018	OG0000000	n565																						STRPU_23204		
N21.HOG0000019	OG0000000	n574														LYTVA_08668								STRPU_23203		
N21.HOG0000020	OG0000000	n612												HELIO_04988		LYTVA_23667								STRPU_05390		
N21.HOG0000021	OG0000000	n637														LYTVA_22477								STRPU_23197, STRPU_23198		
N21.HOG0000022	OG0000000	n712												HELIO_00700		LYTVA_22478								STRPU_23196		
N21.HOG0000023	OG0000000	n751														LYTVA_22480								STRPU_23194		
N21.HOG0000024	OG0000000	n783														LYTVA_22479								STRPU_23195		
N21.HOG0000025	OG0000000	n786												HELIO_00534		LYTVA_23047								STRPU_23756		
N21.HOG0000026	OG0000000	n818														LYTVA_14838								STRPU_22253		
N21.HOG0000027	OG0000000	n853												HELIO_08573										STRPU_09852		
N21.HOG0000028	OG0000000	n855														LYTVA_06897										
N21.HOG0000029	OG0000000	n889														LYTVA_22068										
N21.HOG0000030	OG0000000	n913														LYTVA_22476								STRPU_23199		
N21.HOG0000031	OG0000000	n970														LYTVA_22475								STRPU_23200		
N21.HOG0000032	OG0000000	n984												HELIO_11400										STRPU_25072		
N21.HOG0000033	OG0000000	n993												HELIO_04994		LYTVA_29838								STRPU_23201		
N21.HOG0000034	OG0000000	n999														LYTVA_27097								STRPU_25677		
N21.HOG0000035	OG0000000	n1001														LYTVA_29834								STRPU_23202		
N21.HOG0000036	OG0000000	n1014														LYTVA_22714								STRPU_05830		
N21.HOG0000037	OG0000000	n1046														LYTVA_09826										
N21.HOG0000038	OG0000000	n1058												HELIO_06829		LYTVA_19015								STRPU_23207		
N21.HOG0000039	OG0000000	n1091														LYTVA_26599								STRPU_10189		
N21.HOG0000040	OG0000000	n1136														LYTVA_17046								STRPU_09890		
N21.HOG0000041	OG0000000	n1166												HELIO_00816		LYTVA_23349								STRPU_21017		
N21.HOG0000042	OG0000000	n1191												HELIO_04090		LYTVA_23351								STRPU_21014		
N21.HOG0000043	OG0000001	n23																						STRPU_14334		
N21.HOG0000044	OG0000001	n54														LYTVA_16225								STRPU_05173, STRPU_05094		
