Orthogroup	APOSC_ok	HUMAN
OG0000000	APOSC_11837, APOSC_12606	HUMAN22097, HUMAN03752
OG0000000	APOSC_11472, APOSC_29094	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	APOSC_25410	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	APOSC_11604	HUMAN03805, HUMAN22626
OG0000000	APOSC_19137	HUMAN29337, HUMAN01254
OG0000000	APOSC_11544	HUMAN28889, HUMAN05731
OG0000000	APOSC_06717	HUMAN05644
OG0000000	APOSC_04208	HUMAN03433
OG0000000	APOSC_07565	HUMAN02527
OG0000000	APOSC_22022	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096
OG0000000	APOSC_04964	HUMAN07512, HUMAN22413
OG0000000	APOSC_16565	HUMAN07513
OG0000000	APOSC_27318	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515
OG0000000	APOSC_14732	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	APOSC_24894	HUMAN27325, HUMAN27326
OG0000000	APOSC_24788	HUMAN12743, HUMAN26016
OG0000000	APOSC_28968	HUMAN22154, HUMAN24253
OG0000000	APOSC_18629	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104
OG0000000	APOSC_10621	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	APOSC_22429	HUMAN26107, HUMAN17898
OG0000000	APOSC_04636	HUMAN27579, HUMAN22230
OG0000000	APOSC_18693	HUMAN27580, HUMAN03523, HUMAN24243
OG0000000	APOSC_00117	HUMAN18756
OG0000000	APOSC_08607	HUMAN08319
OG0000001	APOSC_22349, APOSC_16849, APOSC_06282, APOSC_27210	HUMAN10622
OG0000002	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614	HUMAN22770
OG0000002	APOSC_26642	HUMAN20270
OG0000003	APOSC_20479	HUMAN10010
OG0000003	APOSC_02027	HUMAN02915
OG0000004	APOSC_03634	HUMAN27462, HUMAN27463, HUMAN27619
OG0000004	APOSC_06431, APOSC_27025	HUMAN27575
OG0000004	APOSC_28247	HUMAN26466
OG0000005	APOSC_21707	HUMAN01465
OG0000006	APOSC_21099	HUMAN20053
OG0000006	APOSC_10640	HUMAN00944
OG0000006	APOSC_17637	HUMAN22351, HUMAN05133
OG0000006	APOSC_08216	HUMAN21718, HUMAN29537
OG0000006	APOSC_08805	HUMAN02118, HUMAN29294
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	APOSC_25251, APOSC_25252	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	APOSC_19228	HUMAN25905
OG0000006	APOSC_11581	HUMAN23524
OG0000006	APOSC_02745	HUMAN03111
OG0000006	APOSC_10711	HUMAN14338, HUMAN14017
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	APOSC_06790, APOSC_06791	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	APOSC_16303	HUMAN16426, HUMAN23135
OG0000007	APOSC_04982	HUMAN24418, HUMAN11538
OG0000007	APOSC_19545	HUMAN09570, HUMAN28803
OG0000007	APOSC_11262	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	APOSC_29119	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	APOSC_07509	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	APOSC_11745	HUMAN11539
OG0000007	APOSC_20868	HUMAN28408
OG0000007	APOSC_21514	HUMAN24416
OG0000007	APOSC_25152	HUMAN24417, HUMAN11533
OG0000007	APOSC_04562	HUMAN12258, HUMAN07103, HUMAN07102
OG0000007	APOSC_09541, APOSC_09542	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	APOSC_22651	HUMAN25936, HUMAN13634
OG0000007	APOSC_10715	HUMAN13395
OG0000007	APOSC_17950	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	APOSC_07482	HUMAN08248
OG0000008	APOSC_05395	HUMAN29311, HUMAN29312
OG0000008	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569
OG0000010	APOSC_17642	HUMAN11412, HUMAN11410, HUMAN11411
OG0000010	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160	HUMAN06405, HUMAN06406
OG0000010	APOSC_25939	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615
OG0000012	APOSC_26906, APOSC_13089	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	APOSC_26545	HUMAN11190
OG0000012	APOSC_14826	HUMAN11191
OG0000013	APOSC_00689	HUMAN22810
OG0000013	APOSC_26024, APOSC_17612	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	APOSC_00187	HUMAN25476, HUMAN30053
OG0000015	APOSC_22269	HUMAN22985
OG0000015	APOSC_02353	HUMAN25366
OG0000015	APOSC_04279	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	APOSC_09216	HUMAN10581, HUMAN10583, HUMAN12987
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907	HUMAN07767
OG0000016	APOSC_14883	HUMAN25103
OG0000016	APOSC_28721	HUMAN25104
OG0000016	APOSC_19884	HUMAN06120, HUMAN04223
OG0000019	APOSC_14801, APOSC_11507	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000020	APOSC_14708	HUMAN12659
OG0000020	APOSC_20703	HUMAN17841
OG0000020	APOSC_13376	HUMAN08344
OG0000020	APOSC_28648	HUMAN00926
OG0000020	APOSC_00691	HUMAN02145
OG0000020	APOSC_03094	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	APOSC_05461	HUMAN23847
OG0000020	APOSC_14067	HUMAN22639
OG0000020	APOSC_25230	HUMAN20816
OG0000021	APOSC_11990	HUMAN20500
OG0000021	APOSC_06563, APOSC_06562	HUMAN30680, HUMAN30504
OG0000021	APOSC_02202	HUMAN12331
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	HUMAN04273, HUMAN30251
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	APOSC_14758	HUMAN03767
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	APOSC_23115	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403
OG0000026	APOSC_12180	HUMAN00402
OG0000026	APOSC_25312	HUMAN16545
OG0000026	APOSC_13965	HUMAN07669, HUMAN21745
OG0000026	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010, APOSC_17220, APOSC_14214	HUMAN26724, HUMAN26725
OG0000028	APOSC_17838, APOSC_17839	HUMAN09193, HUMAN09206
OG0000029	APOSC_07574, APOSC_20436	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
