Orthogroup	BRAFL	OWEFU
OG0000000	bflo_10712, bflo_10733	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	bflo_04183	OFUSG13305.1.p1
OG0000000	bflo_24421, bflo_24425, bflo_09165	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	bflo_24954	OFUSG18918.1.p1
OG0000000	bflo_08798	OFUSG06560.1.p1
OG0000000	bflo_09701	OFUSG05755.1.p1
OG0000000	bflo_10072	OFUSG06970.1.p1
OG0000000	bflo_10147	OFUSG05968.1.p1
OG0000000	bflo_16599	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	bflo_24252	OFUSG08786.1.p1
OG0000000	bflo_08732	OFUSG09074.1.p1
OG0000000	bflo_26435	OFUSG17443.1.p1
OG0000000	bflo_10637	OFUSG19303.1.p1
OG0000000	bflo_19045	OFUSG12013.1.p1
OG0000000	bflo_00450	OFUSG17426.1.p1
OG0000000	bflo_00191	OFUSG13332.1.p1
OG0000000	bflo_15523	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	bflo_00189, bflo_00196	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	bflo_00195	OFUSG13338.1.p1
OG0000000	bflo_00192	OFUSG13335.1.p1
OG0000000	bflo_00197	OFUSG13336.1.p1
OG0000000	bflo_00617, bflo_23916	OFUSG17003.1.p1
OG0000000	bflo_00176	OFUSG21200.1.p1
OG0000000	bflo_10639	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	bflo_26443	OFUSG23416.1.p1
OG0000000	bflo_14857	OFUSG03177.1.p1, OFUSG13341.1.p1
OG0000000	bflo_00526	OFUSG12947.1.p1
OG0000000	bflo_10437	OFUSG05775.1.p1
OG0000000	bflo_10148	OFUSG06109.1.p1
OG0000000	bflo_18457	OFUSG21806.1.p1
OG0000001	bflo_16887	OFUSG04431.1.p1
OG0000001	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507	OFUSG08662.1.p1
OG0000001	bflo_22815, bflo_07671	OFUSG17419.1.p1
OG0000001	bflo_26771, bflo_03786, bflo_24105, bflo_23954, bflo_11884, bflo_11883, bflo_24341, bflo_27049, bflo_26880, bflo_15240, bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933, bflo_17889, bflo_17890, bflo_27452, bflo_27036, bflo_14077, bflo_22059, bflo_27450	OFUSG10216.1.p1, OFUSG15117.1.p1
OG0000001	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927	OFUSG06637.1.p1
OG0000001	bflo_27403	OFUSG07127.1.p1, OFUSG03269.1.p1
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099	OFUSG00560.1.p1
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588	OFUSG12055.1.p1
OG0000002	bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984	OFUSG12538.1.p1
OG0000003	bflo_04790	OFUSG18790.1.p1
OG0000003	bflo_24207, bflo_19873, bflo_26986, bflo_08714	OFUSG12884.1.p1
OG0000003	bflo_15766	OFUSG05924.1.p1
OG0000003	bflo_26929	OFUSG23315.1.p1
OG0000003	bflo_09845	OFUSG08977.2.p1, OFUSG08977.1.p1
OG0000003	bflo_18522	OFUSG23317.1.p1
OG0000005	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1
OG0000005	bflo_13407	OFUSG15197.1.p1, OFUSG15195.1.p1
OG0000005	bflo_10917	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1
OG0000006	bflo_03612	OFUSG11531.1.p1
OG0000006	bflo_07660	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	bflo_14856, bflo_15258	OFUSG02905.1.p1
OG0000006	bflo_22120	OFUSG14509.1.p1
OG0000006	bflo_16305	OFUSG25514.1.p1
OG0000006	bflo_22526	OFUSG14428.1.p1
OG0000006	bflo_10066, bflo_10065	OFUSG07929.1.p1
OG0000006	bflo_12576	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	bflo_23572	OFUSG10782.1.p1
OG0000006	bflo_22579	OFUSG14810.1.p1
OG0000006	bflo_06220	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	bflo_09963	OFUSG07465.1.p1
OG0000006	bflo_08237	OFUSG21061.1.p1, OFUSG18090.1.p1
OG0000006	bflo_06222	OFUSG08659.1.p1
OG0000006	bflo_08431	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	bflo_22598	OFUSG11740.1.p1
OG0000006	bflo_15412	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	bflo_10980	OFUSG11470.1.p1
OG0000007	bflo_05651	OFUSG09476.1.p1
OG0000007	bflo_16444, bflo_15598	OFUSG21527.1.p1
OG0000007	bflo_06255	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	bflo_25603	OFUSG13716.1.p1
OG0000007	bflo_23632	OFUSG23682.1.p1
OG0000007	bflo_13761	OFUSG05364.1.p1
OG0000007	bflo_13742	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	bflo_13892	OFUSG23111.1.p1
OG0000007	bflo_13084	OFUSG04768.1.p1
OG0000007	bflo_00716	OFUSG09682.1.p1, OFUSG09683.1.p1
OG0000007	bflo_16800	OFUSG08948.1.p1
OG0000007	bflo_12369	OFUSG25429.1.p1
OG0000007	bflo_23309	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	bflo_23283	OFUSG10613.1.p1
OG0000007	bflo_24497	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	bflo_11392	OFUSG25241.1.p1
OG0000008	bflo_25964, bflo_01367, bflo_00741, bflo_24920	OFUSG01560.1.p1
OG0000008	bflo_04328	OFUSG15555.1.p1
OG0000008	bflo_19282	OFUSG10082.1.p1
OG0000008	bflo_14409, bflo_10580	OFUSG15533.1.p1
OG0000008	bflo_12140	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000008	bflo_24820, bflo_25017, bflo_24835, bflo_05883, bflo_24836, bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839, bflo_24838, bflo_24924	OFUSG18646.1.p1
OG0000008	bflo_11080	OFUSG05918.1.p1
OG0000008	bflo_07954, bflo_07942, bflo_07547, bflo_04028, bflo_18374, bflo_24491, bflo_04327, bflo_04330, bflo_04337, bflo_04336, bflo_07550, bflo_22064, bflo_10972, bflo_19398	OFUSG11860.1.p1
OG0000008	bflo_17599	OFUSG08842.1.p1, OFUSG26620.1.p1, OFUSG13268.1.p1
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	bflo_00973	OFUSG09248.1.p1
OG0000010	bflo_25814, bflo_01084	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000010	bflo_08401	OFUSG10776.1.p1
OG0000010	bflo_21956	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1
OG0000010	bflo_08393, bflo_07884, bflo_12780, bflo_08406, bflo_13136	OFUSG10415.1.p1, OFUSG10415.2.p1
OG0000011	bflo_13676	OFUSG08075.1.p1
OG0000012	bflo_10914, bflo_11151, bflo_12368, bflo_25561, bflo_24862	OFUSG12918.1.p1, OFUSG08171.1.p1, OFUSG25983.1.p1, OFUSG24954.1.p1, OFUSG14292.1.p1, OFUSG14293.1.p1, OFUSG14294.1.p1, OFUSG21301.1.p1, OFUSG24591.1.p1, OFUSG24955.1.p1
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	bflo_13556, bflo_22373, bflo_23580, bflo_22924, bflo_13858, bflo_23041, bflo_08994, bflo_08989, bflo_13492, bflo_13855, bflo_27094, bflo_13060, bflo_15354, bflo_14447	OFUSG20656.1.p1, OFUSG20658.1.p1, OFUSG06519.1.p1, OFUSG06521.1.p1, OFUSG05812.1.p1, OFUSG06520.1.p1, OFUSG20570.1.p1, OFUSG20324.1.p1, OFUSG20571.1.p1, OFUSG10133.2.p1, OFUSG07223.1.p1
OG0000012	bflo_14731, bflo_13607, bflo_24594	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000012	bflo_16244, bflo_17650, bflo_27278	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1
OG0000013	bflo_11697, bflo_11698	OFUSG13136.1.p1, OFUSG22072.1.p1, OFUSG02692.1.p1, OFUSG22268.1.p1, OFUSG23241.1.p1
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941, bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893, bflo_18525, bflo_05141	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
