Orthogroup	SACKO_ok	AENJA_ok
OG0000000	SACKO_12749	AENJA_00110
OG0000000	SACKO_19677	AENJA_23461
OG0000000	SACKO_25619	AENJA_26081
OG0000000	SACKO_25616	AENJA_24355
OG0000000	SACKO_05553	AENJA_23544
OG0000000	SACKO_16683	AENJA_09172
OG0000000	SACKO_25799	AENJA_06471
OG0000000	SACKO_08208, SACKO_08197	AENJA_01537
OG0000000	SACKO_32730, SACKO_17792	AENJA_09519
OG0000000	SACKO_03962	AENJA_01531
OG0000000	SACKO_26485	AENJA_05531
OG0000000	SACKO_31887	AENJA_07481
OG0000000	SACKO_24012	AENJA_15854
OG0000000	SACKO_11590	AENJA_12748
OG0000000	SACKO_24040	AENJA_15855
OG0000000	SACKO_11588	AENJA_12751
OG0000000	SACKO_24002	AENJA_05807
OG0000000	SACKO_24031	AENJA_05798
OG0000000	SACKO_24024	AENJA_15859
OG0000000	SACKO_24025	AENJA_15861
OG0000000	SACKO_26673	AENJA_22692
OG0000000	SACKO_06485	AENJA_20015
OG0000000	SACKO_23999	AENJA_05802
OG0000000	SACKO_23994, SACKO_24038	AENJA_19519
OG0000000	SACKO_11599	AENJA_21459
OG0000000	SACKO_22872	AENJA_01755
OG0000000	SACKO_31901	AENJA_10279
OG0000000	SACKO_31899	AENJA_05264
OG0000000	SACKO_11978	AENJA_18954
OG0000000	SACKO_12011	AENJA_18955
OG0000001	SACKO_04731	AENJA_04021
OG0000001	SACKO_04733	AENJA_06007
OG0000001	SACKO_14088	AENJA_16692
OG0000001	SACKO_04743, SACKO_04719, SACKO_23106	AENJA_26118, AENJA_17575
OG0000001	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592	AENJA_01446, AENJA_05207, AENJA_05206
OG0000002	SACKO_14603	AENJA_03072
OG0000002	SACKO_11085	AENJA_19547
OG0000002	SACKO_21630, SACKO_21632	AENJA_15292
OG0000002	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460	AENJA_22707, AENJA_19254, AENJA_03627
OG0000002	SACKO_13458	AENJA_00531, AENJA_22262, AENJA_16411
OG0000002	SACKO_00245, SACKO_00252	AENJA_05471, AENJA_03252
OG0000003	SACKO_29380	AENJA_21348
OG0000003	SACKO_16447	AENJA_06624
OG0000003	SACKO_25210, SACKO_25215	AENJA_06107
OG0000004	SACKO_20602	AENJA_23066
OG0000004	SACKO_02249	AENJA_15703
OG0000004	SACKO_16987	AENJA_25009
OG0000004	SACKO_20132	AENJA_07458, AENJA_04481
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	SACKO_20137	AENJA_17584
OG0000005	SACKO_14812	AENJA_12565
OG0000005	SACKO_15042	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989
OG0000005	SACKO_08146	AENJA_12050
OG0000005	SACKO_03236	AENJA_24820
OG0000005	SACKO_21908	AENJA_09577
OG0000006	SACKO_23311, SACKO_02952	AENJA_18239
OG0000006	SACKO_21953	AENJA_18510
OG0000006	SACKO_11503	AENJA_22158
OG0000006	SACKO_02616	AENJA_13126
OG0000006	SACKO_13650	AENJA_20911
OG0000006	SACKO_23250	AENJA_22522
OG0000006	SACKO_15817	AENJA_09814
OG0000006	SACKO_15812	AENJA_09813
OG0000006	SACKO_32444	AENJA_00662
OG0000006	SACKO_12590	AENJA_07549
OG0000006	SACKO_14761, SACKO_02017	AENJA_15373
OG0000006	SACKO_06429	AENJA_18450
OG0000006	SACKO_32477	AENJA_01590
OG0000006	SACKO_20803	AENJA_09210
OG0000006	SACKO_32388	AENJA_15474
OG0000007	SACKO_33112	AENJA_18325
OG0000007	SACKO_16486	AENJA_18163
OG0000007	SACKO_25751	AENJA_00810
OG0000007	SACKO_17363	AENJA_25020
OG0000007	SACKO_03410	AENJA_23908
OG0000007	SACKO_33128	AENJA_18326
OG0000007	SACKO_15684	AENJA_06479, AENJA_16018
OG0000007	SACKO_22717	AENJA_18328
OG0000007	SACKO_15952	AENJA_07512
OG0000007	SACKO_04591	AENJA_11851
OG0000007	SACKO_00920	AENJA_07359
OG0000007	SACKO_27771	AENJA_09687
OG0000007	SACKO_27817	AENJA_07358
OG0000007	SACKO_00927	AENJA_11277
