#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_6/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_6/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_6/0.447485472614975.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_6/target.clean..pos
BGpeak38307	Scaffold_19_1_contigs	23746922	23747307	+	0.000	0.000	peak38307
BGpeak38316	Scaffold_19_1_contigs	23851524	23852025	+	0.000	0.000	peak38316
BGpeak38369	Scaffold_19_1_contigs	24310841	24311219	+	0.000	0.000	peak38369
BGpeak38386	Scaffold_19_1_contigs	24460376	24460702	+	0.000	0.000	peak38386
BGpeak38410	Scaffold_19_1_contigs	24922889	24923530	+	0.000	0.000	peak38410
BGpeak38411	Scaffold_19_1_contigs	24923694	24924025	+	0.000	0.000	peak38411
BGpeak38413	Scaffold_19_1_contigs	24929184	24929408	+	0.000	0.000	peak38413
BGpeak38415	Scaffold_19_1_contigs	24932698	24933079	+	0.000	0.000	peak38415
BGpeak38426	Scaffold_19_1_contigs	24965308	24965516	+	0.000	0.000	peak38426
BGpeak38429	Scaffold_19_1_contigs	24977864	24978148	+	0.000	0.000	peak38429
BGpeak38430	Scaffold_19_1_contigs	24978451	24978726	+	0.000	0.000	peak38430
BGpeak38440	Scaffold_19_1_contigs	25006750	25006936	+	0.000	0.000	peak38440
BGpeak38463	Scaffold_19_1_contigs	25216335	25216649	+	0.000	0.000	peak38463
BGpeak38472	Scaffold_19_1_contigs	25278989	25280013	+	0.000	0.000	peak38472
BGpeak38484	Scaffold_19_1_contigs	25324123	25324781	+	0.000	0.000	peak38484
BGpeak38488	Scaffold_19_1_contigs	25367374	25367712	+	0.000	0.000	peak38488
BGpeak38489	Scaffold_19_1_contigs	25368779	25369276	+	0.000	0.000	peak38489
BGpeak38494	Scaffold_19_1_contigs	25395037	25395453	+	0.000	0.000	peak38494
BGpeak38542	Scaffold_19_1_contigs	25848613	25848871	+	0.000	0.000	peak38542
BGpeak38544	Scaffold_19_1_contigs	25849247	25850075	+	0.000	0.000	peak38544
BGpeak38545	Scaffold_19_1_contigs	25860553	25860939	+	0.000	0.000	peak38545
BGpeak38548	Scaffold_19_1_contigs	25863786	25864097	+	0.000	0.000	peak38548
BGpeak38567	Scaffold_19_1_contigs	25975920	25976314	+	0.000	0.000	peak38567
BGpeak38573	Scaffold_19_1_contigs	26031817	26032415	+	0.000	0.000	peak38573
BGpeak38576	Scaffold_19_1_contigs	26048777	26049164	+	0.000	0.000	peak38576
BGpeak38600	Scaffold_19_1_contigs	26229731	26230033	+	0.000	0.000	peak38600
BGpeak38603	Scaffold_19_1_contigs	26271156	26271520	+	0.000	0.000	peak38603
BGpeak38605	Scaffold_19_1_contigs	26297848	26298159	+	0.000	0.000	peak38605
BGpeak38614	Scaffold_19_1_contigs	26313219	26313706	+	0.000	0.000	peak38614
BGpeak38617	Scaffold_19_1_contigs	26326987	26327314	+	0.000	0.000	peak38617
BGpeak38636	Scaffold_19_1_contigs	26480565	26480885	+	0.000	0.000	peak38636
BGpeak38641	Scaffold_19_1_contigs	26488567	26488909	+	0.000	0.000	peak38641
BGpeak38642	Scaffold_19_1_contigs	26491320	26491859	+	0.000	0.000	peak38642
BGpeak38643	Scaffold_19_1_contigs	26492776	26493151	+	0.000	0.000	peak38643
BGpeak38644	Scaffold_19_1_contigs	26508114	26508777	+	0.000	0.000	peak38644
BGpeak38716	Scaffold_19_1_contigs	27417454	27417901	+	0.000	0.000	peak38716
BGpeak38723	Scaffold_19_1_contigs	27451528	27452005	+	0.000	0.000	peak38723
BGpeak38736	Scaffold_19_1_contigs	27954905	27955439	+	0.000	0.000	peak38736
BGpeak73094	Scaffold_7_1_contigs	21767647	21768108	+	0.000	0.000	peak73094
BGpeak73095	Scaffold_7_1_contigs	21768190	21768403	+	0.000	0.000	peak73095
BGpeak73096	Scaffold_7_1_contigs	21772697	21773403	+	0.000	0.000	peak73096
BGpeak38786	Scaffold_19_1_contigs	28479554	28479862	+	0.000	0.000	peak38786
BGpeak38790	Scaffold_19_1_contigs	28603347	28603670	+	0.000	0.000	peak38790
BGpeak73138	Scaffold_7_1_contigs	22302933	22303354	+	0.000	0.000	peak73138
BGpeak38804	Scaffold_19_1_contigs	28810631	28810887	+	0.000	0.000	peak38804
BGpeak73139	Scaffold_7_1_contigs	22305635	22305926	+	0.000	0.000	peak73139
BGpeak73140	Scaffold_7_1_contigs	22306027	22306374	+	0.000	0.000	peak73140
BGpeak73148	Scaffold_7_1_contigs	22322111	22322320	+	0.000	0.000	peak73148
BGpeak73150	Scaffold_7_1_contigs	22326605	22326938	+	0.000	0.000	peak73150
BGpeak73151	Scaffold_7_1_contigs	22328123	22328622	+	0.000	0.000	peak73151
BGpeak38830	Scaffold_19_1_contigs	29113866	29114482	+	0.000	0.000	peak38830
BGpeak38845	Scaffold_19_1_contigs	29333148	29333512	+	0.000	0.000	peak38845
BGpeak38868	Scaffold_19_1_contigs	29581118	29581462	+	0.000	0.000	peak38868
BGpeak38884	Scaffold_19_1_contigs	29652990	29653348	+	0.000	0.000	peak38884
BGpeak38885	Scaffold_19_1_contigs	29660883	29661201	+	0.000	0.000	peak38885
BGpeak38886	Scaffold_19_1_contigs	29681016	29681309	+	0.000	0.000	peak38886
BGpeak38888	Scaffold_19_1_contigs	29700701	29700930	+	0.000	0.000	peak38888
BGpeak38921	Scaffold_19_1_contigs	30146732	30147084	+	0.000	0.000	peak38921
BGpeak38940	Scaffold_19_1_contigs	30281610	30282043	+	0.000	0.000	peak38940
BGpeak38952	Scaffold_19_1_contigs	30371739	30372295	+	0.000	0.000	peak38952
BGpeak38965	Scaffold_19_1_contigs	30445498	30445726	+	0.000	0.000	peak38965
BGpeak38979	Scaffold_19_1_contigs	30488782	30489167	+	0.000	0.000	peak38979
BGpeak38980	Scaffold_19_1_contigs	30489574	30489987	+	0.000	0.000	peak38980
BGpeak38981	Scaffold_19_1_contigs	30493006	30493499	+	0.000	0.000	peak38981
BGpeak38993	Scaffold_19_1_contigs	30564337	30564720	+	0.000	0.000	peak38993
BGpeak73308	Scaffold_7_1_contigs	25489711	25489978	+	0.000	0.000	peak73308
BGpeak73324	Scaffold_7_1_contigs	25544805	25545111	+	0.000	0.000	peak73324
BGpeak73367	Scaffold_7_1_contigs	26112072	26112325	+	0.000	0.000	peak73367
BGpeak73369	Scaffold_7_1_contigs	26115265	26116176	+	0.000	0.000	peak73369
BGpeak73414	Scaffold_7_1_contigs	27516318	27516807	+	0.000	0.000	peak73414
BGpeak73417	Scaffold_7_1_contigs	27529463	27529643	+	0.000	0.000	peak73417
BGpeak73429	Scaffold_7_1_contigs	27569569	27569819	+	0.000	0.000	peak73429
BGpeak73443	Scaffold_7_1_contigs	27605646	27605964	+	0.000	0.000	peak73443
BGpeak73448	Scaffold_7_1_contigs	27629991	27630438	+	0.000	0.000	peak73448
BGpeak73453	Scaffold_7_1_contigs	27652306	27652925	+	0.000	0.000	peak73453
BGpeak73543	Scaffold_7_1_contigs	29169068	29169580	+	0.000	0.000	peak73543
BGpeak73566	Scaffold_7_1_contigs	30802711	30803030	+	0.000	0.000	peak73566
BGpeak73578	Scaffold_7_1_contigs	30901459	30901876	+	0.000	0.000	peak73578
BGpeak73680	Scaffold_7_1_contigs	32004581	32004908	+	0.000	0.000	peak73680
BGpeak73688	Scaffold_7_1_contigs	32017627	32017941	+	0.000	0.000	peak73688
BGpeak73690	Scaffold_7_1_contigs	32036265	32036462	+	0.000	0.000	peak73690
BGpeak73693	Scaffold_7_1_contigs	32064285	32064624	+	0.000	0.000	peak73693
BGpeak73722	Scaffold_7_1_contigs	32426211	32426864	+	0.000	0.000	peak73722
BGpeak73730	Scaffold_7_1_contigs	32469908	32470425	+	0.000	0.000	peak73730
BGpeak73732	Scaffold_7_1_contigs	32475368	32475792	+	0.000	0.000	peak73732
BGpeak73736	Scaffold_7_1_contigs	32496051	32496587	+	0.000	0.000	peak73736
