Orthogroup	YEAST	PFLAV
OG0000000	YEAST00701	TCONS_00026365.p1, TCONS_00019737.p1, TCONS_00027826.p1, TCONS_00026910.p1, TCONS_00026836.p1, TCONS_00026612.p1, TCONS_00026711.p1, TCONS_00026377.p1, TCONS_00027287.p1, TCONS_00027293.p1, TCONS_00014809.p1, TCONS_00014810.p1, TCONS_00018852.p1, TCONS_00015367.p1, TCONS_00017786.p1, TCONS_00020801.p1, TCONS_00026487.p1, TCONS_00010493.p1, TCONS_00027285.p1, TCONS_00027291.p1, TCONS_00020105.p1, TCONS_00032259.p1, TCONS_00043772.p1, TCONS_00032261.p1, TCONS_00032260.p1, TCONS_00043771.p1, TCONS_00032269.p1, TCONS_00032266.p1, TCONS_00032267.p1, TCONS_00032262.p1, TCONS_00032264.p1, TCONS_00019139.p1, TCONS_00018960.p1, TCONS_00018945.p1
OG0000006	YEAST01430	TCONS_00016792.p1, TCONS_00023587.p1, TCONS_00025031.p1, TCONS_00038043.p1
OG0000006	YEAST00858	TCONS_00024046.p1
OG0000007	YEAST00671	TCONS_00029831.p1, TCONS_00053632.p1, TCONS_00029830.p1, TCONS_00024115.p1
OG0000007	YEAST01568, YEAST05134	TCONS_00014249.p1
OG0000011	YEAST02600, YEAST01619	TCONS_00044809.p1, TCONS_00015385.p1, TCONS_00038245.p1, TCONS_00051572.p1, TCONS_00011227.p1, TCONS_00012236.p1, TCONS_00041037.p1, TCONS_00038189.p1, TCONS_00049052.p1, TCONS_00049053.p1, TCONS_00019184.p1, TCONS_00045521.p1, TCONS_00024547.p1, TCONS_00052331.p1, TCONS_00034059.p1, TCONS_00008526.p1, TCONS_00049285.p1, TCONS_00032223.p1, TCONS_00056711.p1, TCONS_00034080.p1, TCONS_00040546.p1, TCONS_00022026.p1, TCONS_00038549.p1, TCONS_00002504.p1, TCONS_00038854.p1, TCONS_00038173.p1, TCONS_00009419.p1, TCONS_00014539.p1, TCONS_00000740.p1, TCONS_00007035.p1, TCONS_00045098.p1, TCONS_00053162.p1, TCONS_00043285.p1, TCONS_00018762.p1, TCONS_00045929.p1, TCONS_00033750.p2, TCONS_00018956.p1, TCONS_00031358.p1, TCONS_00041373.p1, TCONS_00055305.p1, TCONS_00047166.p1, TCONS_00053496.p1, TCONS_00038610.p1, TCONS_00034727.p1, TCONS_00038236.p1, TCONS_00044426.p1, TCONS_00043761.p1, TCONS_00050660.p1, TCONS_00048667.p1, TCONS_00018952.p1, TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1, TCONS_00015386.p1, TCONS_00033759.p1, TCONS_00033581.p1, TCONS_00025195.p1, TCONS_00051327.p1, TCONS_00035599.p1, TCONS_00050721.p1, TCONS_00004502.p1, TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1, TCONS_00002579.p1, TCONS_00020984.p3, TCONS_00034049.p1, TCONS_00046669.p1, TCONS_00029680.p1, TCONS_00036298.p1, TCONS_00041434.p1, TCONS_00057000.p1, TCONS_00007004.p1, TCONS_00031655.p1, TCONS_00002470.p1, TCONS_00051843.p1, TCONS_00037958.p1
OG0000013	YEAST04082	TCONS_00023863.p1, TCONS_00008448.p1, TCONS_00008447.p1, TCONS_00008446.p1, TCONS_00015580.p1, TCONS_00008650.p1, TCONS_00021089.p1, TCONS_00021092.p1, TCONS_00021090.p1, TCONS_00014846.p1, TCONS_00043683.p1, TCONS_00043682.p1, TCONS_00017254.p1, TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1, TCONS_00018745.p1, TCONS_00016636.p1, TCONS_00018744.p1, TCONS_00000124.p1, TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1, TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1, TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1, TCONS_00000867.p1, TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1, TCONS_00018576.p1, TCONS_00018574.p1, TCONS_00018581.p1, TCONS_00000312.p1, TCONS_00001858.p1, TCONS_00017715.p1, TCONS_00017563.p1, TCONS_00017559.p1, TCONS_00017555.p1, TCONS_00017562.p1, TCONS_00017557.p1, TCONS_00018572.p1, TCONS_00017567.p1, TCONS_00017565.p1, TCONS_00017560.p1, TCONS_00017553.p1, TCONS_00017554.p1, TCONS_00018563.p1, TCONS_00017039.p1, TCONS_00017041.p1, TCONS_00017038.p1, TCONS_00016927.p1, TCONS_00053337.p1, TCONS_00054007.p1, TCONS_00017566.p1, TCONS_00017552.p1, TCONS_00017551.p1
OG0000016	YEAST03839, YEAST02807, YEAST03817	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	YEAST03870, YEAST01103	TCONS_00012620.p1, TCONS_00013829.p1
