Orthogroup	ASTMX	CAEEL
OG0000000	ASTMX02793	CAEEL18735
OG0000000	ASTMX19308, ASTMX03273	CAEEL01893
OG0000000	ASTMX22570	CAEEL08140
OG0000000	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970	CAEEL18754
OG0000000	ASTMX12494, ASTMX05790, ASTMX17479	CAEEL06523
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	CAEEL18467, CAEEL18466
OG0000000	ASTMX10847	CAEEL04771
OG0000000	ASTMX20299	CAEEL18086
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	CAEEL08092
OG0000000	ASTMX16946, ASTMX11106, ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164, ASTMX06178, ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322, ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162, ASTMX01437, ASTMX20161, ASTMX20110	CAEEL08135, CAEEL08091
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	CAEEL00979
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	CAEEL19601
OG0000000	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	CAEEL07441
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	CAEEL08875
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975, ASTMX09511, ASTMX08520	CAEEL16213
OG0000001	ASTMX18932	CAEEL00597, CAEEL06285
OG0000001	ASTMX07755	CAEEL06722
OG0000003	ASTMX21256	CAEEL19939
OG0000005	ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164	CAEEL01924
OG0000006	ASTMX20216	CAEEL20510
OG0000006	ASTMX00775	CAEEL18976
OG0000006	ASTMX16363, ASTMX04345	CAEEL00696
OG0000006	ASTMX03256, ASTMX09680	CAEEL07700
OG0000006	ASTMX14682, ASTMX19702	CAEEL05532
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	CAEEL01533
OG0000006	ASTMX04477, ASTMX07342	CAEEL19718
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	CAEEL12101
OG0000006	ASTMX14827	CAEEL00153
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	CAEEL17819
OG0000006	ASTMX10604	CAEEL15182
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	CAEEL04050
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	CAEEL17965
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	CAEEL05829
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	CAEEL01108
OG0000007	ASTMX18062, ASTMX21262, ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	CAEEL10238, CAEEL04602
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	CAEEL18586
OG0000010	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	CAEEL04259
OG0000012	ASTMX22063, ASTMX16492	CAEEL20690
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	CAEEL19127
OG0000015	ASTMX09926, ASTMX15220, ASTMX09927, ASTMX01377, ASTMX13993, ASTMX07947	CAEEL09145
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	CAEEL15587
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	CAEEL20493
