Orthogroup	LYTVA_ok	PFLAV
OG0000000	LYTVA_01679	TCONS_00026365.p1
OG0000000	LYTVA_23170	TCONS_00019737.p1
OG0000000	LYTVA_01380	TCONS_00027826.p1
OG0000000	LYTVA_01827	TCONS_00026612.p1
OG0000000	LYTVA_18988	TCONS_00026711.p1
OG0000000	LYTVA_18985	TCONS_00026377.p1
OG0000000	LYTVA_13103	TCONS_00018852.p1
OG0000000	LYTVA_27688	TCONS_00015367.p1
OG0000000	LYTVA_21959	TCONS_00020801.p1
OG0000000	LYTVA_22602	TCONS_00026487.p1
OG0000000	LYTVA_19974	TCONS_00010493.p1
OG0000000	LYTVA_27704	TCONS_00020105.p1
OG0000000	LYTVA_08678	TCONS_00032259.p1
OG0000000	LYTVA_23667	TCONS_00043771.p1
OG0000000	LYTVA_22477	TCONS_00032269.p1
OG0000000	LYTVA_22478	TCONS_00032267.p1
OG0000000	LYTVA_22480	TCONS_00032264.p1
OG0000000	LYTVA_23047	TCONS_00019139.p1
OG0000000	LYTVA_14838	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	LYTVA_06897	TCONS_00027510.p1
OG0000000	LYTVA_22476	TCONS_00032270.p1
OG0000000	LYTVA_22475	TCONS_00032272.p1
OG0000000	LYTVA_22714	TCONS_00042478.p1
OG0000000	LYTVA_19015	TCONS_00031629.p1
OG0000000	LYTVA_26599	TCONS_00026601.p1
OG0000000	LYTVA_17046	TCONS_00026600.p1
OG0000000	LYTVA_23349	TCONS_00009627.p1
OG0000000	LYTVA_23351	TCONS_00009628.p1
OG0000001	LYTVA_19190, LYTVA_26158	TCONS_00001512.p1, TCONS_00001513.p1, TCONS_00001514.p1, TCONS_00001510.p2
OG0000001	LYTVA_04837, LYTVA_04757, LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761, LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	LYTVA_28398	TCONS_00010137.p1
