# Format: Protein 1<tab>Protein 2<tab>Protein ID1<tab>ProteinID2<tab>Orthology type<tab>OMA group (if any)
# Every pair is listed only once, and in no particular order.
# The map between sequence number and ID are given
# in the file "Map-SeqNum-ID.map
1	1258	XENTR00001 | ENSXETP00000058738 | ENSXETT00000065862 | ENSXETG00000001053 | transmembrane protein 53 [Source:Jamboree;Acc:XB- GENE-1018172]	CAEEL01258 | T10B11.6.1 | CCD66244 | WBGene00020402 | Q9TZH8_CAEEL	many:many	
1	5319	XENTR00001 | ENSXETP00000058738 | ENSXETT00000065862 | ENSXETG00000001053 | transmembrane protein 53 [Source:Jamboree;Acc:XB- GENE-1018172]	CAEEL05319 | T24H10.4 | CAA90944 | WBGene00012002 | Q22750_CAEEL	many:many	
1	18941	XENTR00001 | ENSXETP00000058738 | ENSXETT00000065862 | ENSXETG00000001053 | transmembrane protein 53 [Source:Jamboree;Acc:XB- GENE-1018172]	CAEEL18941 | C09B8.4 | CCD63799 | WBGene00015623 | Q17846_CAEEL	many:many	25516
4	9371	XENTR00004 | ENSXETP00000063371 | ENSXETT00000066017 | ENSXETG00000030397 | ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:17276]	CAEEL09371 | R02D3.8 | CCD73172 | WBGene00019825 | Q9TZZ9_CAEEL	1:many	
4	9940	XENTR00004 | ENSXETP00000063371 | ENSXETT00000066017 | ENSXETG00000030397 | ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:17276]	CAEEL09940 | M02B7.2a | CCD70202 | WBGene00019724 | Q94285_CAEEL	1:many	
5	2867	XENTR00005 | ENSXETP00000002310 | ENSXETT00000002310 | AAH74546.1 | CAJ82704.1 | ENSXETG00000001057 | Q6DK89_XENTR | DNA methyltransferase 1 associated protein 1 [Source:Jamboree;Acc:XB-GENE-948170]	CAEEL02867 | Y105E8A.17b | CAP16291 | WBGene00013676 | A8XQE0_CAEEL	1:1	10965
10	203	XENTR00010 | ENSXETP00000007089 | ENSXETT00000007089 | ENSXETG00000003265 | UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2 [Source:Jamboree;Acc:XB-GENE-997913]	CAEEL00203 | Y73E7A.7a | AAM95168 | AAS21308 | CCD73531 | CDM63463 | WBGene00000269 | Beta-1,4-N-acetylgalactosaminyltransferase bre-4 [Source:UniProtKB/Swiss-Prot;Acc:Q9GUM2]	many:1	
11	5023	XENTR00011 | ENSXETP00000007077 | ENSXETT00000007077 | AAH91622.1 | CAJ82500.1 | ENSXETG00000003260 | ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b [Source:Jamboree;Acc:XB-GENE-997920]	CAEEL05023 | T01H3.1.1 | BAA22597 | CAA92686 | WBGene00006913 | G5EDB8_CAEEL | Vacuolar H ATPase  [Source:RefSeq peptide;Acc:NP_495659]	1:1	34864
19	1736	XENTR00019 | ENSXETP00000061309 | ENSXETT00000062763 | ENSXETG00000004369 | RAD54-like [Source:Jamboree;Acc:XB-GENE-979988]	CAEEL01736 | W06D4.6 | CAA22254 | WBGene00004298 | G5EEN6_CAEEL	1:1	4623
23	9503	XENTR00023 | ENSXETP00000061051 | ENSXETT00000066187 | ENSXETG00000004365 | fatty acid amide hydrolase, gene 2 [Source:Jamboree;Acc:XB-GENE-997947]	CAEEL09503 | F58H7.2 | CCD67285 | WBGene00019068 | O45089_CAEEL | Fatty Acid Amide Hydrolase homolog  [Source:RefSeq peptide;Acc:NP_500017]	many:many	
23	10889	XENTR00023 | ENSXETP00000061051 | ENSXETT00000066187 | ENSXETG00000004365 | fatty acid amide hydrolase, gene 2 [Source:Jamboree;Acc:XB-GENE-997947]	CAEEL10889 | B0218.2 | CCD61385 | WBGene00015048 | Q17447_CAEEL | Fatty Acid Amide Hydrolase homolog  [Source:RefSeq peptide;Acc:NP_501366]	many:many	
