Orthogroup	LYTVA_ok	BRALA
OG0000000	LYTVA_09514	BRALA25846, BRALA11737
OG0000000	LYTVA_01679	BRALA16375, BRALA16376
OG0000000	LYTVA_23170	BRALA00047
OG0000000	LYTVA_01380	BRALA19584, BRALA19585, BRALA25857
OG0000000	LYTVA_25096	BRALA25847
OG0000000	LYTVA_01827	BRALA24482
OG0000000	LYTVA_18988	BRALA16262
OG0000000	LYTVA_18985	BRALA16263
OG0000000	LYTVA_13103	BRALA29522
OG0000000	LYTVA_27688	BRALA21349
OG0000000	LYTVA_21959	BRALA18600
OG0000000	LYTVA_22602	BRALA28387
OG0000000	LYTVA_19974	BRALA21476
OG0000000	LYTVA_27704	BRALA00440
OG0000000	LYTVA_08678	BRALA00115
OG0000000	LYTVA_23667	BRALA11734
OG0000000	LYTVA_22477	BRALA00119, BRALA00120, BRALA00121
OG0000000	LYTVA_22480	BRALA00118
OG0000000	LYTVA_23047	BRALA00439, BRALA26541
OG0000000	LYTVA_14838	BRALA00079
OG0000000	LYTVA_06897, LYTVA_22068	BRALA34448
OG0000000	LYTVA_22476	BRALA00125, BRALA00124
OG0000000	LYTVA_22714	BRALA11733
OG0000000	LYTVA_19015	BRALA00135
OG0000000	LYTVA_26599	BRALA30674
OG0000000	LYTVA_17046	BRALA30673
OG0000000	LYTVA_23351	BRALA17840
OG0000001	LYTVA_16225	BRALA22324, BRALA14825
OG0000001	LYTVA_04837, LYTVA_04757, LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761, LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602	BRALA19588, BRALA19586
OG0000002	LYTVA_28398	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192
OG0000003	LYTVA_23292	BRALA33939, BRALA01916
OG0000003	LYTVA_26275	BRALA03414
OG0000003	LYTVA_06976	BRALA07140
OG0000003	LYTVA_11643	BRALA02712, BRALA07571, BRALA14502
OG0000003	LYTVA_27358	BRALA23910
OG0000004	LYTVA_13802	BRALA03960
OG0000004	LYTVA_04400	BRALA08526
OG0000004	LYTVA_11730	BRALA02003, BRALA02015
OG0000005	LYTVA_24142	BRALA25414, BRALA34368
OG0000005	LYTVA_01017	BRALA00382
OG0000005	LYTVA_15338, LYTVA_23825	BRALA15577, BRALA04488
OG0000005	LYTVA_21111	BRALA15287
OG0000006	LYTVA_27651	BRALA03676
OG0000006	LYTVA_15901	BRALA06686
OG0000006	LYTVA_21289	BRALA19242
OG0000006	LYTVA_12321	BRALA06109
OG0000006	LYTVA_25253	BRALA07568, BRALA29276
OG0000006	LYTVA_07373	BRALA22280
