Orthogroup	XENTR	SACKO_ok
OG0000000	XENTR08878	SACKO_12749
OG0000000	XENTR18832, XENTR01079, XENTR01080	SACKO_19677
OG0000000	XENTR18066, XENTR08976, XENTR07932	SACKO_25619
OG0000000	XENTR18621	SACKO_25616
OG0000000	XENTR10508, XENTR13402	SACKO_05553
OG0000000	XENTR10492, XENTR10560	SACKO_16683
OG0000000	XENTR07734, XENTR13891	SACKO_08208, SACKO_08197
OG0000000	XENTR17298, XENTR05705	SACKO_32730, SACKO_17792
OG0000000	XENTR16086	SACKO_19489
OG0000000	XENTR12445	SACKO_31887
OG0000000	XENTR07167, XENTR10848, XENTR03338	SACKO_24012
OG0000000	XENTR04390, XENTR05494	SACKO_11590
OG0000000	XENTR10849, XENTR03337	SACKO_24040
OG0000000	XENTR04389	SACKO_11588
OG0000000	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540	SACKO_24002
OG0000000	XENTR08542, XENTR10851, XENTR07169, XENTR03335	SACKO_24024
OG0000000	XENTR10852, XENTR03334, XENTR08541	SACKO_24025
OG0000000	XENTR06295, XENTR04184	SACKO_26673
OG0000000	XENTR03185	SACKO_06485
OG0000000	XENTR12464, XENTR08726	SACKO_31872
OG0000000	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330	SACKO_24017
OG0000000	XENTR04388, XENTR00687, XENTR13779	SACKO_11599
OG0000000	XENTR03327, XENTR07175	SACKO_22872
OG0000000	XENTR14936, XENTR09546	SACKO_31901
OG0000000	XENTR01972, XENTR09547, XENTR08722	SACKO_31899
OG0000000	XENTR12981	SACKO_11978
OG0000000	XENTR06679	SACKO_12011
OG0000001	XENTR19191, XENTR05335, XENTR05334	SACKO_21170
OG0000001	XENTR06490	SACKO_30873
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	SACKO_04743, SACKO_04719, SACKO_23106
OG0000002	XENTR12747	SACKO_11085, SACKO_21630, SACKO_21632
OG0000002	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460
OG0000002	XENTR16271, XENTR03602, XENTR03603, XENTR03601, XENTR03577, XENTR03576, XENTR18928, XENTR18929, XENTR03582, XENTR03581, XENTR03583, XENTR03579, XENTR18721, XENTR03578, XENTR03589, XENTR03580, XENTR19167, XENTR18665, XENTR03594, XENTR03590, XENTR03591, XENTR03595, XENTR03584, XENTR03574, XENTR03585, XENTR03586, XENTR03587, XENTR03588, XENTR03593, XENTR03592, XENTR03575, XENTR03600, XENTR03596, XENTR03597, XENTR03599, XENTR18361, XENTR18362, XENTR18519, XENTR03598	SACKO_18684
OG0000002	XENTR17667	SACKO_00245, SACKO_00252
OG0000005	XENTR05002, XENTR05003	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142
OG0000005	XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106	SACKO_22081, SACKO_22108, SACKO_22102
OG0000006	XENTR06019	SACKO_21953
OG0000006	XENTR00026	SACKO_11503
OG0000006	XENTR03474, XENTR03473, XENTR14730	SACKO_02616
OG0000006	XENTR03954, XENTR14945	SACKO_13650
OG0000006	XENTR09947, XENTR11692	SACKO_23250
OG0000006	XENTR11329	SACKO_15817
OG0000006	XENTR15046	SACKO_32444
OG0000006	XENTR13548	SACKO_12590, SACKO_14761, SACKO_02017
OG0000006	XENTR15729, XENTR08627	SACKO_32500
OG0000006	XENTR04854, XENTR07280, XENTR07527	SACKO_06429
OG0000006	XENTR07719	SACKO_32477
OG0000006	XENTR12339, XENTR03854, XENTR12781	SACKO_20803
OG0000006	XENTR18680, XENTR15398	SACKO_22000
OG0000007	XENTR04989, XENTR07641	SACKO_33112
OG0000007	XENTR10435	SACKO_16486
OG0000007	XENTR12787, XENTR08906, XENTR06676	SACKO_25751
OG0000007	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041	SACKO_17363
OG0000007	XENTR08678, XENTR00040	SACKO_07507
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009	SACKO_03410
OG0000007	XENTR07642	SACKO_33128
OG0000007	XENTR11347, XENTR18406	SACKO_15684
OG0000007	XENTR04991	SACKO_15694
OG0000007	XENTR04990, XENTR05942	SACKO_22717
OG0000007	XENTR09461, XENTR01137	SACKO_27771
OG0000007	XENTR03031, XENTR06562	SACKO_27817
OG0000007	XENTR16583	SACKO_00927
OG0000007	XENTR07405, XENTR01816	SACKO_02233
OG0000007	XENTR09232, XENTR15271	SACKO_31102, SACKO_31073
OG0000008	XENTR18145, XENTR18144, XENTR18146, XENTR18147	SACKO_05714, SACKO_03429
OG0000008	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125	SACKO_07048
OG0000009	XENTR08321, XENTR13550	SACKO_01914
OG0000010	XENTR14832, XENTR09844, XENTR05875	SACKO_14205, SACKO_26471
OG0000010	XENTR08588	SACKO_23674
OG0000010	XENTR13805	SACKO_30054
OG0000010	XENTR08285, XENTR08284, XENTR12501, XENTR02618, XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359	SACKO_31740
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	SACKO_01736
OG0000014	XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716	SACKO_10784, SACKO_10786
OG0000014	XENTR18803, XENTR09297	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001
OG0000014	XENTR09147, XENTR00681	SACKO_13283
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	SACKO_31697
OG0000015	XENTR13566, XENTR03288, XENTR15069	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299
OG0000016	XENTR10586, XENTR06233	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	XENTR12717	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946
OG0000016	XENTR17802	SACKO_11717, SACKO_14898
OG0000016	XENTR18390	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000018	XENTR19228, XENTR16288, XENTR15347, XENTR15469	SACKO_21669, SACKO_17074, SACKO_20752
OG0000019	XENTR11604, XENTR11606, XENTR16393, XENTR01006, XENTR01005	SACKO_28153
OG0000019	XENTR07225, XENTR02749, XENTR04194	SACKO_23880
OG0000019	XENTR03535	SACKO_20403, SACKO_20414
OG0000020	XENTR18565	SACKO_22951
OG0000020	XENTR14576	SACKO_32378
OG0000020	XENTR00311	SACKO_20642
OG0000020	XENTR13299	SACKO_08732
OG0000020	XENTR05411	SACKO_21519
OG0000020	XENTR15461, XENTR03248, XENTR03249	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904
OG0000020	XENTR04697	SACKO_16107, SACKO_20105
OG0000020	XENTR07864, XENTR11783	SACKO_15854
OG0000020	XENTR08063	SACKO_20295
OG0000020	XENTR15846	SACKO_24638
OG0000020	XENTR15636	SACKO_04828
OG0000021	XENTR17791, XENTR16377	SACKO_24549
OG0000021	XENTR12641, XENTR02936	SACKO_32115
OG0000021	XENTR18096, XENTR01150	SACKO_15594
OG0000021	XENTR16121	SACKO_12803
OG0000021	XENTR13705, XENTR13394, XENTR13393	SACKO_25838
OG0000021	XENTR00007	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	SACKO_10529
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	SACKO_06926
OG0000023	XENTR13097	SACKO_29082, SACKO_29077
OG0000026	XENTR07244, XENTR03079	SACKO_23233
OG0000027	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288, XENTR11639, XENTR18028, XENTR18027, XENTR18029	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136
OG0000027	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	SACKO_02698
OG0000028	XENTR18279, XENTR05325, XENTR05326, XENTR17548, XENTR15539, XENTR18293, XENTR17549, XENTR05379, XENTR05378	SACKO_00730, SACKO_00734
OG0000028	XENTR10277, XENTR06737	SACKO_00054, SACKO_29910
OG0000029	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335	SACKO_04574
OG0000029	XENTR11755, XENTR10534	SACKO_15001
OG0000029	XENTR08766, XENTR16200, XENTR13220, XENTR01288, XENTR01283, XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076
OG0000030	XENTR08639	SACKO_06190, SACKO_06196
OG0000030	XENTR18219	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	XENTR14147	SACKO_23559
OG0000030	XENTR12816	SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032
OG0000031	XENTR05405, XENTR03766	SACKO_18621
OG0000031	XENTR08553, XENTR05384, XENTR03164	SACKO_18614
OG0000031	XENTR00229	SACKO_21501
OG0000031	XENTR12584, XENTR00918	SACKO_14417
OG0000031	XENTR00006, XENTR16792, XENTR04300	SACKO_32680
OG0000031	XENTR00917, XENTR11778	SACKO_14578
OG0000031	XENTR09425	SACKO_03088
OG0000032	XENTR06599	SACKO_26058
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754
OG0000032	XENTR17016	SACKO_02664
OG0000032	XENTR03433	SACKO_04047, SACKO_04056, SACKO_31787, SACKO_31778, SACKO_31779, SACKO_31775, SACKO_31777, SACKO_31788, SACKO_31776, SACKO_31785, SACKO_04038, SACKO_28244, SACKO_28242, SACKO_28243
OG0000034	XENTR04943	SACKO_08906
OG0000034	XENTR11418, XENTR11419, XENTR10883, XENTR07417	SACKO_15619
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	SACKO_19192
OG0000034	XENTR15456	SACKO_16505
OG0000034	XENTR10156	SACKO_05860
OG0000034	XENTR16254	SACKO_20630, SACKO_18516, SACKO_29852
OG0000034	XENTR08340	SACKO_20915
OG0000034	XENTR11637	SACKO_20262
OG0000035	XENTR05239	SACKO_02558
OG0000035	XENTR05079, XENTR05317, XENTR05866, XENTR05867	SACKO_19408
OG0000035	XENTR07648	SACKO_12639
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	SACKO_13246
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	SACKO_16912, SACKO_19307, SACKO_22660
OG0000035	XENTR13293, XENTR09857	SACKO_08422
OG0000036	XENTR07761, XENTR12415, XENTR07272	SACKO_28321
OG0000036	XENTR01038, XENTR15969	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	SACKO_28315
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114	SACKO_22630
OG0000037	XENTR16580, XENTR14770, XENTR03861	SACKO_05171
OG0000037	XENTR10865, XENTR10696	SACKO_15149
OG0000037	XENTR18131	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956
OG0000038	XENTR04197, XENTR04200	SACKO_08731, SACKO_00016
OG0000038	XENTR04206	SACKO_05258, SACKO_05271
OG0000039	XENTR03946, XENTR03945	SACKO_24480
OG0000039	XENTR17227	SACKO_16726, SACKO_16701
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	SACKO_08282
