Orthogroup	APOSJ_ok	SACKO_ok
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	SACKO_12749
OG0000000	APOSJ_43984, APOSJ_47154	SACKO_25619
OG0000000	APOSJ_18686	SACKO_16683
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	SACKO_25799
OG0000000	APOSJ_32352	SACKO_08208, SACKO_08197
OG0000000	APOSJ_18136	SACKO_32730, SACKO_17792
OG0000000	APOSJ_34245	SACKO_31887
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	SACKO_24012
OG0000000	APOSJ_36728	SACKO_11588
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	SACKO_24002
OG0000000	APOSJ_20159	SACKO_24031
OG0000000	APOSJ_40396	SACKO_24025
OG0000000	APOSJ_37520	SACKO_26673
OG0000000	APOSJ_38857, APOSJ_38860	SACKO_06485
OG0000000	APOSJ_32562, APOSJ_32561	SACKO_31872
OG0000000	APOSJ_47531, APOSJ_29010	SACKO_24017
OG0000000	APOSJ_05847, APOSJ_05848	SACKO_23999
OG0000000	APOSJ_38441	SACKO_23994, SACKO_24038
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	SACKO_11599
OG0000000	APOSJ_56734	SACKO_31901
OG0000000	APOSJ_31415	SACKO_31899
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	SACKO_11978
OG0000000	APOSJ_02527	SACKO_12011
OG0000001	APOSJ_40516, APOSJ_28860	SACKO_04733
OG0000001	APOSJ_12278, APOSJ_36722	SACKO_04743, SACKO_04719
