Orthogroup	STRPU_ok	NEMVE
OG0000000	STRPU_10146, STRPU_10084	NEMVE15388
OG0000000	STRPU_22262	NEMVE01834
OG0000000	STRPU_10304	NEMVE09627, NEMVE02365
OG0000000	STRPU_10010	NEMVE04822
OG0000000	STRPU_10083, STRPU_10145	NEMVE05015
OG0000000	STRPU_10015	NEMVE11246
OG0000000	STRPU_10016	NEMVE02875
OG0000000	STRPU_02929	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	STRPU_19906	NEMVE03328, NEMVE00592, NEMVE06804
OG0000000	STRPU_23673, STRPU_23648	NEMVE07200
OG0000000	STRPU_09982, STRPU_09961	NEMVE02364
OG0000000	STRPU_20780	NEMVE04732, NEMVE07124
OG0000000	STRPU_23557	NEMVE03387
OG0000000	STRPU_05654	NEMVE06009
OG0000000	STRPU_23204	NEMVE04803
OG0000000	STRPU_23203	NEMVE07193, NEMVE16932, NEMVE07210
OG0000000	STRPU_05390	NEMVE05986
OG0000000	STRPU_23197, STRPU_23198, STRPU_23196, STRPU_23194, STRPU_23195	NEMVE15281
OG0000000	STRPU_23756	NEMVE07211
OG0000000	STRPU_22253	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	STRPU_09852	NEMVE05017
OG0000000	STRPU_05830	NEMVE15350
OG0000000	STRPU_23207	NEMVE07203
OG0000000	STRPU_10189	NEMVE17362
OG0000000	STRPU_09890	NEMVE17363
OG0000000	STRPU_21017	NEMVE10113
OG0000000	STRPU_21014	NEMVE14999, NEMVE10106
OG0000001	STRPU_14334	NEMVE05354
OG0000001	STRPU_05173, STRPU_05094	NEMVE01893, NEMVE23127
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	NEMVE12746, NEMVE11137, NEMVE20003, NEMVE05609, NEMVE05631, NEMVE07322, NEMVE20730, NEMVE15468, NEMVE03781, NEMVE11138
OG0000002	STRPU_21867, STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991, STRPU_25851, STRPU_22729, STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083, STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453, STRPU_11801, STRPU_04204, STRPU_04244, STRPU_03069, STRPU_04415, STRPU_16798, STRPU_15494, STRPU_16800, STRPU_16796, STRPU_04913, STRPU_04447, STRPU_06289, STRPU_06334, STRPU_25048, STRPU_20582, STRPU_20566, STRPU_00361, STRPU_18021, STRPU_18027	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	STRPU_24147	NEMVE07432, NEMVE12844
OG0000003	STRPU_12381, STRPU_12395, STRPU_12415, STRPU_12400, STRPU_12399, STRPU_12411, STRPU_12398, STRPU_12397, STRPU_12396, STRPU_12394, STRPU_12393, STRPU_12392, STRPU_12391, STRPU_12390, STRPU_12389, STRPU_12388, STRPU_12387, STRPU_12386, STRPU_12385, STRPU_12384, STRPU_12383, STRPU_12382, STRPU_12380, STRPU_12379, STRPU_12378	NEMVE24647
OG0000003	STRPU_22487, STRPU_22462, STRPU_22485, STRPU_08169, STRPU_07935, STRPU_22967	NEMVE10016
OG0000003	STRPU_00063	NEMVE08653, NEMVE10994, NEMVE03429
OG0000003	STRPU_21266	NEMVE02402
OG0000003	STRPU_08968, STRPU_08981	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682
OG0000003	STRPU_02656, STRPU_06609	NEMVE11586, NEMVE03490, NEMVE06078
OG0000003	STRPU_07634	NEMVE08017
