target_id	length	eff_length	est_counts	tpm
rna-XM_035809314.1	4367	4168	3963.86	40.7376
rna-XM_035809311.1	7960	7761	8014.08	44.2325
rna-XM_035809312.1	2231	2032	536	11.2992
rna-XM_035809927.1	1635	1436	2104	62.762
rna-XM_035843980.1	1957	1758	108.769	2.65027
rna-XM_035843291.1	2870	2671	4264	68.3831
rna-XM_035843288.1	8290	8091	7603	40.252
rna-XM_035842700.1	6972	6773	801	5.0659
rna-XM_035844125.1	7002	6803	3346.47	21.0713
rna-XR_004833096.1	2378	2179	734.44	14.4379
rna-XM_035844220.1	1276	1077	937	37.2674
rna-XR_004833035.1	888	689	8	0.497366
rna-XM_035843555.1	7535	7336	1400	8.17474
rna-XM_035843558.1	1785	1586	546.483	14.7597
rna-XR_004833034.1	1816	1617	594.38	15.7456
rna-XM_035844186.1	2399	2200	65	1.2656
rna-XM_035843121.1	9611	9412	895.876	4.07729
rna-XM_035843648.1	681	482	0	0
rna-XM_035844039.1	1277	1078	5	0.198681
rna-XM_035843054.1	2787	2588	1788.86	29.6086
rna-XM_035843051.1	4058	3859	653	7.24842
rna-XM_035842353.1	3636	3437	18175	226.517
rna-XM_035842345.1	2562	2363	535.488	9.70714
rna-XM_035842347.1	2561	2362	4369	79.2332
rna-XR_004832958.1	1734	1535	52.9645	1.47802
rna-XR_004832955.1	2424	2225	2.46288	0.0474152
rna-Trnad-guc-16	72	3.52559	0	0
rna-XM_035844096.1	1046	847	13181	666.607
rna-XM_035843374.1	8247	8048	3249	17.2929
rna-XM_035843375.1	7869	7670	514	2.8706
rna-XM_035843378.1	5092	4893	629	5.50656
rna-XM_035843376.1	1108	909	87	4.09978
rna-XM_035844147.1	4071	3872	1225.76	13.5605
rna-XM_035844146.1	5380	5181	1463	12.0958
rna-XR_004833092.1	1294	1095	33.4885	1.31005
rna-XR_004833093.1	941	742	0	0
rna-XM_035843651.1	2352	2153	964.419	19.1879
rna-XM_035843693.1	1602	1403	2202	67.2303
rna-XM_035843699.1	1894	1695	125.006	3.15913
rna-XM_035843654.1	519	320	15	2.00792
rna-XR_004833074.1	339	140	9	2.75372
rna-XM_035843941.1	1880	1681	64.2462	1.63714
rna-XR_004833047.1	1692	1493	46.1277	1.32345
rna-XM_035843767.1	721	522	1.8723	0.153642
rna-XM_035843655.1	1210	1011	0	0
rna-XM_035843037.1	997	798	0	0
rna-XM_035843038.1	487	288	0	0
gene-LOC118432129	2806	2607	0	0
rna-XM_035843033.1	1491	1292	0	0
rna-XM_035843036.1	844	645	0	0
rna-XM_035843039.1	476	277	0	0
rna-XM_035843032.1	789	590	0	0
rna-XM_035843034.1	931	732	12.0947	0.707765
rna-XM_035843035.1	906	707	0	0
rna-XM_035843041.1	487	288	0	0
rna-XM_035844128.1	2060	1861	203.379	4.68127
rna-XM_035843657.1	1111	912	19.5415	0.917844
rna-XM_035843624.1	2698	2499	98.0095	1.67999
rna-XM_035844189.1	1731	1532	90.5164	2.53089
rna-XM_035843659.1	2798	2599	121.808	2.00759
rna-XM_035844048.1	3748	3549	97	1.17077
rna-XM_035844265.1	409	210	0	0
rna-XM_035844256.1	799	600	1	0.0713927
rna-XM_035844245.1	1615	1416	0	0
rna-XM_035844269.1	405	206	2	0.41588
rna-XM_035844248.1	719	520	0	0
rna-XM_035844262.1	841	642	0	0
rna-XM_035843660.1	1019	820	3	0.156716
rna-XR_004833110.1	1293	1094	10.0632	0.394026
rna-XM_035844231.1	2144	1945	128.865	2.83805
rna-XM_035843661.1	2803	2604	175.994	2.89509
rna-XM_035844249.1	1418	1219	273.879	9.62412
rna-XM_035843662.1	5465	5266	325.803	2.6502
rna-XR_004833109.1	363	164	0	0
rna-XM_035844246.1	2248	2049	676.781	14.1485
rna-XM_035844230.1	4579	4380	5443	53.2316
rna-XR_004833108.1	1249	1050	2676.37	109.185
rna-XM_035844234.1	2145	1946	329	7.242
rna-XM_035844235.1	2197	1998	766	16.4225
rna-XM_035844236.1	2061	1862	165.251	3.80163
rna-XM_035844229.1	2417	2218	17	0.328316
rna-XM_035844247.1	1181	982	18	0.785175
rna-XM_035844228.1	4695	4496	766.571	7.30351
rna-XM_035844232.1	2074	1875	156.247	3.56957
rna-Trnaa-agc-3	73	3.5471	0	0
rna-XM_035844243.1	812	613	0	0
rna-XM_035843667.1	1246	1047	0	0
rna-XM_035844259.1	823	624	0	0
rna-XM_035844258.1	894	695	0	0
rna-XM_035844266.1	416	217	0	0
rna-XM_035843668.1	2536	2337	0	0
gene-LOC118432614	1378	1179	0	0
rna-XM_035844238.1	905	706	0	0
rna-XM_035844237.1	1349	1150	27.3315	1.01805
rna-XM_035843669.1	949	750	38.4213	2.1944
rna-Trnaa-agc-4	73	3.5471	0	0
rna-XM_035844241.1	1241	1042	0	0
rna-XM_035844253.1	966	767	0	0
rna-XM_035844261.1	502	303	0	0
rna-XM_035844267.1	606	407	0	0
rna-XM_035844270.1	1373	1174	0	0
rna-XM_035844240.1	1400	1201	0	0
rna-XM_035844257.1	841	642	0	0
rna-XM_035844268.1	603	404	0	0
rna-XM_035844242.1	1362	1163	0	0
rna-XM_035844252.1	965	766	0	0
rna-XM_035844260.1	894	695	0	0
rna-XM_035844263.1	602	403	0	0
rna-XM_035843670.1	2044	1845	0	0
rna-XM_035844239.1	1379	1180	0	0
gene-LOC118432631	619	420	0	0
rna-XM_035844255.1	793	594	0	0
rna-XM_035844029.1	560	361	0	0
rna-XM_035843671.1	3400	3201	151.53	2.02777
rna-XR_004833040.1	873	674	5.65049	0.359113
rna-XM_035843643.1	2059	1860	16	0.368479
rna-XM_035843672.1	735	536	7.27651	0.581518
rna-XM_035844288.1	1096	897	23.6163	1.12778
rna-XM_035843674.1	501	302	1.03122	0.146268
rna-XM_035842344.1	826	627	24.0334	1.64192
rna-XM_035843568.1	1595	1396	36.8687	1.1313
rna-XM_035843566.1	1992	1793	67.8538	1.62106
rna-XR_004833113.1	1795	1596	0	0
rna-XR_004833111.1	154	7.38779	0.2	1.15963
rna-XR_004833114.1	3891	3692	8.63913	0.100234
