Orthogroup	XENTR	Other
OG0000006	XENTR03090	MOUSE29954
OG0000008	XENTR00105	DROME19967, DROME19966, DROME19965
OG0000026	XENTR07244, XENTR03079	AENJA_10622
OG0000026	XENTR07244, XENTR03079	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000034	XENTR04943	APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000052	XENTR09745, XENTR16766, XENTR16795	AMPFI_17342, AMPFI_21992, AMPFI_16769
OG0000094	XENTR18065	APOSJ_63079
OG0000094	XENTR18065	TCONS_00014948.p1
OG0000094	XENTR15146	APOSC_24152
OG0000098	XENTR18632	OFUSG19724.1.p1, OFUSG12695.1.p1
OG0000098	XENTR18632	BRALA00433
OG0000098	XENTR18632	NEMVE25900
OG0000098	XENTR18632	AENJA_10136, AENJA_10137
OG0000098	XENTR18632	LYTVA_15643
OG0000098	XENTR18632	HELIO_07543
OG0000098	XENTR18632	STRPU_22565, STRPU_22567, STRPU_16696
OG0000098	XENTR18632	APOSC_13174, APOSC_13175
OG0000098	XENTR18632	AMPFI_13259, AMPFI_24967
OG0000098	XENTR18632	TCONS_00019738.p1
OG0000098	XENTR18632	APOSJ_49529
OG0000098	XENTR18632	bflo_24865
OG0000122	XENTR06907, XENTR17281	AMPFI_04266, AMPFI_05019
OG0000157	XENTR09559	SCHMD05230
OG0000162	XENTR12697, XENTR12696	MOUSE14762, MOUSE26325, MOUSE26308, MOUSE14755, MOUSE14763, MOUSE26307
OG0000162	XENTR12697, XENTR12696	DANRE42795, DANRE42796
OG0000162	XENTR12697, XENTR12696	DROME21138, DROME21116
OG0000162	XENTR12697, XENTR12696	ORYLA08646
OG0000162	XENTR12697, XENTR12696	SCHMD08936, SCHMD26694
OG0000162	XENTR12697, XENTR12696	AENJA_09371
OG0000162	XENTR12697, XENTR12696	BRALA29217, BRALA32848, BRALA35892, BRALA35512, BRALA28170, BRALA34322, BRALA34430, BRALA35671, BRALA34178
OG0000162	XENTR12697, XENTR12696	bflo_03351
OG0000162	XENTR12697, XENTR12696	MOUSE14762, MOUSE26325, MOUSE26308, MOUSE14755, MOUSE14763, MOUSE26307
OG0000192	XENTR16408	HELIO_03073
OG0000240	XENTR00848, XENTR00849	TCONS_00005653.p1
OG0000263	XENTR08076	AMPFI_01637
OG0000265	XENTR04690	LYTVA_27571
OG0000265	XENTR04690	SACKO_28292
OG0000320	XENTR04771	BRALA04996
OG0000374	XENTR06197, XENTR03155	OFUSG15949.1.p1
OG0000403	XENTR17855	AENJA_04017, AENJA_04018, AENJA_10837, AENJA_13145, AENJA_22049, AENJA_05868
OG0000403	XENTR17855	APOSJ_43150, APOSJ_08755, APOSJ_08759, APOSJ_08761, APOSJ_08757, APOSJ_08760, APOSJ_08756
OG0000403	XENTR17855	APOSC_16595, APOSC_10365
OG0000403	XENTR17855	STRPU_17241, STRPU_17239
OG0000403	XENTR17855	LYTVA_17322, LYTVA_05699
OG0000405	XENTR04243	MOUSE10145, MOUSE10152
OG0000425	XENTR18784	AMPFI_13246
OG0000425	XENTR18784	STRPU_20952
OG0000427	XENTR06248	APOSC_18019
OG0000442	XENTR17716, XENTR12755	BRALA33737
OG0000454	XENTR15860	ORYLA14943
OG0000459	XENTR07204, XENTR12836, XENTR12837	SACKO_12873
OG0000474	XENTR17592	APOSC_06438, APOSC_01743
OG0000478	XENTR07036	SACKO_25523
OG0000525	XENTR10927	STRPU_08645
OG0000579	XENTR06804	AENJA_20737
