Orthogroup	APOSC_ok	CAPO3
OG0000003	APOSC_09420, APOSC_22070, APOSC_13273, APOSC_13272, APOSC_21853, APOSC_21855, APOSC_00102, APOSC_28638, APOSC_28639, APOSC_26010, APOSC_06907, APOSC_24394, APOSC_02274, APOSC_01247, APOSC_01039, APOSC_08250, APOSC_08634, APOSC_17084, APOSC_28448, APOSC_01690, APOSC_12113, APOSC_02631, APOSC_04148, APOSC_07747, APOSC_20058, APOSC_08367, APOSC_26963, APOSC_22836, APOSC_06957, APOSC_05483, APOSC_22147, APOSC_01527, APOSC_27026, APOSC_05500, APOSC_20479, APOSC_07192, APOSC_04713, APOSC_02027, APOSC_28978, APOSC_03822, APOSC_06472	CAPO301945
OG0000005	APOSC_24691, APOSC_28430, APOSC_12554, APOSC_26754, APOSC_11873, APOSC_03752, APOSC_17628, APOSC_24150, APOSC_27102, APOSC_20826, APOSC_07088, APOSC_23550, APOSC_22041, APOSC_27830, APOSC_04819, APOSC_14554, APOSC_09560, APOSC_20452, APOSC_23355, APOSC_10626, APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644, APOSC_15445, APOSC_13185, APOSC_03153, APOSC_23541, APOSC_21707	CAPO308356, CAPO307946
OG0000007	APOSC_04562, APOSC_09541, APOSC_09542	CAPO304209
OG0000007	APOSC_22651	CAPO303284
OG0000007	APOSC_17950	CAPO300935
OG0000007	APOSC_07482	CAPO305123
OG0000012	APOSC_26906, APOSC_13089, APOSC_13014, APOSC_18904, APOSC_16185, APOSC_27929, APOSC_28450, APOSC_10605, APOSC_00485, APOSC_13929, APOSC_27839, APOSC_02220, APOSC_02306, APOSC_12260, APOSC_27838, APOSC_16677, APOSC_16678, APOSC_19749, APOSC_06066, APOSC_04391, APOSC_15314, APOSC_13357, APOSC_14126, APOSC_26267, APOSC_20161, APOSC_12609, APOSC_06350, APOSC_05390, APOSC_15931, APOSC_01631, APOSC_26545, APOSC_14826	CAPO302923, CAPO302931
OG0000015	APOSC_22269, APOSC_08494, APOSC_02353, APOSC_12040, APOSC_14290, APOSC_28281, APOSC_03142, APOSC_28752, APOSC_04279	CAPO302521
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	CAPO300049
OG0000016	APOSC_09217, APOSC_09216	CAPO304360
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907, APOSC_26372, APOSC_26868, APOSC_26028	CAPO306803
OG0000016	APOSC_14883	CAPO303259
OG0000016	APOSC_28721, APOSC_09296, APOSC_03753, APOSC_27534, APOSC_05485, APOSC_19884	CAPO300936
OG0000023	APOSC_14757, APOSC_14758, APOSC_18948, APOSC_18947, APOSC_29066, APOSC_12894, APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982, APOSC_03049, APOSC_21557, APOSC_11580, APOSC_03050, APOSC_03048, APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870, APOSC_12268, APOSC_15754, APOSC_15753, APOSC_23115, APOSC_15512, APOSC_29076	CAPO307690
OG0000029	APOSC_07574, APOSC_20436, APOSC_04700, APOSC_18084, APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971, APOSC_15506	CAPO307131
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	CAPO300110
OG0000030	APOSC_23944, APOSC_11647, APOSC_21982, APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867, APOSC_00359, APOSC_18052, APOSC_19478, APOSC_12431, APOSC_12430, APOSC_25084, APOSC_18736, APOSC_12149, APOSC_21747, APOSC_27610	CAPO305356, CAPO301638, CAPO307563
OG0000031	APOSC_01319	CAPO303729
OG0000035	APOSC_21179, APOSC_27035, APOSC_25163, APOSC_04822, APOSC_04821, APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826, APOSC_25872, APOSC_04998, APOSC_25573, APOSC_08656, APOSC_21135, APOSC_21136, APOSC_16251, APOSC_27270	CAPO307346, CAPO308354
OG0000039	APOSC_12842, APOSC_27514	CAPO306958, CAPO306959
OG0000041	APOSC_19034, APOSC_26184, APOSC_00445, APOSC_29024	CAPO308025, CAPO306861
OG0000043	APOSC_10405, APOSC_20159, APOSC_07558, APOSC_12898	CAPO308256
OG0000048	APOSC_20195, APOSC_19960, APOSC_08567, APOSC_07074, APOSC_07656	CAPO306877
OG0000048	APOSC_11343	CAPO303671, CAPO303687, CAPO303495
OG0000048	APOSC_03220	CAPO304823
OG0000049	APOSC_16875, APOSC_03799, APOSC_21344, APOSC_10378, APOSC_00932, APOSC_16928, APOSC_08279, APOSC_26768, APOSC_02986, APOSC_00276, APOSC_12037, APOSC_12038, APOSC_06675, APOSC_16013, APOSC_03058, APOSC_16012, APOSC_13440	CAPO304018
OG0000051	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789, APOSC_17127, APOSC_08347, APOSC_17477, APOSC_05458, APOSC_29038	CAPO307809, CAPO301249
OG0000053	APOSC_10479	CAPO302193
OG0000053	APOSC_02303	CAPO307363
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	CAPO302015
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209, APOSC_17578, APOSC_21646, APOSC_28851, APOSC_04117, APOSC_04228	CAPO305974, CAPO306012, CAPO306941
OG0000058	APOSC_09888	CAPO305595
OG0000058	APOSC_06035, APOSC_20919	CAPO307225
OG0000060	APOSC_15645, APOSC_26756, APOSC_09536, APOSC_09537, APOSC_08992	CAPO305373
OG0000062	APOSC_00581, APOSC_20110, APOSC_00579, APOSC_00578, APOSC_25920, APOSC_02209, APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763, APOSC_18486, APOSC_01084, APOSC_04350, APOSC_22669, APOSC_22670, APOSC_00580, APOSC_02213, APOSC_02214, APOSC_02215, APOSC_02211, APOSC_02210, APOSC_02207	CAPO300910
OG0000063	APOSC_16969, APOSC_25041, APOSC_17949, APOSC_04214, APOSC_22074, APOSC_13172, APOSC_22080, APOSC_00283, APOSC_03289, APOSC_03344, APOSC_25427, APOSC_07856, APOSC_00623, APOSC_13886, APOSC_04832	CAPO300270
