TCONS_00000010.p1	OFUSG03055.1.p1
TCONS_00000092.p1	OFUSG17531.1.p1
TCONS_00000092.p1	OFUSG17531.2.p1
TCONS_00000092.p1	OFUSG17531.3.p1
TCONS_00000093.p2	OFUSG23348.1.p2
TCONS_00000094.p1	OFUSG09346.1.p1
TCONS_00000094.p1	OFUSG25565.1.p1
TCONS_00000101.p1	OFUSG09884.1.p1
TCONS_00000102.p1	OFUSG03754.1.p1
TCONS_00000102.p1	OFUSG10339.1.p1
TCONS_00000103.p1	OFUSG00392.1.p1
TCONS_00000103.p1	OFUSG00392.2.p1
TCONS_00000103.p1	OFUSG02599.2.p1
TCONS_00000103.p1	OFUSG06755.1.p1
TCONS_00000103.p1	OFUSG13559.1.p1
TCONS_00000103.p1	OFUSG25274.1.p1
TCONS_00000105.p1	OFUSG23347.1.p1
TCONS_00000105.p1	OFUSG23347.2.p1
TCONS_00000105.p1	OFUSG23347.4.p1
TCONS_00000105.p1	OFUSG23347.5.p1
TCONS_00000115.p1	OFUSG00218.1.p1
TCONS_00000115.p1	OFUSG00218.2.p1
TCONS_00000118.p1	OFUSG15724.1.p1
TCONS_00000124.p1	OFUSG03351.1.p1
TCONS_00000124.p1	OFUSG07199.1.p1
TCONS_00000124.p1	OFUSG26849.1.p1
TCONS_00000124.p1	OFUSG26850.1.p1
TCONS_00000125.p1	OFUSG01878.1.p1
TCONS_00000127.p1	OFUSG21603.1.p1
TCONS_00000127.p1	OFUSG22364.1.p1
TCONS_00000128.p1	OFUSG01533.1.p1
TCONS_00000131.p1	OFUSG00060.1.p1
TCONS_00000136.p1	OFUSG01899.1.p1
TCONS_00000136.p1	OFUSG01900.1.p1
TCONS_00000141.p1	OFUSG00902.1.p1
TCONS_00000141.p1	OFUSG23826.1.p1
TCONS_00000141.p1	OFUSG23826.2.p1
TCONS_00000152.p1	OFUSG00222.1.p1
TCONS_00000152.p1	OFUSG00224.1.p1
TCONS_00000153.p1	OFUSG00664.1.p1
TCONS_00000153.p1	OFUSG00664.2.p1
TCONS_00000162.p1	OFUSG06667.1.p1
TCONS_00000162.p1	OFUSG11933.1.p1
TCONS_00000164.p1	OFUSG01336.1.p1
TCONS_00000165.p1	OFUSG00724.1.p1
TCONS_00000166.p1	OFUSG01364.1.p1
TCONS_00000166.p1	OFUSG01364.2.p1
TCONS_00000170.p1	OFUSG01337.1.p1
TCONS_00000170.p1	OFUSG01337.2.p1
TCONS_00000170.p1	OFUSG01337.3.p1
TCONS_00000170.p1	OFUSG01337.4.p1
TCONS_00000173.p1	OFUSG01761.1.p1
TCONS_00000173.p1	OFUSG17016.1.p1
TCONS_00000174.p1	OFUSG17417.1.p1
TCONS_00000180.p1	OFUSG13570.1.p1
TCONS_00000181.p1	OFUSG00940.1.p1
TCONS_00000185.p1	OFUSG01059.1.p1
TCONS_00000187.p1	OFUSG01428.1.p1
TCONS_00000188.p1	OFUSG00411.1.p1
