AENJA_00004	bflo_12581
AENJA_00010	bflo_13486
AENJA_00015	bflo_16460
AENJA_00019	bflo_04437
AENJA_00020	bflo_13908
AENJA_00027	bflo_13834
AENJA_00046	bflo_11904
AENJA_00050	bflo_11017
AENJA_00051	bflo_11372
AENJA_00054	bflo_19082
AENJA_00055	bflo_14515
AENJA_00057	bflo_08696
AENJA_00058	bflo_09773
AENJA_00093	bflo_05068
AENJA_00095	bflo_15547
AENJA_00096	bflo_16824
AENJA_00097	bflo_16566
AENJA_00099	bflo_16711
AENJA_00100	bflo_15544
AENJA_00104	bflo_09453
AENJA_00109	bflo_01895
AENJA_00119	bflo_14823
AENJA_00139	bflo_21684
AENJA_00146	bflo_14434
AENJA_00150	bflo_12549
AENJA_00151	bflo_20499
AENJA_00153	bflo_14002
AENJA_00154	bflo_13340
AENJA_00156	bflo_07914
AENJA_00157	bflo_24783
AENJA_00160	bflo_01186
AENJA_00161	bflo_01188
AENJA_00162	bflo_01745
AENJA_00163	bflo_01743
AENJA_00164	bflo_01542
AENJA_00174	bflo_12840
AENJA_00181	bflo_17437
AENJA_00187	bflo_11262
AENJA_00188	bflo_06583
AENJA_00222	bflo_23649
AENJA_00225	bflo_09371
AENJA_00226	bflo_09617
AENJA_00228	bflo_23801
AENJA_00229	bflo_21186
AENJA_00234	bflo_20693
AENJA_00238	bflo_14445
AENJA_00247	bflo_22860
AENJA_00249	bflo_23119
AENJA_00254	bflo_07410
AENJA_00263	bflo_20522
AENJA_00266	bflo_21004
AENJA_00268	bflo_00908
AENJA_00284	bflo_18987
AENJA_00306	bflo_16890
AENJA_00307	bflo_20404
AENJA_00310	bflo_20025
AENJA_00316	bflo_21962
AENJA_00317	bflo_06636
AENJA_00318	bflo_05783
AENJA_00320	bflo_05590
AENJA_00324	bflo_02716
AENJA_00349	bflo_01703
AENJA_00356	bflo_06652
AENJA_00359	bflo_04954
AENJA_00361	bflo_05733
AENJA_00362	bflo_05732
AENJA_00374	bflo_12034
AENJA_00376	bflo_12080
AENJA_00377	bflo_12103
AENJA_00382	bflo_20893
AENJA_00390	bflo_08501
AENJA_00392	bflo_07667
AENJA_00395	bflo_25207
AENJA_00396	bflo_20563
AENJA_00397	bflo_07592
AENJA_00399	bflo_20502
AENJA_00401	bflo_20510
AENJA_00418	bflo_17788
AENJA_00420	bflo_17474
AENJA_00432	bflo_05425
AENJA_00435	bflo_04600
AENJA_00437	bflo_05663
AENJA_00440	bflo_11835
AENJA_00444	bflo_05190
AENJA_00451	bflo_20572
AENJA_00454	bflo_02051
AENJA_00456	bflo_00987
AENJA_00457	bflo_20635
AENJA_00461	bflo_20382
AENJA_00482	bflo_06188
AENJA_00483	bflo_07269
AENJA_00506	bflo_17388
AENJA_00507	bflo_17716
AENJA_00518	bflo_13923
AENJA_00525	bflo_23081
AENJA_00528	bflo_15120
AENJA_00532	bflo_23614
AENJA_00544	bflo_24600
AENJA_00551	bflo_14204
AENJA_00552	bflo_14126
AENJA_00553	bflo_17824
AENJA_00555	bflo_15056
AENJA_00564	bflo_25196
AENJA_00566	bflo_15667
AENJA_00571	bflo_15014
AENJA_00573	bflo_14504
AENJA_00579	bflo_14317
AENJA_00585	bflo_17526
AENJA_00588	bflo_17895
AENJA_00589	bflo_17517
AENJA_00590	bflo_17427
AENJA_00591	bflo_17530
AENJA_00593	bflo_18063
AENJA_00600	bflo_05676
AENJA_00603	bflo_25725
AENJA_00606	bflo_26234
AENJA_00638	bflo_24295
AENJA_00650	bflo_01207
AENJA_00652	bflo_25724
AENJA_00653	bflo_25325
AENJA_00658	bflo_19121
AENJA_00667	bflo_06229
AENJA_00673	bflo_13206
AENJA_00697	bflo_19885
AENJA_00700	bflo_15149
AENJA_00701	bflo_11605
AENJA_00704	bflo_04372
AENJA_00706	bflo_06190
AENJA_00713	bflo_06108
AENJA_00714	bflo_25608
AENJA_00719	bflo_21998
AENJA_00731	bflo_13762
AENJA_00732	bflo_19399
AENJA_00735	bflo_19433
AENJA_00748	bflo_07621
AENJA_00758	bflo_15932
AENJA_00764	bflo_13274
AENJA_00766	bflo_13727
AENJA_00767	bflo_13719
AENJA_00771	bflo_09018
AENJA_00782	bflo_25982
AENJA_00785	bflo_03383
AENJA_00791	bflo_06051
AENJA_00796	bflo_11702
AENJA_00803	bflo_08384
AENJA_00804	bflo_11746
AENJA_00815	bflo_04783
AENJA_00836	bflo_05873
AENJA_00838	bflo_22975
AENJA_00856	bflo_14339
AENJA_00868	bflo_10789
AENJA_00869	bflo_10393
AENJA_00871	bflo_10611
AENJA_00873	bflo_10532
AENJA_00877	bflo_10812
AENJA_00884	bflo_13612
AENJA_00888	bflo_10380
AENJA_00889	bflo_10418
AENJA_00890	bflo_14795
AENJA_00912	bflo_20030
AENJA_00917	bflo_20182
AENJA_00923	bflo_24202
AENJA_00931	bflo_25142
AENJA_00950	bflo_06801
AENJA_00951	bflo_01982
AENJA_00953	bflo_00820
AENJA_00962	bflo_26481
AENJA_00967	bflo_23696
AENJA_00975	bflo_15127
AENJA_00978	bflo_01527
AENJA_00983	bflo_01164
AENJA_00985	bflo_22993
AENJA_00987	bflo_23250
AENJA_00990	bflo_00529
AENJA_00994	bflo_02802
AENJA_00995	bflo_15435
AENJA_01001	bflo_14179
AENJA_01004	bflo_14318
AENJA_01011	bflo_25550
AENJA_01012	bflo_19039
AENJA_01014	bflo_25252
AENJA_01019	bflo_06991
AENJA_01025	bflo_02654
AENJA_01039	bflo_19700
AENJA_01041	bflo_22631
AENJA_01042	bflo_22911
AENJA_01043	bflo_23044
AENJA_01044	bflo_25720
AENJA_01045	bflo_00972
AENJA_01064	bflo_18080
AENJA_01066	bflo_17348
AENJA_01067	bflo_18154
AENJA_01088	bflo_25098
AENJA_01089	bflo_23972
AENJA_01095	bflo_18115
AENJA_01098	bflo_10139
AENJA_01099	bflo_09728
AENJA_01100	bflo_07483
AENJA_01101	bflo_09338
AENJA_01102	bflo_15983
AENJA_01104	bflo_10169
AENJA_01105	bflo_10219
AENJA_01109	bflo_07643
AENJA_01120	bflo_07197
AENJA_01125	bflo_23868
AENJA_01136	bflo_25854
AENJA_01142	bflo_24257
AENJA_01145	bflo_10337
AENJA_01166	bflo_26032
AENJA_01169	bflo_25558
AENJA_01170	bflo_25567
AENJA_01172	bflo_12262
AENJA_01173	bflo_03955
AENJA_01177	bflo_16747
AENJA_01184	bflo_07780
AENJA_01188	bflo_20833
AENJA_01194	bflo_06597
AENJA_01195	bflo_05656
AENJA_01196	bflo_05577
AENJA_01198	bflo_06134
AENJA_01200	bflo_02095
AENJA_01201	bflo_02086
AENJA_01202	bflo_01277
AENJA_01203	bflo_01267
AENJA_01205	bflo_11779
AENJA_01208	bflo_11543
AENJA_01223	bflo_16282
AENJA_01226	bflo_13041
AENJA_01257	bflo_17220
AENJA_01258	bflo_05424
AENJA_01259	bflo_04848
AENJA_01261	bflo_05940
AENJA_01262	bflo_19143
AENJA_01263	bflo_04461
AENJA_01266	bflo_20417
AENJA_01278	bflo_20497
AENJA_01305	bflo_13754
AENJA_01306	bflo_12613
AENJA_01313	bflo_11036
AENJA_01322	bflo_08716
AENJA_01325	bflo_17727
AENJA_01335	bflo_05782
AENJA_01361	bflo_05567
AENJA_01364	bflo_07531
AENJA_01367	bflo_07388
