Orthogroup	MOUSE	HELIO_ok
OG0000000	MOUSE35835, MOUSE46731	HELIO_01999
OG0000000	MOUSE40493, MOUSE21445	HELIO_08880
OG0000000	MOUSE46719, MOUSE46718, MOUSE35959	HELIO_06752
OG0000000	MOUSE47799, MOUSE46854, MOUSE36974	HELIO_10666
OG0000000	MOUSE50880	HELIO_03148
OG0000000	MOUSE20961	HELIO_02157
OG0000000	MOUSE24692	HELIO_11687
OG0000000	MOUSE38795	HELIO_04988
OG0000000	MOUSE35589, MOUSE35590	HELIO_00534
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	HELIO_08573
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	HELIO_06829
OG0000000	MOUSE28110, MOUSE28109	HELIO_00816
OG0000000	MOUSE07114	HELIO_04090
OG0000001	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419	HELIO_00196, HELIO_00018, HELIO_00128
OG0000002	MOUSE31557, MOUSE31558	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237
OG0000002	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284	HELIO_05342, HELIO_01248
OG0000002	MOUSE15413, MOUSE15412	HELIO_12021, HELIO_07207
OG0000003	MOUSE23701, MOUSE23700	HELIO_00523, HELIO_01732
OG0000003	MOUSE36184	HELIO_06683, HELIO_04847
OG0000004	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226	HELIO_05213
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	HELIO_04655
OG0000006	MOUSE48684, MOUSE48683	HELIO_00413
OG0000006	MOUSE33561, MOUSE33562	HELIO_09248
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	HELIO_06349
OG0000006	MOUSE38532, MOUSE38531	HELIO_00150
OG0000006	MOUSE10280	HELIO_12770
OG0000006	MOUSE19675	HELIO_08890
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	HELIO_11381, HELIO_00450
OG0000006	MOUSE08011, MOUSE15296	HELIO_08227
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	HELIO_06418
OG0000007	MOUSE09063, MOUSE49748	HELIO_01296
OG0000007	MOUSE51845, MOUSE20686	HELIO_10106
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	HELIO_00643
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	HELIO_00352
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807	HELIO_11362
OG0000007	MOUSE49749	HELIO_11129
OG0000007	MOUSE09062, MOUSE49739	HELIO_04873
OG0000007	MOUSE04689, MOUSE37388	HELIO_03703
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	HELIO_07978
OG0000007	MOUSE38586, MOUSE06525	HELIO_03118
OG0000007	MOUSE06204	HELIO_07991
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	HELIO_04275
OG0000007	MOUSE07031, MOUSE07030	HELIO_11721
OG0000010	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888	HELIO_07073
OG0000010	MOUSE14717	HELIO_09797
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	HELIO_04072, HELIO_05750
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	HELIO_06831
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	HELIO_12068
OG0000014	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976	HELIO_10724
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	HELIO_10798
OG0000016	MOUSE44325	HELIO_04641
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123	HELIO_05456
OG0000016	MOUSE13078, MOUSE13077	HELIO_09779
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	HELIO_04647
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640	HELIO_11234
OG0000020	MOUSE07164	HELIO_01087
OG0000020	MOUSE33588	HELIO_03892
OG0000020	MOUSE23587, MOUSE23586	HELIO_08119
OG0000020	MOUSE26371	HELIO_10764
OG0000020	MOUSE45175, MOUSE15405, MOUSE15402	HELIO_10811
OG0000020	MOUSE24012	HELIO_12285
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	HELIO_05828
OG0000020	MOUSE35162	HELIO_10575
OG0000020	MOUSE09601, MOUSE09602	HELIO_05888
OG0000020	MOUSE37001, MOUSE37002	HELIO_08365
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	HELIO_01918
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	HELIO_02163
OG0000021	MOUSE44445, MOUSE53773	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069
OG0000023	MOUSE46773, MOUSE46772	HELIO_07781
OG0000023	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064	HELIO_07600, HELIO_09870
OG0000026	MOUSE38308, MOUSE38309	HELIO_00695, HELIO_00694, HELIO_09541
OG0000028	MOUSE44525	HELIO_06306
OG0000029	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995	HELIO_10546, HELIO_00115
OG0000029	MOUSE17544, MOUSE15400	HELIO_11942
OG0000030	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432	HELIO_04525, HELIO_09505
OG0000031	MOUSE36273, MOUSE08529, MOUSE36272, MOUSE44530	HELIO_00637
OG0000031	MOUSE26385	HELIO_00475
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	HELIO_11237
OG0000031	MOUSE08528, MOUSE08527	HELIO_10166
OG0000031	MOUSE39309, MOUSE01505	HELIO_11573, HELIO_11428
OG0000031	MOUSE13006, MOUSE13005	HELIO_00638
OG0000031	MOUSE48656, MOUSE48889	HELIO_00007
OG0000031	MOUSE13007, MOUSE36274, MOUSE36271	HELIO_08452
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579	HELIO_02162
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	HELIO_03061, HELIO_11764, HELIO_06747
OG0000032	MOUSE29123	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986
OG0000034	MOUSE47179, MOUSE42232, MOUSE23593	HELIO_11044
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	HELIO_03040
OG0000034	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	HELIO_11045
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	HELIO_10910
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	HELIO_05981
