Orthogroup	NEMVE	SACKO_ok
OG0000000	NEMVE15388	SACKO_12749
OG0000000	NEMVE01834	SACKO_19677
OG0000000	NEMVE09627, NEMVE02365	SACKO_25619
OG0000000	NEMVE00451	SACKO_25266
OG0000000	NEMVE05015	SACKO_05553
OG0000000	NEMVE11246	SACKO_16683
OG0000000	NEMVE02875	SACKO_25799
OG0000000	NEMVE01399	SACKO_25349, SACKO_25351
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	SACKO_32730, SACKO_17792
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804	SACKO_03962
OG0000000	NEMVE07200	SACKO_26485
OG0000000	NEMVE02364	SACKO_31887
OG0000000	NEMVE03387	SACKO_26668
OG0000000	NEMVE06009	SACKO_11590
OG0000000	NEMVE08994	SACKO_24001
OG0000000	NEMVE05929	SACKO_24040
OG0000000	NEMVE05986	SACKO_11588
OG0000000	NEMVE15281	SACKO_24002, SACKO_24009, SACKO_24031, SACKO_24024, SACKO_24025
OG0000000	NEMVE07211	SACKO_26673
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	SACKO_06485
OG0000000	NEMVE05017	SACKO_31872
OG0000000	NEMVE15350	SACKO_11599
OG0000000	NEMVE07203	SACKO_22872
OG0000000	NEMVE17362	SACKO_31901
OG0000000	NEMVE17363	SACKO_31899
OG0000000	NEMVE10113	SACKO_11978
OG0000000	NEMVE14999, NEMVE10106	SACKO_12011
OG0000001	NEMVE05354	SACKO_32654, SACKO_33857
OG0000001	NEMVE11138	SACKO_23106
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	SACKO_14603, SACKO_06138, SACKO_11085, SACKO_21630, SACKO_21632, SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706, SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460, SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276, SACKO_18684, SACKO_13466, SACKO_21130, SACKO_13458, SACKO_00245, SACKO_00252
OG0000003	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682	SACKO_16447
OG0000003	NEMVE19709, NEMVE11132, NEMVE02994	SACKO_30791
OG0000003	NEMVE09864, NEMVE02602, NEMVE10394	SACKO_25210, SACKO_25215
OG0000003	NEMVE03140	SACKO_02072
OG0000003	NEMVE11653	SACKO_32071
OG0000003	NEMVE06583	SACKO_00809
OG0000003	NEMVE13177	SACKO_05907
OG0000004	NEMVE19262	SACKO_16987
OG0000004	NEMVE17481	SACKO_32657
OG0000004	NEMVE10715, NEMVE21151	SACKO_20132
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	SACKO_22081, SACKO_22108, SACKO_22102
OG0000005	NEMVE16926, NEMVE07207	SACKO_08146
OG0000005	NEMVE05730	SACKO_03236, SACKO_00899, SACKO_02650, SACKO_00900
OG0000006	NEMVE06318	SACKO_23311, SACKO_02952
OG0000006	NEMVE02889	SACKO_21129
OG0000006	NEMVE10951	SACKO_21953
OG0000006	NEMVE12700, NEMVE08468	SACKO_11503
OG0000006	NEMVE02590	SACKO_23250
OG0000006	NEMVE03392	SACKO_15817
OG0000006	NEMVE06316	SACKO_15812
OG0000006	NEMVE08216	SACKO_33806
OG0000006	NEMVE16957	SACKO_32444
OG0000006	NEMVE13593	SACKO_32440
OG0000006	NEMVE02351	SACKO_12590, SACKO_14761, SACKO_02017
OG0000006	NEMVE14647	SACKO_32500
OG0000006	NEMVE04712	SACKO_06429, SACKO_06435
OG0000006	NEMVE13538	SACKO_32477
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	SACKO_20803
OG0000006	NEMVE08464	SACKO_32388
OG0000006	NEMVE22273, NEMVE03946	SACKO_22000
OG0000007	NEMVE15003	SACKO_33112
OG0000007	NEMVE14764	SACKO_16486
OG0000007	NEMVE13570	SACKO_25751
OG0000007	NEMVE08145	SACKO_30170
OG0000007	NEMVE06210	SACKO_17363
OG0000007	NEMVE02350, NEMVE21807	SACKO_07507
OG0000007	NEMVE09701, NEMVE03333	SACKO_03410
OG0000007	NEMVE16064	SACKO_15684, SACKO_15694, SACKO_22717
OG0000007	NEMVE02349	SACKO_15952
OG0000007	NEMVE01414, NEMVE06618	SACKO_11677
OG0000007	NEMVE09853	SACKO_15953
OG0000007	NEMVE09056	SACKO_00920
OG0000007	NEMVE09467	SACKO_27771
OG0000007	NEMVE03824	SACKO_27817
OG0000007	NEMVE09051	SACKO_00927
OG0000007	NEMVE03714	SACKO_02233
OG0000007	NEMVE10605	SACKO_03579
OG0000007	NEMVE09289	SACKO_31102, SACKO_31073
OG0000007	NEMVE05677	SACKO_11981
OG0000008	NEMVE08509, NEMVE08519, NEMVE09930	SACKO_31986, SACKO_33937, SACKO_05540
OG0000008	NEMVE06108, NEMVE06085, NEMVE20467, NEMVE06105, NEMVE10336, NEMVE06107, NEMVE06106, NEMVE06092, NEMVE21801, NEMVE21791, NEMVE11595, NEMVE06088, NEMVE05561	SACKO_02458
OG0000008	NEMVE04570, NEMVE15525, NEMVE04545, NEMVE06382, NEMVE06498, NEMVE06526, NEMVE06494, NEMVE06508, NEMVE06518, NEMVE03619, NEMVE03110, NEMVE09120, NEMVE12125, NEMVE12319	SACKO_00440, SACKO_12800
OG0000009	NEMVE18534	SACKO_05381
OG0000009	NEMVE20384	SACKO_23301
OG0000009	NEMVE09925, NEMVE06876	SACKO_10948
OG0000010	NEMVE02447	SACKO_23674
OG0000010	NEMVE08421	SACKO_30054
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	SACKO_31740
OG0000010	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008, NEMVE22478, NEMVE16037, NEMVE06770, NEMVE17848	SACKO_15785
OG0000011	NEMVE11104	SACKO_22764
