Orthogroup	AMPFI_ok	STRPU_ok
OG0000000	AMPFI_12098	STRPU_10146, STRPU_10084
OG0000000	AMPFI_16114	STRPU_22262
OG0000000	AMPFI_11894	STRPU_10304
OG0000000	AMPFI_12336	STRPU_10083, STRPU_10145
OG0000000	AMPFI_16025	STRPU_10016
OG0000000	AMPFI_08228	STRPU_19865, STRPU_19892
OG0000000	AMPFI_02168	STRPU_09982, STRPU_09961
OG0000000	AMPFI_10716	STRPU_20780
OG0000000	AMPFI_19781	STRPU_05390
OG0000000	AMPFI_22359	STRPU_23196
OG0000000	AMPFI_12478	STRPU_09852
OG0000000	AMPFI_25019	STRPU_23200
OG0000000	AMPFI_04297	STRPU_25072
OG0000000	AMPFI_05560	STRPU_23201
OG0000000	AMPFI_20876	STRPU_05830
OG0000000	AMPFI_21326	STRPU_10189
OG0000000	AMPFI_01589	STRPU_21017
OG0000000	AMPFI_10655	STRPU_21014
OG0000001	AMPFI_23521	STRPU_05173, STRPU_05094
OG0000001	AMPFI_03160, AMPFI_23234, AMPFI_18148, AMPFI_13477	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227
OG0000001	AMPFI_00879	STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067
OG0000002	AMPFI_23102	STRPU_21867
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083
OG0000002	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979	STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453, STRPU_11801, STRPU_04204, STRPU_04244, STRPU_03069, STRPU_04415, STRPU_16798, STRPU_15494, STRPU_16800, STRPU_16796, STRPU_04913, STRPU_04447
OG0000002	AMPFI_23336	STRPU_20582, STRPU_20566
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499	STRPU_00361
OG0000002	AMPFI_16931, AMPFI_22489	STRPU_18021, STRPU_18027
OG0000003	AMPFI_16631	STRPU_19737
OG0000003	AMPFI_12750	STRPU_08514
OG0000003	AMPFI_16210	STRPU_06865
OG0000003	AMPFI_00352	STRPU_12381, STRPU_12395, STRPU_12415, STRPU_12400, STRPU_12399, STRPU_12411, STRPU_12398, STRPU_12397, STRPU_12396, STRPU_12394, STRPU_12393, STRPU_12392, STRPU_12391, STRPU_12390, STRPU_12389, STRPU_12388, STRPU_12387, STRPU_12386, STRPU_12385, STRPU_12384, STRPU_12383, STRPU_12382, STRPU_12380, STRPU_12379, STRPU_12378
OG0000003	AMPFI_02665, AMPFI_03204	STRPU_14457
OG0000003	AMPFI_07815	STRPU_00063
OG0000003	AMPFI_10369	STRPU_02656, STRPU_06609
OG0000003	AMPFI_18906	STRPU_07634
OG0000003	AMPFI_13081, AMPFI_01108	STRPU_08627
OG0000003	AMPFI_16587, AMPFI_13138	STRPU_00064
OG0000003	AMPFI_18427, AMPFI_25711, AMPFI_01607	STRPU_13505
OG0000003	AMPFI_17593	STRPU_22956, STRPU_00065
OG0000003	AMPFI_18383	STRPU_00036
OG0000003	AMPFI_15011	STRPU_09153, STRPU_02119, STRPU_09154
OG0000003	AMPFI_13545	STRPU_09134
OG0000003	AMPFI_16139	STRPU_08511
OG0000003	AMPFI_14808	STRPU_12408
OG0000003	AMPFI_23718	STRPU_20154
OG0000003	AMPFI_13137	STRPU_09130
OG0000003	AMPFI_11583	STRPU_06867, STRPU_06866
OG0000004	AMPFI_20212, AMPFI_25512, AMPFI_20381, AMPFI_24423	STRPU_25308
OG0000004	AMPFI_25238	STRPU_02122
OG0000004	AMPFI_12413	STRPU_27431, STRPU_02833, STRPU_09499, STRPU_09497, STRPU_09498
OG0000004	AMPFI_07977	STRPU_04563
OG0000004	AMPFI_21283	STRPU_26895
OG0000004	AMPFI_11893	STRPU_18793, STRPU_18804, STRPU_18942, STRPU_18792, STRPU_18791, STRPU_25306, STRPU_07761, STRPU_07767, STRPU_15502, STRPU_03859, STRPU_25874, STRPU_03860, STRPU_14052, STRPU_24326, STRPU_12010, STRPU_01672, STRPU_12009, STRPU_19328, STRPU_27014, STRPU_12971, STRPU_20214, STRPU_02497, STRPU_15118, STRPU_09105, STRPU_02076, STRPU_24332, STRPU_03320, STRPU_03321
OG0000004	AMPFI_01544, AMPFI_02173, AMPFI_17454, AMPFI_17455	STRPU_03895
OG0000004	AMPFI_11374, AMPFI_01179	STRPU_01396, STRPU_08764, STRPU_27011, STRPU_08312, STRPU_01394, STRPU_01395, STRPU_08765, STRPU_01399, STRPU_26705, STRPU_26709, STRPU_26707, STRPU_26711, STRPU_25881, STRPU_23220, STRPU_23228, STRPU_25882, STRPU_25307
OG0000004	AMPFI_03079	STRPU_26216
OG0000004	AMPFI_22025	STRPU_12970, STRPU_00307, STRPU_08591
OG0000004	AMPFI_01921	STRPU_07773
OG0000004	AMPFI_04189	STRPU_19329
OG0000004	AMPFI_20230	STRPU_05439, STRPU_05438
OG0000004	AMPFI_16756, AMPFI_00472, AMPFI_20231	STRPU_14686, STRPU_14682
OG0000005	AMPFI_18504	STRPU_17631, STRPU_02287
OG0000005	AMPFI_00525	STRPU_17625, STRPU_17635, STRPU_02284
