TCONS_00000001.p1	BRALA28819
TCONS_00000004.p1	BRALA30205
TCONS_00000006.p1	BRALA09480
TCONS_00000009.p1	BRALA16326
TCONS_00000010.p1	BRALA35203
TCONS_00000011.p1	BRALA14257
TCONS_00000013.p1	BRALA32419
TCONS_00000015.p1	BRALA25316
TCONS_00000016.p1	BRALA21886
TCONS_00000017.p1	BRALA26818
TCONS_00000021.p1	BRALA33178
TCONS_00000022.p1	BRALA07657
TCONS_00000023.p1	BRALA01986
TCONS_00000026.p1	BRALA27801
TCONS_00000027.p1	BRALA26225
TCONS_00000030.p2	BRALA35888
TCONS_00000033.p1	BRALA26593
TCONS_00000035.p1	BRALA00639
TCONS_00000037.p1	BRALA00639
TCONS_00000038.p1	BRALA27955
TCONS_00000039.p1	BRALA20044
TCONS_00000040.p1	BRALA34816
TCONS_00000045.p1	BRALA20413
TCONS_00000050.p1	BRALA01944
TCONS_00000052.p1	BRALA13395
TCONS_00000055.p1	BRALA28258
TCONS_00000057.p1	BRALA16551
TCONS_00000064.p1	BRALA28158
TCONS_00000068.p1	BRALA00657
TCONS_00000070.p1	BRALA23216
TCONS_00000071.p1	BRALA05160
TCONS_00000073.p1	BRALA18471
TCONS_00000074.p1	BRALA32086
TCONS_00000080.p1	BRALA03916
TCONS_00000083.p1	BRALA28083
TCONS_00000084.p1	BRALA03655
TCONS_00000086.p1	BRALA04750
TCONS_00000087.p1	BRALA11822
TCONS_00000088.p1	BRALA04750
TCONS_00000090.p1	BRALA33734
TCONS_00000091.p1	BRALA00194
TCONS_00000092.p1	BRALA10676
TCONS_00000093.p2	BRALA00473
TCONS_00000094.p1	BRALA28483
TCONS_00000095.p1	BRALA30701
TCONS_00000096.p1	BRALA27176
TCONS_00000100.p1	BRALA09446
TCONS_00000101.p1	BRALA01951
TCONS_00000102.p1	BRALA12007
TCONS_00000103.p1	BRALA05712
TCONS_00000104.p1	BRALA00195
TCONS_00000105.p1	BRALA34250
TCONS_00000107.p1	BRALA33178
TCONS_00000109.p1	BRALA27877
TCONS_00000110.p1	BRALA29887
TCONS_00000112.p1	BRALA31529
TCONS_00000113.p1	BRALA33792
TCONS_00000115.p1	BRALA29239
TCONS_00000116.p1	BRALA27969
TCONS_00000118.p1	BRALA28202
TCONS_00000121.p1	BRALA12426
TCONS_00000122.p1	BRALA06861
TCONS_00000124.p1	BRALA14273
TCONS_00000125.p1	BRALA24820
TCONS_00000126.p1	BRALA29553
TCONS_00000127.p1	BRALA08308
TCONS_00000128.p1	BRALA15661
TCONS_00000131.p1	BRALA25430
TCONS_00000133.p1	BRALA24295
TCONS_00000136.p1	BRALA14563
TCONS_00000139.p1	BRALA16642
TCONS_00000141.p1	BRALA35655
TCONS_00000142.p1	BRALA14282
TCONS_00000144.p1	BRALA09258
TCONS_00000145.p1	BRALA16464
TCONS_00000146.p1	BRALA16464
TCONS_00000147.p1	BRALA16464
TCONS_00000148.p1	BRALA08015
TCONS_00000152.p1	BRALA33082
TCONS_00000153.p1	BRALA19292
TCONS_00000162.p1	BRALA33470
TCONS_00000164.p1	BRALA19309
TCONS_00000165.p1	BRALA18291
TCONS_00000166.p1	BRALA19304
TCONS_00000169.p1	BRALA01705
TCONS_00000170.p1	BRALA19302
TCONS_00000172.p1	BRALA32881
TCONS_00000173.p1	BRALA16909
TCONS_00000174.p1	BRALA28197
TCONS_00000175.p1	BRALA02938
TCONS_00000177.p1	BRALA07567
TCONS_00000178.p1	BRALA11822
TCONS_00000180.p1	BRALA16922
TCONS_00000181.p1	BRALA22973
TCONS_00000185.p1	BRALA23724
TCONS_00000187.p1	BRALA24502
TCONS_00000188.p1	BRALA35286
TCONS_00000189.p1	BRALA19274
TCONS_00000190.p1	BRALA10179
TCONS_00000194.p4	BRALA29208
TCONS_00000195.p1	BRALA33343
TCONS_00000196.p1	BRALA22610
TCONS_00000197.p1	BRALA07928
TCONS_00000198.p1	BRALA30715
TCONS_00000199.p1	BRALA12417
TCONS_00000200.p1	BRALA18204
TCONS_00000201.p1	BRALA20644
TCONS_00000203.p1	BRALA09971
TCONS_00000204.p1	BRALA09971
TCONS_00000205.p1	BRALA08013
TCONS_00000206.p1	BRALA08013
TCONS_00000207.p1	BRALA08013
TCONS_00000211.p1	BRALA01775
TCONS_00000219.p1	BRALA18898
TCONS_00000236.p1	BRALA03365
TCONS_00000242.p1	BRALA32951
TCONS_00000252.p1	BRALA09767
TCONS_00000254.p1	BRALA16893
TCONS_00000259.p1	BRALA16892
TCONS_00000265.p1	BRALA29249
TCONS_00000266.p1	BRALA11848
TCONS_00000267.p1	BRALA03014
TCONS_00000268.p1	BRALA09272
TCONS_00000270.p1	BRALA18794
TCONS_00000272.p1	BRALA16852
TCONS_00000274.p1	BRALA08963
TCONS_00000275.p1	BRALA22905
TCONS_00000278.p1	BRALA02040
TCONS_00000279.p1	BRALA05936
TCONS_00000282.p1	BRALA22991
TCONS_00000285.p1	BRALA22989
TCONS_00000287.p1	BRALA23897
TCONS_00000293.p1	BRALA33286
TCONS_00000295.p1	BRALA32012
TCONS_00000299.p1	BRALA33708
TCONS_00000300.p1	BRALA07086
TCONS_00000308.p1	BRALA10278
TCONS_00000311.p1	BRALA19059
