Orthogroup	HUMAN	APOSJ_ok
OG0000000	HUMAN22097, HUMAN03752	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	APOSJ_43984, APOSJ_47154
OG0000000	HUMAN03805, HUMAN22626	APOSJ_18686
OG0000000	HUMAN29337, HUMAN01254	APOSJ_32352
OG0000000	HUMAN28889, HUMAN05731	APOSJ_18136
OG0000000	HUMAN03433	APOSJ_34245
OG0000000	HUMAN02527	APOSJ_60507
OG0000000	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	HUMAN07513	APOSJ_36728
OG0000000	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	APOSJ_40396
OG0000000	HUMAN27325, HUMAN27326	APOSJ_37520
OG0000000	HUMAN12743, HUMAN26016	APOSJ_38857, APOSJ_38860
OG0000000	HUMAN22154, HUMAN24253	APOSJ_32562, APOSJ_32561
OG0000000	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104	APOSJ_47531, APOSJ_29010
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	HUMAN27579, HUMAN22230	APOSJ_56734
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	APOSJ_31415
OG0000000	HUMAN18756	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	HUMAN08319	APOSJ_02527
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	APOSJ_12278, APOSJ_36722
OG0000002	HUMAN22770	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873
OG0000002	HUMAN20270	APOSJ_16645, APOSJ_07327
OG0000003	HUMAN18698	APOSJ_16637, APOSJ_17591
OG0000003	HUMAN10010	APOSJ_57640
OG0000004	HUMAN17550	APOSJ_23993
OG0000004	HUMAN27575	APOSJ_50666, APOSJ_27471
OG0000005	HUMAN01465	APOSJ_43564, APOSJ_43561
OG0000006	HUMAN20053	APOSJ_12203, APOSJ_12202, APOSJ_12204
OG0000006	HUMAN00944	APOSJ_14510
OG0000006	HUMAN22351, HUMAN05133	APOSJ_43757
OG0000006	HUMAN02118, HUMAN29294	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	HUMAN25905	APOSJ_52128
OG0000006	HUMAN23524	APOSJ_25002
OG0000006	HUMAN03111	APOSJ_24425, APOSJ_24424
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	APOSJ_38154
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	APOSJ_46492
OG0000007	HUMAN24418, HUMAN11538	APOSJ_59584
OG0000007	HUMAN09570, HUMAN28803	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	APOSJ_59909
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	APOSJ_46494
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	APOSJ_04151
OG0000007	HUMAN11539	APOSJ_32909
OG0000007	HUMAN24417, HUMAN11533	APOSJ_33751
OG0000007	HUMAN12258, HUMAN07103, HUMAN07102	APOSJ_45510, APOSJ_50337
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	HUMAN25936, HUMAN13634	APOSJ_06582, APOSJ_20594
OG0000007	HUMAN13395	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	HUMAN08248	APOSJ_55940, APOSJ_55941
OG0000008	HUMAN29311, HUMAN29312	APOSJ_61175
OG0000008	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183
OG0000010	HUMAN06405, HUMAN06406	APOSJ_38780, APOSJ_21761
OG0000011	HUMAN08916	APOSJ_09282
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000012	HUMAN11190	APOSJ_20422
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	APOSJ_50056, APOSJ_01943
OG0000014	HUMAN25476, HUMAN30053	APOSJ_28331, APOSJ_28332
OG0000014	HUMAN13227	APOSJ_23867, APOSJ_22503
OG0000015	HUMAN22985	APOSJ_33839
OG0000015	HUMAN25366	APOSJ_06394
OG0000015	HUMAN24177, HUMAN22373, HUMAN09170	APOSJ_09441, APOSJ_10165
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987	APOSJ_40020
OG0000016	HUMAN07767	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717
OG0000016	HUMAN25103	APOSJ_31207
OG0000016	HUMAN25104	APOSJ_03790
OG0000016	HUMAN06120, HUMAN04223	APOSJ_11248
OG0000019	HUMAN06384	APOSJ_25021
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	APOSJ_49365
OG0000020	HUMAN12659	APOSJ_03215
OG0000020	HUMAN08344	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	HUMAN00926	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	HUMAN02145	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	APOSJ_51246, APOSJ_35639
OG0000020	HUMAN00010	APOSJ_08125, APOSJ_51104
OG0000020	HUMAN23847	APOSJ_16758
OG0000020	HUMAN22639	APOSJ_64610, APOSJ_31490
OG0000020	HUMAN20816	APOSJ_45120
OG0000021	HUMAN20500	APOSJ_47375, APOSJ_47376
OG0000021	HUMAN30680, HUMAN30504	APOSJ_00267, APOSJ_00268, APOSJ_01716
OG0000021	HUMAN04273, HUMAN30251	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	HUMAN03767	APOSJ_12541
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000026	HUMAN16545	APOSJ_39679, APOSJ_39682
OG0000026	HUMAN07669, HUMAN21745	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353
OG0000026	HUMAN26724, HUMAN26725	APOSJ_19082, APOSJ_19084, APOSJ_19083, APOSJ_14166, APOSJ_53551, APOSJ_63979, APOSJ_46283, APOSJ_28315, APOSJ_01642, APOSJ_47589, APOSJ_31703, APOSJ_43474, APOSJ_20027, APOSJ_00259, APOSJ_43475
OG0000028	HUMAN09193, HUMAN09206	APOSJ_13359, APOSJ_13358
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000029	HUMAN17820, HUMAN02270, HUMAN21749, HUMAN19538	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949
OG0000030	HUMAN01740, HUMAN28679	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000031	HUMAN17850	APOSJ_56428
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	APOSJ_58452
OG0000031	HUMAN26979, HUMAN14235	APOSJ_20577, APOSJ_26215, APOSJ_20578, APOSJ_62690, APOSJ_62709, APOSJ_00509, APOSJ_07842, APOSJ_07841
