Orthogroup	CAEEL	SACKO_ok
OG0000000	CAEEL18735	SACKO_12749
OG0000000	CAEEL01893	SACKO_25616
OG0000000	CAEEL08140	SACKO_25266
OG0000000	CAEEL18754	SACKO_05553
OG0000000	CAEEL06523	SACKO_16683
OG0000000	CAEEL00081	SACKO_25799
OG0000000	CAEEL18467, CAEEL18466	SACKO_08208, SACKO_08197
OG0000000	CAEEL04771	SACKO_19489
OG0000000	CAEEL10851	SACKO_26485
OG0000000	CAEEL18086	SACKO_31887
OG0000000	CAEEL05734	SACKO_26668
OG0000000	CAEEL08092	SACKO_24012
OG0000000	CAEEL08135, CAEEL08091	SACKO_11590, SACKO_24001, SACKO_24040, SACKO_11588, SACKO_24002, SACKO_24009, SACKO_24031, SACKO_24024, SACKO_24025
OG0000000	CAEEL00979	SACKO_26673
OG0000000	CAEEL19601	SACKO_31872
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	SACKO_24017, SACKO_23999, SACKO_15987, SACKO_23994, SACKO_24038
OG0000000	CAEEL07441	SACKO_11599
OG0000000	CAEEL08875	SACKO_22872
OG0000000	CAEEL16213	SACKO_31899, SACKO_11978, SACKO_12011
OG0000001	CAEEL06769	SACKO_00349
OG0000001	CAEEL12710, CAEEL12709, CAEEL12708	SACKO_04731
OG0000001	CAEEL17898, CAEEL19147	SACKO_30873
OG0000001	CAEEL08601	SACKO_25200
OG0000001	CAEEL00597, CAEEL06285	SACKO_18839
OG0000002	CAEEL18977	SACKO_00245, SACKO_00252
OG0000003	CAEEL08453, CAEEL08460	SACKO_16447
OG0000003	CAEEL19939	SACKO_02072, SACKO_32071
OG0000005	CAEEL01924	SACKO_22081, SACKO_22108, SACKO_22102
OG0000005	CAEEL13168	SACKO_14812, SACKO_00533, SACKO_15074
OG0000005	CAEEL20591, CAEEL05556, CAEEL19115	SACKO_15042
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	SACKO_03236, SACKO_00899, SACKO_02650, SACKO_00900
OG0000006	CAEEL20510	SACKO_21129
OG0000006	CAEEL18976	SACKO_21953
OG0000006	CAEEL00696	SACKO_02616
OG0000006	CAEEL07700	SACKO_23250
OG0000006	CAEEL05532	SACKO_15817, SACKO_15812
OG0000006	CAEEL01533	SACKO_32500
OG0000006	CAEEL12101	SACKO_06429, SACKO_06435
OG0000006	CAEEL00153	SACKO_32477
OG0000006	CAEEL17819	SACKO_20803
OG0000006	CAEEL15182	SACKO_32388
OG0000007	CAEEL04050	SACKO_16486
OG0000007	CAEEL17965	SACKO_25751
OG0000007	CAEEL05829	SACKO_17363
OG0000007	CAEEL01108	SACKO_22717
OG0000007	CAEEL01984	SACKO_15952
OG0000007	CAEEL10238, CAEEL04602	SACKO_00920, SACKO_27771, SACKO_27817
OG0000007	CAEEL18586	SACKO_11981
OG0000010	CAEEL10534	SACKO_19747, SACKO_14158, SACKO_23674
OG0000010	CAEEL04259	SACKO_31740
OG0000010	CAEEL10902	SACKO_15785
OG0000012	CAEEL20690	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000013	CAEEL19127	SACKO_23938, SACKO_23926, SACKO_23909, SACKO_00772, SACKO_15693, SACKO_06986, SACKO_24278, SACKO_06939, SACKO_06938, SACKO_06953, SACKO_06963, SACKO_06946, SACKO_06944, SACKO_01817, SACKO_09997, SACKO_02509, SACKO_16247, SACKO_20134, SACKO_20882, SACKO_20884, SACKO_25123, SACKO_25143, SACKO_25131, SACKO_25137
OG0000015	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309	SACKO_09494
OG0000015	CAEEL15587	SACKO_31697
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299
OG0000016	CAEEL20493	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	SACKO_06844
OG0000016	CAEEL18647	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946, SACKO_23373, SACKO_07103, SACKO_18319
OG0000019	CAEEL19797	SACKO_31972
OG0000019	CAEEL15403	SACKO_05035
OG0000019	CAEEL04672	SACKO_18730, SACKO_18736
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	SACKO_20530, SACKO_31918, SACKO_29250, SACKO_29837, SACKO_29254, SACKO_28153
OG0000020	CAEEL07399	SACKO_25295, SACKO_05608
OG0000020	CAEEL00627	SACKO_16107, SACKO_20105
OG0000020	CAEEL05927	SACKO_20295, SACKO_29670
OG0000020	CAEEL13362	SACKO_24638
OG0000020	CAEEL09273	SACKO_04828
OG0000021	CAEEL15603	SACKO_33728, SACKO_24549
OG0000021	CAEEL00422	SACKO_15594
OG0000021	CAEEL00784, CAEEL15377	SACKO_25838
OG0000027	CAEEL17825	SACKO_02698
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	SACKO_00730, SACKO_00734, SACKO_00031, SACKO_00042, SACKO_00048, SACKO_00060
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	SACKO_00054, SACKO_29910
OG0000028	CAEEL19515, CAEEL07887	SACKO_21077, SACKO_21076, SACKO_18955, SACKO_29407
OG0000029	CAEEL20320	SACKO_10012, SACKO_10033
OG0000029	CAEEL11851	SACKO_12540
OG0000029	CAEEL20612	SACKO_04574
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	CAEEL03646, CAEEL03801	SACKO_24772
OG0000030	CAEEL04353	SACKO_16655, SACKO_09928, SACKO_09940, SACKO_34092, SACKO_34095
