Orthogroup	ORYLA	NEMVE
OG0000000	ORYLA04928	NEMVE15388
OG0000000	ORYLA07037, ORYLA08538	NEMVE01834
OG0000000	ORYLA05297	NEMVE09627, NEMVE02365
OG0000000	ORYLA10797	NEMVE09082, NEMVE00451
OG0000000	ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	NEMVE05015
OG0000000	ORYLA18170	NEMVE11246
OG0000000	ORYLA03677	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	ORYLA11446	NEMVE04732, NEMVE07124
OG0000000	ORYLA04170, ORYLA18990	NEMVE06009
OG0000000	ORYLA15771	NEMVE07193, NEMVE16932, NEMVE07210
OG0000000	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619	NEMVE05929
OG0000000	ORYLA09108	NEMVE05986
OG0000000	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160, ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898, ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	NEMVE15281
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	NEMVE07211
OG0000000	ORYLA08225, ORYLA06162	NEMVE10161
OG0000000	ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	NEMVE05017
OG0000000	ORYLA01029, ORYLA04459, ORYLA04630	NEMVE15350
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	NEMVE07203
OG0000000	ORYLA05044, ORYLA00932	NEMVE17362
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	NEMVE17363
OG0000000	ORYLA11797, ORYLA10603	NEMVE10113
OG0000000	ORYLA10060	NEMVE14999, NEMVE10106
OG0000001	ORYLA01580	NEMVE17781
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897	NEMVE11138
OG0000001	ORYLA02547	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094
OG0000002	ORYLA00438, ORYLA03051, ORYLA12350, ORYLA11640, ORYLA16693, ORYLA11641, ORYLA13465, ORYLA13463, ORYLA13464, ORYLA13468, ORYLA13466, ORYLA13469, ORYLA13571, ORYLA03052, ORYLA16692, ORYLA13467, ORYLA16691	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	ORYLA18464	NEMVE02445
OG0000004	ORYLA04400, ORYLA08919	NEMVE02378
OG0000005	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000006	ORYLA04794	NEMVE06318
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	NEMVE12700, NEMVE08468
OG0000006	ORYLA09038	NEMVE10906
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	NEMVE21901
OG0000006	ORYLA10511, ORYLA11827	NEMVE02590
OG0000006	ORYLA16517	NEMVE03392
OG0000006	ORYLA16515	NEMVE06316
OG0000006	ORYLA17394	NEMVE16957
OG0000006	ORYLA05082	NEMVE02351
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	NEMVE14647
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	NEMVE04712
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	ORYLA04691	NEMVE08464
OG0000007	ORYLA13334	NEMVE15003
OG0000007	ORYLA14937, ORYLA17526	NEMVE14764
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	NEMVE13570
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	NEMVE06210
OG0000007	ORYLA00451, ORYLA13596	NEMVE02350, NEMVE21807
OG0000007	ORYLA10719	NEMVE09701, NEMVE03333
OG0000007	ORYLA18472	NEMVE03816
OG0000007	ORYLA09030, ORYLA13335, ORYLA07003, ORYLA12464	NEMVE16064
OG0000007	ORYLA03471, ORYLA17615	NEMVE09467
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	NEMVE03824
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	NEMVE09051
OG0000007	ORYLA16317	NEMVE03714
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	NEMVE09289
OG0000007	ORYLA10158, ORYLA04736	NEMVE05677
OG0000008	ORYLA06372, ORYLA06647, ORYLA13248	NEMVE06079, NEMVE05558
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	NEMVE12766
OG0000008	ORYLA13726, ORYLA15066, ORYLA11025	NEMVE19301, NEMVE04856, NEMVE05897
OG0000010	ORYLA12063, ORYLA05561	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	ORYLA09104, ORYLA13024	NEMVE08421
