Orthogroup	CAPO3	STRPU_ok
OG0000003	CAPO301945	STRPU_19737, STRPU_08514, STRPU_24147, STRPU_06865, STRPU_12381, STRPU_12395, STRPU_12415, STRPU_12400, STRPU_12399, STRPU_12411, STRPU_12398, STRPU_12397, STRPU_12396, STRPU_12394, STRPU_12393, STRPU_12392, STRPU_12391, STRPU_12390, STRPU_12389, STRPU_12388, STRPU_12387, STRPU_12386, STRPU_12385, STRPU_12384, STRPU_12383, STRPU_12382, STRPU_12380, STRPU_12379, STRPU_12378, STRPU_04933, STRPU_22487, STRPU_22462, STRPU_22485, STRPU_08169, STRPU_07935, STRPU_22967, STRPU_14457, STRPU_00063, STRPU_21266, STRPU_08968, STRPU_08981, STRPU_02656, STRPU_06609, STRPU_07634, STRPU_17011, STRPU_08627, STRPU_02120, STRPU_20651, STRPU_17996, STRPU_25936, STRPU_00064, STRPU_13505, STRPU_01614, STRPU_08510, STRPU_22956, STRPU_00065, STRPU_00036, STRPU_09153, STRPU_02119, STRPU_09154, STRPU_09134, STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412, STRPU_12000, STRPU_18662, STRPU_08511, STRPU_12408, STRPU_17010, STRPU_05808, STRPU_19339, STRPU_15479, STRPU_02103, STRPU_20154, STRPU_09130, STRPU_06867, STRPU_06866
OG0000005	CAPO308356, CAPO307946	STRPU_18110, STRPU_02307, STRPU_02309, STRPU_17631, STRPU_02287, STRPU_17625, STRPU_17635, STRPU_02284, STRPU_18029, STRPU_17935, STRPU_18030, STRPU_17651, STRPU_02270, STRPU_17649, STRPU_17652, STRPU_02271, STRPU_02273, STRPU_02285, STRPU_00429, STRPU_17634, STRPU_02288, STRPU_17632, STRPU_02286, STRPU_17633, STRPU_19124, STRPU_02289, STRPU_17623, STRPU_02297, STRPU_17967, STRPU_17969, STRPU_02293, STRPU_02291, STRPU_02294, STRPU_17627, STRPU_17624, STRPU_02296, STRPU_17968, STRPU_17713, STRPU_17714, STRPU_21910, STRPU_15486, STRPU_15487, STRPU_22203, STRPU_22202, STRPU_17272, STRPU_26723, STRPU_06288, STRPU_06333, STRPU_02665, STRPU_01699
OG0000006	CAPO302620	STRPU_14340
OG0000007	CAPO304209	STRPU_16477, STRPU_21790
OG0000007	CAPO303284	STRPU_08442
OG0000007	CAPO300935	STRPU_10590
OG0000007	CAPO305123	STRPU_21559
OG0000012	CAPO302923, CAPO302931	STRPU_06380, STRPU_06825, STRPU_22431, STRPU_22027, STRPU_22206, STRPU_22210, STRPU_22209, STRPU_22208, STRPU_22207, STRPU_22205, STRPU_20138, STRPU_23286, STRPU_22216, STRPU_22214, STRPU_22215, STRPU_22212, STRPU_22213, STRPU_22211, STRPU_22218, STRPU_22881, STRPU_22880, STRPU_22878, STRPU_22879, STRPU_22882, STRPU_22877, STRPU_19466, STRPU_26979, STRPU_23191, STRPU_23193, STRPU_23192, STRPU_24328, STRPU_24329, STRPU_23798, STRPU_05978, STRPU_05979, STRPU_24259, STRPU_01047, STRPU_01046, STRPU_24260, STRPU_23513
OG0000015	CAPO302521	STRPU_26052, STRPU_27331, STRPU_05602, STRPU_05543, STRPU_05546, STRPU_05605, STRPU_05547, STRPU_05606, STRPU_21905
OG0000016	CAPO300049	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221
OG0000016	CAPO304360	STRPU_09277
OG0000016	CAPO306803	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484, STRPU_06664, STRPU_06873, STRPU_06665
OG0000016	CAPO303259	STRPU_15361, STRPU_21110
OG0000016	CAPO300936	STRPU_22999, STRPU_00875, STRPU_22993, STRPU_22992, STRPU_22997, STRPU_22995, STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082
OG0000023	CAPO307690	STRPU_09714, STRPU_09758, STRPU_09970, STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358, STRPU_14359, STRPU_14360, STRPU_08363, STRPU_04156, STRPU_04890, STRPU_04760, STRPU_04888, STRPU_04889, STRPU_04887, STRPU_09969, STRPU_09989, STRPU_09988, STRPU_09968, STRPU_09990, STRPU_15044, STRPU_02240, STRPU_15564, STRPU_02241, STRPU_15563, STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748
OG0000029	CAPO307131	STRPU_25978, STRPU_09836, STRPU_17433, STRPU_17432, STRPU_23559, STRPU_01827, STRPU_19313, STRPU_22529, STRPU_02628, STRPU_14123, STRPU_06877, STRPU_04841, STRPU_04839, STRPU_03689, STRPU_13344, STRPU_03096, STRPU_03095, STRPU_03099, STRPU_03098, STRPU_03097, STRPU_15299, STRPU_05507, STRPU_15311, STRPU_09913, STRPU_25618, STRPU_13518, STRPU_27237, STRPU_27236, STRPU_27234, STRPU_27235, STRPU_11822, STRPU_11823, STRPU_18505, STRPU_20934, STRPU_20927, STRPU_10511, STRPU_10512, STRPU_00236
OG0000030	CAPO305356, CAPO301638, CAPO307563	STRPU_22548, STRPU_22870, STRPU_22868, STRPU_19590, STRPU_23769, STRPU_00032, STRPU_23383, STRPU_18729, STRPU_18720, STRPU_08641, STRPU_01462, STRPU_08711, STRPU_19039, STRPU_10522, STRPU_06146, STRPU_06148, STRPU_09527
OG0000031	CAPO303729	STRPU_08004
OG0000031	CAPO307573	STRPU_23584
OG0000035	CAPO307346, CAPO308354	STRPU_02368, STRPU_12778, STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194, STRPU_17279, STRPU_17277, STRPU_17278, STRPU_17275, STRPU_17274, STRPU_13032, STRPU_27002, STRPU_13051, STRPU_12705, STRPU_12704, STRPU_12998, STRPU_12553, STRPU_12554, STRPU_12700
OG0000038	CAPO307725	STRPU_17312
OG0000039	CAPO306958, CAPO306959	STRPU_13266
OG0000041	CAPO308025, CAPO306861	STRPU_12827, STRPU_12828, STRPU_13000
OG0000043	CAPO308256	STRPU_06030, STRPU_05999, STRPU_05926, STRPU_05935, STRPU_05931, STRPU_05994, STRPU_06002, STRPU_25650, STRPU_06033, STRPU_06024, STRPU_21373, STRPU_04184, STRPU_00010, STRPU_00008, STRPU_00006, STRPU_00002, STRPU_20956, STRPU_23749, STRPU_07332, STRPU_01391, STRPU_12193, STRPU_08767, STRPU_03522, STRPU_03585
OG0000048	CAPO305301	STRPU_05493
OG0000048	CAPO306877	STRPU_16799, STRPU_16795, STRPU_07185, STRPU_07193, STRPU_16454, STRPU_16791, STRPU_16794, STRPU_16792, STRPU_16789, STRPU_16451, STRPU_16475, STRPU_16452, STRPU_16790
OG0000048	CAPO304823	STRPU_26191
OG0000049	CAPO304018	STRPU_17072, STRPU_23537, STRPU_23534, STRPU_10893, STRPU_01801, STRPU_17036, STRPU_17685, STRPU_17686, STRPU_22320, STRPU_06696, STRPU_17073, STRPU_04345, STRPU_23536
OG0000051	CAPO307809, CAPO301249	STRPU_27246, STRPU_04087, STRPU_04086, STRPU_04085, STRPU_04081, STRPU_04082, STRPU_04844, STRPU_04845, STRPU_04838, STRPU_04842, STRPU_04843, STRPU_04683, STRPU_04684, STRPU_08146, STRPU_04384, STRPU_04388, STRPU_04386, STRPU_04385, STRPU_11426, STRPU_04634, STRPU_04664, STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946
OG0000053	CAPO302193	STRPU_09915
OG0000054	CAPO303213, CAPO305653	STRPU_24985, STRPU_17119, STRPU_17104, STRPU_17103, STRPU_17118
OG0000054	CAPO302015	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653
OG0000054	CAPO303797	STRPU_24986
OG0000056	CAPO305974, CAPO306012, CAPO306941	STRPU_07187, STRPU_07195, STRPU_26180, STRPU_19327, STRPU_18531, STRPU_18489, STRPU_12248, STRPU_11783, STRPU_07224, STRPU_07218, STRPU_15160, STRPU_15211, STRPU_12348, STRPU_09650, STRPU_14115, STRPU_15286, STRPU_15300, STRPU_06395, STRPU_12766, STRPU_02354, STRPU_05523, STRPU_19358, STRPU_06434
OG0000058	CAPO305595	STRPU_00582, STRPU_07549, STRPU_10155, STRPU_10092
OG0000058	CAPO307225	STRPU_08934
OG0000060	CAPO305373	STRPU_24855, STRPU_18179, STRPU_17613, STRPU_25136, STRPU_17605, STRPU_17612, STRPU_17606, STRPU_17085, STRPU_24483, STRPU_24484, STRPU_21861, STRPU_10974, STRPU_10973, STRPU_22645, STRPU_20391, STRPU_24081, STRPU_24740, STRPU_24199, STRPU_24413, STRPU_12994
OG0000062	CAPO300910	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408, STRPU_08191, STRPU_26407, STRPU_19993, STRPU_19459, STRPU_19398
OG0000063	CAPO300270	STRPU_18989, STRPU_23711, STRPU_19258, STRPU_01260, STRPU_18990, STRPU_18981, STRPU_07188, STRPU_19022, STRPU_00471, STRPU_18997, STRPU_18657
OG0000066	CAPO308057	STRPU_23239, STRPU_23705, STRPU_07404, STRPU_19100, STRPU_13499, STRPU_13506, STRPU_13495, STRPU_10561, STRPU_10560, STRPU_10760, STRPU_11704
OG0000069	CAPO302182	STRPU_24462
OG0000069	CAPO301523, CAPO305173	STRPU_08964, STRPU_21393
OG0000079	CAPO302518	STRPU_26495, STRPU_19060
OG0000082	CAPO304738	STRPU_19842
OG0000082	CAPO306626	STRPU_09694, STRPU_09737
OG0000082	CAPO300843	STRPU_22564, STRPU_22563, STRPU_20087
OG0000082	CAPO306232	STRPU_20082, STRPU_20108, STRPU_20107, STRPU_20088, STRPU_20110, STRPU_20083, STRPU_20081, STRPU_20109, STRPU_20084, STRPU_20079, STRPU_20106, STRPU_20105, STRPU_20078, STRPU_20085, STRPU_03415, STRPU_03390, STRPU_03400, STRPU_03405, STRPU_02825
OG0000085	CAPO303061	STRPU_09804, STRPU_24977
OG0000085	CAPO303047	STRPU_15094, STRPU_25637, STRPU_14802, STRPU_14879, STRPU_17832
OG0000089	CAPO300386, CAPO300810, CAPO302098	STRPU_13683, STRPU_02392, STRPU_13677, STRPU_02394, STRPU_01670, STRPU_12007, STRPU_01669, STRPU_02395, STRPU_13676, STRPU_12008, STRPU_13675, STRPU_23879, STRPU_11785, STRPU_18163, STRPU_11787, STRPU_03747, STRPU_11784, STRPU_12992, STRPU_23883, STRPU_23884, STRPU_24895, STRPU_24715, STRPU_10589, STRPU_17838, STRPU_22395, STRPU_25350, STRPU_25352, STRPU_23912, STRPU_23606, STRPU_07030, STRPU_01356, STRPU_11582, STRPU_11585, STRPU_11591, STRPU_11587, STRPU_01354, STRPU_11579, STRPU_01359, STRPU_11586, STRPU_01355, STRPU_11198, STRPU_11197, STRPU_18544, STRPU_15473, STRPU_15469, STRPU_18577, STRPU_18571, STRPU_15474, STRPU_18543, STRPU_15470, STRPU_07004, STRPU_08016, STRPU_25351
OG0000091	CAPO301134	STRPU_08886, STRPU_00935, STRPU_08884, STRPU_00936, STRPU_17364, STRPU_17341, STRPU_17128, STRPU_24571, STRPU_26100, STRPU_26114, STRPU_17342, STRPU_24653, STRPU_09916, STRPU_24656, STRPU_24652, STRPU_24318, STRPU_24319, STRPU_24441, STRPU_24440, STRPU_24439, STRPU_09275
OG0000095	CAPO301288, CAPO306046	STRPU_20727, STRPU_00724, STRPU_20728, STRPU_00725, STRPU_00723, STRPU_16377, STRPU_14969, STRPU_20725, STRPU_00722, STRPU_15591, STRPU_02215, STRPU_15590, STRPU_02216, STRPU_02484, STRPU_15260, STRPU_15203, STRPU_15261, STRPU_15204, STRPU_15106, STRPU_02483, STRPU_15107, STRPU_02485, STRPU_14814, STRPU_15048, STRPU_02486, STRPU_24542
OG0000096	CAPO301431	STRPU_23963, STRPU_23937
OG0000096	CAPO307955	STRPU_22229
OG0000096	CAPO307522	STRPU_27319
OG0000096	CAPO300294	STRPU_15853, STRPU_15805
OG0000096	CAPO307017	STRPU_11677, STRPU_13124, STRPU_02569
OG0000101	CAPO306858	STRPU_12617, STRPU_17410, STRPU_17399, STRPU_17409, STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047
OG0000103	CAPO302453	STRPU_08665, STRPU_08161
OG0000106	CAPO300017	STRPU_25282, STRPU_25442, STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307
OG0000107	CAPO301524	STRPU_24418
