Orthogroup	PFLAV	SACKO_ok
OG0000000	TCONS_00026365.p1	SACKO_12749
OG0000000	TCONS_00019737.p1	SACKO_19677
OG0000000	TCONS_00027826.p1	SACKO_25619
OG0000000	TCONS_00026910.p1	SACKO_25616
OG0000000	TCONS_00026836.p1	SACKO_25266
OG0000000	TCONS_00026612.p1	SACKO_05553
OG0000000	TCONS_00026711.p1	SACKO_16683
OG0000000	TCONS_00026377.p1	SACKO_25799
OG0000000	TCONS_00027287.p1, TCONS_00027293.p1	SACKO_25349, SACKO_25351
OG0000000	TCONS_00014809.p1	SACKO_08208
OG0000000	TCONS_00014810.p1	SACKO_08197
OG0000000	TCONS_00018852.p1	SACKO_32730, SACKO_17792
OG0000000	TCONS_00015367.p1	SACKO_03962
OG0000000	TCONS_00017786.p1	SACKO_19489
OG0000000	TCONS_00020801.p1	SACKO_26485
OG0000000	TCONS_00026487.p1	SACKO_31887
OG0000000	TCONS_00020105.p1	SACKO_26668
OG0000000	TCONS_00032259.p1	SACKO_24012
OG0000000	TCONS_00043772.p1	SACKO_11590
OG0000000	TCONS_00032261.p1	SACKO_24001
OG0000000	TCONS_00032260.p1	SACKO_24040
OG0000000	TCONS_00043771.p1	SACKO_11588
OG0000000	TCONS_00032269.p1	SACKO_24002
OG0000000	TCONS_00032266.p1	SACKO_24009
OG0000000	TCONS_00032267.p1	SACKO_24031
OG0000000	TCONS_00032262.p1	SACKO_24024
OG0000000	TCONS_00032264.p1	SACKO_24025
OG0000000	TCONS_00019139.p1	SACKO_26673
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	SACKO_06485
OG0000000	TCONS_00027510.p1	SACKO_31872
OG0000000	TCONS_00032270.p1	SACKO_24017
OG0000000	TCONS_00032272.p1	SACKO_23999
OG0000000	TCONS_00031628.p1	SACKO_23994
OG0000000	TCONS_00031626.p1	SACKO_24038
OG0000000	TCONS_00042478.p1	SACKO_11599
OG0000000	TCONS_00031629.p1	SACKO_22872
OG0000000	TCONS_00026601.p1	SACKO_31901
OG0000000	TCONS_00026600.p1	SACKO_31899
OG0000000	TCONS_00009627.p1	SACKO_11978
OG0000000	TCONS_00009628.p1	SACKO_12011
OG0000001	TCONS_00012440.p1	SACKO_11349
OG0000001	TCONS_00027439.p1	SACKO_04733
OG0000001	TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	SACKO_30873
OG0000001	TCONS_00034555.p1	SACKO_04743, SACKO_04719
OG0000001	TCONS_00007091.p1	SACKO_23106
OG0000001	TCONS_00001512.p1, TCONS_00001513.p1, TCONS_00001514.p1, TCONS_00001510.p2	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1	SACKO_09602, SACKO_09587
OG0000001	TCONS_00051579.p1, TCONS_00050527.p1	SACKO_09589
OG0000001	TCONS_00051590.p1, TCONS_00050520.p1	SACKO_09586, SACKO_09607
OG0000001	TCONS_00051592.p2, TCONS_00050519.p1	SACKO_09600
OG0000001	TCONS_00050525.p1, TCONS_00051582.p1	SACKO_09584, SACKO_09591
OG0000001	TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	SACKO_09592
OG0000002	TCONS_00010137.p1	SACKO_14603
OG0000002	TCONS_00009919.p1	SACKO_06138
OG0000002	TCONS_00008473.p1, TCONS_00020039.p1	SACKO_21630, SACKO_21632
OG0000002	TCONS_00028990.p1, TCONS_00028992.p1	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1	SACKO_18256
OG0000002	TCONS_00053860.p1, TCONS_00053848.p1	SACKO_21544
OG0000002	TCONS_00018470.p1	SACKO_20829
OG0000002	TCONS_00001082.p1	SACKO_09450, SACKO_09460
OG0000002	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276
OG0000002	TCONS_00050428.p1, TCONS_00050118.p1	SACKO_18684
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	SACKO_13466, SACKO_21130, SACKO_13458
OG0000002	TCONS_00048938.p1	SACKO_00245, SACKO_00252
OG0000003	TCONS_00043593.p1	SACKO_16447
OG0000003	TCONS_00043525.p1	SACKO_30791
OG0000003	TCONS_00057106.p1	SACKO_02072
OG0000003	TCONS_00046526.p1	SACKO_14086, SACKO_03045
OG0000004	TCONS_00045168.p1, TCONS_00046035.p1	SACKO_20602
OG0000004	TCONS_00030290.p1	SACKO_02249
OG0000004	TCONS_00028773.p1	SACKO_16987
OG0000004	TCONS_00051408.p1, TCONS_00051404.p1, TCONS_00050286.p1, TCONS_00040010.p1, TCONS_00039986.p1, TCONS_00039985.p1, TCONS_00040009.p1, TCONS_00040789.p1	SACKO_32657
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1	SACKO_26428, SACKO_26458
OG0000005	TCONS_00016788.p1	SACKO_29310, SACKO_29323, SACKO_25395
OG0000005	TCONS_00017981.p1	SACKO_18304
OG0000005	TCONS_00000197.p1, TCONS_00001362.p1	SACKO_32970, SACKO_20142
OG0000005	TCONS_00020906.p1, TCONS_00020909.p1	SACKO_22081, SACKO_22108
OG0000005	TCONS_00020911.p1	SACKO_22102
OG0000005	TCONS_00020907.p1	SACKO_14812
OG0000005	TCONS_00033021.p1	SACKO_15042
OG0000005	TCONS_00000145.p1	SACKO_20756, SACKO_20781, SACKO_20763, SACKO_14831, SACKO_20761, SACKO_20789, SACKO_20768, SACKO_20796, SACKO_20800, SACKO_20780
OG0000005	TCONS_00000206.p1, TCONS_00000207.p1, TCONS_00033023.p1, TCONS_00000205.p1, TCONS_00030166.p1, TCONS_00001299.p1, TCONS_00000147.p1, TCONS_00000148.p1, TCONS_00000146.p1, TCONS_00001300.p1, TCONS_00001301.p1	SACKO_20802
OG0000005	TCONS_00001651.p1, TCONS_00001649.p1, TCONS_00002069.p1, TCONS_00001653.p1, TCONS_00001650.p1, TCONS_00000614.p1, TCONS_00000615.p1, TCONS_00000478.p1, TCONS_00000616.p1	SACKO_03064
OG0000005	TCONS_00000763.p1, TCONS_00000762.p1, TCONS_00016309.p1, TCONS_00016308.p1, TCONS_00016304.p1, TCONS_00016313.p1, TCONS_00016314.p1, TCONS_00016315.p1, TCONS_00016303.p1, TCONS_00016305.p1, TCONS_00016301.p1, TCONS_00016293.p1, TCONS_00004018.p1	SACKO_25185, SACKO_08962
OG0000005	TCONS_00028033.p1	SACKO_03236
