Orthogroup	APOSJ_ok	DANRE
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	DANRE06436, DANRE05762
OG0000000	APOSJ_43984, APOSJ_47154	DANRE04899, DANRE05022, DANRE06714
OG0000000	APOSJ_18686	DANRE05964, DANRE19591, DANRE19592
OG0000000	APOSJ_32352	DANRE34117, DANRE19532, DANRE36202
OG0000000	APOSJ_18136	DANRE02487, DANRE13405
OG0000000	APOSJ_34245	DANRE04328, DANRE04330, DANRE04329
OG0000000	APOSJ_60507	DANRE18867, DANRE18868
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	APOSJ_36728	DANRE24278
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703
OG0000000	APOSJ_40396	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	APOSJ_37520	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	APOSJ_38857, APOSJ_38860	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	APOSJ_32562, APOSJ_32561	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	APOSJ_47531, APOSJ_29010	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	DANRE06945, DANRE06944, DANRE20512
OG0000000	APOSJ_56734	DANRE41165, DANRE05977, DANRE05743
OG0000000	APOSJ_31415	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	DANRE11796, DANRE11795, DANRE18798
OG0000001	APOSJ_12278, APOSJ_36722	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873	DANRE16673
OG0000002	APOSJ_21931	DANRE23574
OG0000003	APOSJ_07491, APOSJ_53718	DANRE05700
OG0000004	APOSJ_60995	DANRE31040
OG0000004	APOSJ_09445	DANRE41389, DANRE41390
OG0000005	APOSJ_58392, APOSJ_58393	DANRE17266
OG0000005	APOSJ_43564, APOSJ_43561	DANRE11160
OG0000006	APOSJ_14510	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	APOSJ_43757	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	APOSJ_52128	DANRE30064, DANRE15483
OG0000006	APOSJ_22887	DANRE30060
OG0000006	APOSJ_25002	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	APOSJ_24425, APOSJ_24424	DANRE05395
OG0000006	APOSJ_38154	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	APOSJ_46492	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000007	APOSJ_59584	DANRE26275, DANRE17982
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	APOSJ_59909	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	APOSJ_46494	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	APOSJ_04151	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	APOSJ_32909	DANRE12664
OG0000007	APOSJ_33751	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	APOSJ_45510, APOSJ_50337	DANRE08320, DANRE33659
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	APOSJ_06582, APOSJ_20594	DANRE30028, DANRE03038, DANRE28801
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	DANRE30495, DANRE03657, DANRE03658
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	DANRE02453, DANRE09326, DANRE09325
OG0000007	APOSJ_55940, APOSJ_55941	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	APOSJ_61175	DANRE34310, DANRE39865
OG0000008	APOSJ_50496	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000010	APOSJ_03628	DANRE39463, DANRE39462
OG0000011	APOSJ_09282	DANRE22618, DANRE32639, DANRE19908, DANRE03442
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	DANRE38177, DANRE38176
OG0000012	APOSJ_20422	DANRE12655, DANRE12656, DANRE12659
OG0000013	APOSJ_50056, APOSJ_01943	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838
OG0000014	APOSJ_28331, APOSJ_28332	DANRE17251, DANRE43403
OG0000014	APOSJ_23867, APOSJ_22503	DANRE03675, DANRE03674, DANRE43177, DANRE29871
OG0000015	APOSJ_33839	DANRE15829, DANRE07077
OG0000015	APOSJ_09441, APOSJ_10165	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	APOSJ_40020	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717	DANRE35611
OG0000016	APOSJ_31207	DANRE02012
OG0000016	APOSJ_03790	DANRE13447
OG0000016	APOSJ_11248	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	APOSJ_03375	DANRE32666
OG0000018	APOSJ_27177, APOSJ_35802, APOSJ_41144, APOSJ_61457, APOSJ_61458, APOSJ_62289, APOSJ_61461, APOSJ_61462, APOSJ_41143, APOSJ_61459, APOSJ_65410, APOSJ_56262, APOSJ_12569, APOSJ_25320, APOSJ_04276, APOSJ_51121, APOSJ_05958	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000018	APOSJ_04828, APOSJ_32266, APOSJ_22620, APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914	DANRE13954, DANRE13946
OG0000019	APOSJ_25021	DANRE29946, DANRE21114, DANRE41681
OG0000019	APOSJ_49365	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	APOSJ_03215	DANRE10827, DANRE10826, DANRE10743
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	DANRE10670
OG0000020	APOSJ_45822, APOSJ_45820, APOSJ_45821	DANRE30414
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	DANRE27431, DANRE27432, DANRE27433
OG0000020	APOSJ_51246, APOSJ_35639	DANRE06741, DANRE06740, DANRE15747
OG0000020	APOSJ_08125, APOSJ_51104	DANRE22958, DANRE22959
OG0000020	APOSJ_16758	DANRE06663, DANRE06664
OG0000020	APOSJ_64610, APOSJ_31490	DANRE18984
OG0000020	APOSJ_45120	DANRE27379
OG0000021	APOSJ_47375, APOSJ_47376	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	APOSJ_00267, APOSJ_00268, APOSJ_01716	DANRE39795, DANRE39796, DANRE22480
OG0000021	APOSJ_56015, APOSJ_08859	DANRE33712, DANRE33711, DANRE33342, DANRE33343
