#query_name	COGcat
TCONS_00000004	S
TCONS_00000009	T
TCONS_00000009	V
TCONS_00000010	K
TCONS_00000011	B
TCONS_00000011	D
TCONS_00000013	S
TCONS_00000015	T
TCONS_00000016	T
TCONS_00000022	L
TCONS_00000023	S
TCONS_00000026	L
TCONS_00000033	C
TCONS_00000035	P
TCONS_00000037	T
TCONS_00000038	U
TCONS_00000039	O
TCONS_00000041	S
TCONS_00000045	T
TCONS_00000052	S
TCONS_00000055	U
TCONS_00000057	S
TCONS_00000064	S
TCONS_00000070	S
TCONS_00000071	S
TCONS_00000073	S
TCONS_00000074	L
TCONS_00000080	T
TCONS_00000084	O
TCONS_00000089	S
TCONS_00000091	I
TCONS_00000092	O
TCONS_00000093	J
TCONS_00000094	S
TCONS_00000095	S
TCONS_00000096	S
TCONS_00000100	K
TCONS_00000101	K
TCONS_00000102	K
TCONS_00000103	K
TCONS_00000104	C
TCONS_00000105	T
TCONS_00000109	K
TCONS_00000110	C
TCONS_00000115	N
TCONS_00000116	O
TCONS_00000118	K
TCONS_00000121	P
TCONS_00000121	Q
TCONS_00000122	T
TCONS_00000124	G
TCONS_00000125	C
TCONS_00000126	L
TCONS_00000127	T
TCONS_00000128	T
TCONS_00000131	S
TCONS_00000133	P
TCONS_00000136	S
TCONS_00000139	S
TCONS_00000141	J
TCONS_00000142	T
TCONS_00000144	T
TCONS_00000145	G
TCONS_00000146	G
TCONS_00000147	G
TCONS_00000148	G
TCONS_00000152	T
TCONS_00000153	S
TCONS_00000164	O
TCONS_00000165	K
TCONS_00000166	Z
TCONS_00000169	E
TCONS_00000170	U
TCONS_00000173	Z
TCONS_00000174	W
TCONS_00000175	O
TCONS_00000177	O
TCONS_00000178	O
TCONS_00000180	A
TCONS_00000181	S
TCONS_00000185	C
TCONS_00000187	J
TCONS_00000188	O
TCONS_00000189	T
TCONS_00000190	T
TCONS_00000194	O
TCONS_00000194	W
TCONS_00000195	S
TCONS_00000196	G
TCONS_00000197	G
TCONS_00000198	K
TCONS_00000200	O
TCONS_00000201	O
TCONS_00000203	S
TCONS_00000204	T
TCONS_00000205	O
TCONS_00000206	G
TCONS_00000207	G
TCONS_00000211	O
TCONS_00000219	Q
TCONS_00000254	F
TCONS_00000259	Z
TCONS_00000265	T
TCONS_00000267	S
TCONS_00000268	S
TCONS_00000270	O
TCONS_00000272	M
TCONS_00000274	A
TCONS_00000275	B
TCONS_00000275	D
TCONS_00000278	T
TCONS_00000282	O
TCONS_00000284	Z
TCONS_00000285	L
TCONS_00000287	K
TCONS_00000293	L
TCONS_00000295	Z
TCONS_00000299	S
TCONS_00000300	P
TCONS_00000308	T
TCONS_00000311	Q
TCONS_00000312	G
TCONS_00000316	G
TCONS_00000318	G
TCONS_00000320	Q
TCONS_00000321	Q
TCONS_00000323	U
TCONS_00000324	G
TCONS_00000325	Q
TCONS_00000327	Q
TCONS_00000328	Q
TCONS_00000330	G
TCONS_00000334	T
TCONS_00000335	S
TCONS_00000337	S
TCONS_00000338	S
TCONS_00000340	C
TCONS_00000342	A
TCONS_00000343	T
TCONS_00000347	L
TCONS_00000348	S
TCONS_00000351	B
TCONS_00000353	T
TCONS_00000355	S
TCONS_00000357	T
TCONS_00000360	O
TCONS_00000361	T
TCONS_00000362	S
TCONS_00000366	S
TCONS_00000367	S
TCONS_00000370	I
TCONS_00000371	M
TCONS_00000372	P
TCONS_00000373	G
TCONS_00000375	G
TCONS_00000376	L
TCONS_00000377	W
TCONS_00000379	T
TCONS_00000382	Q
TCONS_00000383	O
TCONS_00000387	Q
TCONS_00000388	Q
TCONS_00000389	Q
TCONS_00000390	Q
TCONS_00000391	S
TCONS_00000392	Q
TCONS_00000393	Q
TCONS_00000394	Q
TCONS_00000395	K
TCONS_00000403	S
TCONS_00000406	T
TCONS_00000408	K
TCONS_00000409	U
TCONS_00000410	Z
TCONS_00000411	Z
TCONS_00000414	Z
TCONS_00000415	S
TCONS_00000417	K
TCONS_00000418	K
TCONS_00000419	K
TCONS_00000420	K
TCONS_00000421	S
TCONS_00000422	K
TCONS_00000423	S
TCONS_00000424	U
TCONS_00000425	A
TCONS_00000426	O
TCONS_00000428	J
TCONS_00000429	J
TCONS_00000430	O
TCONS_00000431	G
TCONS_00000434	T
TCONS_00000440	T
TCONS_00000443	T
TCONS_00000445	T
TCONS_00000446	T
TCONS_00000448	B
TCONS_00000448	K
TCONS_00000449	B
TCONS_00000449	K
TCONS_00000451	T
TCONS_00000451	V
TCONS_00000452	B
TCONS_00000452	K
TCONS_00000453	B
TCONS_00000453	K
TCONS_00000459	T
TCONS_00000461	T
TCONS_00000463	T
TCONS_00000464	T
TCONS_00000467	L
TCONS_00000469	I
TCONS_00000470	P
TCONS_00000475	G
TCONS_00000478	G
TCONS_00000480	W
TCONS_00000482	S
TCONS_00000483	I
TCONS_00000485	I
TCONS_00000486	I
TCONS_00000487	I
TCONS_00000489	I
TCONS_00000492	S
TCONS_00000493	E
TCONS_00000495	K
TCONS_00000496	K
TCONS_00000497	K
TCONS_00000499	E
TCONS_00000504	E
TCONS_00000505	E
TCONS_00000506	E
TCONS_00000507	E
TCONS_00000511	Q
TCONS_00000512	B
TCONS_00000512	T
TCONS_00000515	A
TCONS_00000518	A
TCONS_00000523	A
TCONS_00000524	T
TCONS_00000530	Q
TCONS_00000531	T
TCONS_00000532	T
TCONS_00000533	Q
TCONS_00000534	T
TCONS_00000535	Q
TCONS_00000537	O
TCONS_00000539	L
TCONS_00000544	T
TCONS_00000546	S
TCONS_00000548	S
TCONS_00000549	T
TCONS_00000550	P
TCONS_00000550	T
