Orthogroup	HELIO_ok	DROME
OG0000000	HELIO_01999	DROME16218, DROME16219
OG0000000	HELIO_08880	DROME14805, DROME14806
OG0000000	HELIO_10837	DROME15599
OG0000000	HELIO_06752	DROME15463, DROME15462
OG0000000	HELIO_10666	DROME11250
OG0000000	HELIO_00795	DROME14878
OG0000000	HELIO_03148	DROME03422
OG0000000	HELIO_09005	DROME12799
OG0000000	HELIO_02157	DROME16097
OG0000000	HELIO_11687	DROME01107
OG0000000	HELIO_04988	DROME13415
OG0000000	HELIO_00534	DROME10025
OG0000000	HELIO_08573	DROME17718
OG0000000	HELIO_06829	DROME04989
OG0000000	HELIO_00816, HELIO_04090	DROME12831, DROME12829, DROME12828, DROME12830
OG0000002	HELIO_12021, HELIO_07207	DROME14626, DROME12189, DROME02894
OG0000006	HELIO_04245	DROME00104
OG0000006	HELIO_06349	DROME19258, DROME19257, DROME19259
OG0000006	HELIO_00150	DROME21396
OG0000006	HELIO_12770	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	HELIO_10345	DROME07420
OG0000006	HELIO_08890	DROME07417
OG0000006	HELIO_11381, HELIO_00450	DROME18045, DROME18046, DROME18044
OG0000006	HELIO_08227	DROME00147, DROME00148
OG0000006	HELIO_06418	DROME19780, DROME19779, DROME19781
OG0000007	HELIO_01296	DROME12545
OG0000007	HELIO_10106	DROME16994, DROME16993
OG0000007	HELIO_00643	DROME17568, DROME17567
OG0000007	HELIO_00352	DROME07864
OG0000007	HELIO_11362, HELIO_11129	DROME09292
OG0000007	HELIO_03703	DROME14142
OG0000007	HELIO_07978	DROME19603, DROME19602
OG0000007	HELIO_03118	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	HELIO_11721	DROME21792, DROME00712, DROME00713
OG0000008	HELIO_10953, HELIO_01917	DROME05669
OG0000012	HELIO_04072, HELIO_05750	DROME14687, DROME14686
OG0000014	HELIO_03075, HELIO_06653, HELIO_08197, HELIO_07557, HELIO_08798	DROME05409, DROME03987
OG0000014	HELIO_12068	DROME14595, DROME14594
OG0000015	HELIO_09049	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329
OG0000016	HELIO_05456	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	HELIO_09779	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	HELIO_04647	DROME01609
OG0000020	HELIO_01087, HELIO_03282, HELIO_03892	DROME02490
OG0000020	HELIO_12285	DROME11466, DROME11467
OG0000020	HELIO_05828	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	HELIO_10575	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	HELIO_05888	DROME03151, DROME03150
OG0000020	HELIO_01918	DROME14454, DROME14455
OG0000021	HELIO_09128	DROME00802, DROME00801
OG0000021	HELIO_08809, HELIO_00647, HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603	DROME08091
OG0000023	HELIO_08618, HELIO_08359, HELIO_11316	DROME04919, DROME04917, DROME04918
OG0000023	HELIO_07887, HELIO_10788, HELIO_06647	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000028	HELIO_06962	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	HELIO_06306	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000029	HELIO_10546, HELIO_00115	DROME19091
OG0000030	HELIO_11997	DROME07429, DROME07428
OG0000030	HELIO_04525, HELIO_09505	DROME15149
OG0000031	HELIO_00475	DROME19945
OG0000031	HELIO_11237	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	HELIO_00638	DROME09230
OG0000031	HELIO_00007, HELIO_08452	DROME05246
OG0000032	HELIO_03061, HELIO_11764, HELIO_06747	DROME02386
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986	DROME01213
OG0000034	HELIO_03041, HELIO_03040	DROME20092, DROME20090, DROME20091
OG0000034	HELIO_10910	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	HELIO_05981	DROME13496
OG0000034	HELIO_12487	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	HELIO_08377	DROME11310, DROME11311
OG0000035	HELIO_06273	DROME11928
OG0000035	HELIO_04621	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	HELIO_07811, HELIO_06366	DROME19358, DROME19359
OG0000035	HELIO_00732, HELIO_11539	DROME17164, DROME17163
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	DROME02324, DROME17378, DROME11305
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	HELIO_04770	DROME08695, DROME15640, DROME04516
