Orthogroup	ORYLA	DROME
OG0000000	ORYLA04928	DROME16218, DROME16219
OG0000000	ORYLA07037, ORYLA08538	DROME04813
OG0000000	ORYLA05297	DROME14805, DROME14806
OG0000000	ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	DROME15463, DROME15462
OG0000000	ORYLA18170	DROME11250
OG0000000	ORYLA02858, ORYLA12900	DROME21328, DROME21327
OG0000000	ORYLA11446	DROME01107
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	DROME13389, DROME13388
OG0000000	ORYLA04170, ORYLA18990	DROME11314
OG0000000	ORYLA09108	DROME13415
OG0000000	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898	DROME13413
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	DROME13414
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	DROME10025
OG0000000	ORYLA08225, ORYLA06162	DROME16399
OG0000000	ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	DROME17718
OG0000000	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617	DROME15341, DROME15342, DROME15343
OG0000000	ORYLA01029, ORYLA04459	DROME03546, DROME03545
OG0000000	ORYLA04630	DROME13420
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	DROME04989
OG0000000	ORYLA17729, ORYLA05044, ORYLA00932	DROME16202
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322, ORYLA11797, ORYLA10603, ORYLA10060	DROME12831, DROME12829, DROME12828, DROME12830
OG0000002	ORYLA13467, ORYLA16691	DROME14626, DROME12189, DROME02894
OG0000005	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689
OG0000005	ORYLA11550	DROME15227
OG0000006	ORYLA20407, ORYLA03595	DROME08113
OG0000006	ORYLA03421, ORYLA09483	DROME01994, DROME01995, DROME01996
OG0000006	ORYLA13382	DROME07928
OG0000006	ORYLA09038	DROME00104
OG0000006	ORYLA10511, ORYLA11827	DROME19258, DROME19257, DROME19259
OG0000006	ORYLA16517	DROME21396
OG0000006	ORYLA17394	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	ORYLA05082	DROME19786, DROME00664
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	DROME18045, DROME18046, DROME18044
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	DROME19780, DROME19779, DROME19781
OG0000006	ORYLA04691	DROME21674, DROME21675, DROME21673
OG0000007	ORYLA13334	DROME12545
OG0000007	ORYLA14937, ORYLA17526	DROME16994, DROME16993
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	DROME17568, DROME17567
OG0000007	ORYLA00267	DROME07864
OG0000007	ORYLA10719, ORYLA18472, ORYLA15644, ORYLA15197, ORYLA07783	DROME09292
OG0000007	ORYLA03471, ORYLA17615	DROME14142
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	DROME19603, DROME19602
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	ORYLA10158, ORYLA04736	DROME21792, DROME00712, DROME00713
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000008	ORYLA13726, ORYLA15066, ORYLA11025	DROME15136
OG0000010	ORYLA18252	DROME04358
OG0000010	ORYLA09104, ORYLA13024	DROME12016
OG0000010	ORYLA16137, ORYLA14434, ORYLA05941, ORYLA05550, ORYLA20398, ORYLA05923, ORYLA05924, ORYLA14435, ORYLA16136	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000012	ORYLA07628	DROME14687, DROME14686
OG0000014	ORYLA07442, ORYLA17297, ORYLA15314, ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263, ORYLA04835, ORYLA19923, ORYLA15682	DROME05409, DROME03987
OG0000014	ORYLA11600, ORYLA01088	DROME14595, DROME14594
OG0000015	ORYLA11923, ORYLA10179, ORYLA11921, ORYLA10367, ORYLA08817, ORYLA04154	DROME20983
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	DROME11913, DROME20981, DROME20982
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764, ORYLA05054	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	ORYLA09921	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	ORYLA00030	DROME01609
OG0000019	ORYLA16405, ORYLA07040	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	ORYLA12531	DROME22108
OG0000020	ORYLA10559, ORYLA06663	DROME02490
OG0000020	ORYLA06780	DROME11466, DROME11467
OG0000020	ORYLA01097, ORYLA00349	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	ORYLA15647	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	ORYLA00902, ORYLA00505	DROME03151, DROME03150
OG0000020	ORYLA06519	DROME14454, DROME14455
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	DROME18320, DROME18321
OG0000021	ORYLA03698, ORYLA17601	DROME08269
OG0000021	ORYLA04373	DROME00802, DROME00801
OG0000021	ORYLA12092, ORYLA14389	DROME08091
OG0000021	ORYLA04245	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	DROME04919, DROME04917, DROME04918
OG0000026	ORYLA19214	DROME19866, DROME19867
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000030	ORYLA18077	DROME12966
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	DROME15149
OG0000030	ORYLA20234	DROME06898
OG0000031	ORYLA09861, ORYLA15740	DROME19945
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	ORYLA04591, ORYLA04917	DROME09230
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513, ORYLA09501, ORYLA00346	DROME05246
OG0000031	ORYLA06240	DROME16481
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	DROME02386
OG0000032	ORYLA15502	DROME01213
OG0000034	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781	DROME20092, DROME20090, DROME20091
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	ORYLA07312	DROME13496
OG0000034	ORYLA12339, ORYLA14860	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	ORYLA14655	DROME20524
OG0000035	ORYLA16101	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	DROME19358, DROME19359
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	DROME17164, DROME17163
OG0000035	ORYLA14782, ORYLA12073, ORYLA12074	DROME10260
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305
OG0000036	ORYLA12571	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	DROME13887, DROME14759, DROME14760
OG0000037	ORYLA04725	DROME08695, DROME15640, DROME04516
OG0000038	ORYLA08393, ORYLA09754	DROME13993
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	DROME03375, DROME03374, DROME03372, DROME03373
