Orthogroup	NEMVE	APOSC_ok
OG0000000	NEMVE15388	APOSC_11837, APOSC_12606
OG0000000	NEMVE09627, NEMVE02365	APOSC_11472, APOSC_29094
OG0000000	NEMVE09082, NEMVE00451	APOSC_19214
OG0000000	NEMVE05015	APOSC_25410
OG0000000	NEMVE11246	APOSC_11604
OG0000000	NEMVE02875	APOSC_28354
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	APOSC_11544
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804, NEMVE00549	APOSC_13522
OG0000000	NEMVE02364	APOSC_04208
OG0000000	NEMVE04732, NEMVE07124	APOSC_07565
OG0000000	NEMVE03387	APOSC_11499
OG0000000	NEMVE06009	APOSC_04964
OG0000000	NEMVE08994	APOSC_22917
OG0000000	NEMVE05986	APOSC_16565
OG0000000	NEMVE15281	APOSC_27318, APOSC_06302, APOSC_14732
OG0000000	NEMVE07211	APOSC_24894
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	APOSC_24788
OG0000000	NEMVE05017	APOSC_28968
OG0000000	NEMVE15350	APOSC_10621
OG0000000	NEMVE07203	APOSC_22429
OG0000000	NEMVE17362	APOSC_04636
OG0000000	NEMVE17363	APOSC_18693
OG0000000	NEMVE10113	APOSC_00117
OG0000000	NEMVE14999, NEMVE10106	APOSC_08607
OG0000001	NEMVE09207	APOSC_22156, APOSC_01815, APOSC_16060
OG0000001	NEMVE01893, NEMVE23127	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	APOSC_17563, APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614, APOSC_00935, APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563, APOSC_04905, APOSC_26642, APOSC_19154, APOSC_21951
OG0000003	NEMVE12557	APOSC_22070, APOSC_13273, APOSC_13272
OG0000003	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682	APOSC_21853
OG0000003	NEMVE11586, NEMVE03490, NEMVE06078	APOSC_21855
OG0000003	NEMVE08017	APOSC_00102
OG0000003	NEMVE10186	APOSC_28638, APOSC_28639
OG0000003	NEMVE05185, NEMVE05392	APOSC_26010
OG0000003	NEMVE09862, NEMVE10187, NEMVE02664	APOSC_06907, APOSC_24394
OG0000003	NEMVE03052, NEMVE05193	APOSC_22836
OG0000003	NEMVE00533	APOSC_22147
OG0000003	NEMVE03309	APOSC_05500
OG0000003	NEMVE10052, NEMVE09871, NEMVE02981, NEMVE00038	APOSC_20479
OG0000003	NEMVE11168	APOSC_07192
OG0000003	NEMVE03235	APOSC_04713
OG0000003	NEMVE11653	APOSC_02027
OG0000003	NEMVE00097, NEMVE12376	APOSC_28978
OG0000003	NEMVE00057, NEMVE03335, NEMVE03053, NEMVE00079, NEMVE05207, NEMVE13177	APOSC_06472
OG0000004	NEMVE02712, NEMVE03345	APOSC_03634
OG0000004	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801	APOSC_06431, APOSC_27025
OG0000004	NEMVE08317	APOSC_28059
OG0000004	NEMVE19262	APOSC_18755
OG0000004	NEMVE10715, NEMVE21151	APOSC_28260, APOSC_25240
OG0000004	NEMVE11454	APOSC_02487, APOSC_00158
OG0000004	NEMVE12065, NEMVE09064, NEMVE03317	APOSC_08714, APOSC_11089, APOSC_11090, APOSC_17489, APOSC_17490
OG0000005	NEMVE16926, NEMVE07207	APOSC_26754
OG0000005	NEMVE05730	APOSC_15445, APOSC_13185, APOSC_03153, APOSC_23541
OG0000006	NEMVE02889	APOSC_21099
OG0000006	NEMVE12700, NEMVE08468, NEMVE01358	APOSC_10640
OG0000006	NEMVE21901	APOSC_27173, APOSC_08430, APOSC_08431
OG0000006	NEMVE02590	APOSC_25251, APOSC_25252
OG0000006	NEMVE03392	APOSC_19228
OG0000006	NEMVE16957	APOSC_11581
OG0000006	NEMVE02351	APOSC_02745
OG0000006	NEMVE14647	APOSC_10711
OG0000006	NEMVE04712	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	APOSC_06790, APOSC_06791
OG0000006	NEMVE06135, NEMVE02315, NEMVE06121, NEMVE12414	APOSC_16303
OG0000006	NEMVE22273, NEMVE03946	APOSC_23470
OG0000007	NEMVE15003	APOSC_04982
OG0000007	NEMVE14764	APOSC_19545
OG0000007	NEMVE13570	APOSC_11262
OG0000007	NEMVE08145	APOSC_11791
OG0000007	NEMVE06210	APOSC_29119
OG0000007	NEMVE09701, NEMVE03333	APOSC_07509
OG0000007	NEMVE16064	APOSC_20868, APOSC_21514, APOSC_25152
OG0000007	NEMVE09467	APOSC_04562
OG0000007	NEMVE03824	APOSC_09541, APOSC_09542
OG0000007	NEMVE09051	APOSC_22651
OG0000007	NEMVE03714	APOSC_10715
OG0000007	NEMVE10605	APOSC_26829
OG0000007	NEMVE09289	APOSC_17950
OG0000007	NEMVE05677	APOSC_07482
OG0000008	NEMVE08509, NEMVE08519, NEMVE09930	APOSC_29142
OG0000008	NEMVE02162	APOSC_21668
OG0000008	NEMVE02218, NEMVE02180	APOSC_15945, APOSC_29112, APOSC_03545
OG0000008	NEMVE04749, NEMVE07849	APOSC_21976, APOSC_21294, APOSC_21293
OG0000008	NEMVE04570, NEMVE15525, NEMVE04545, NEMVE06382, NEMVE06498, NEMVE06526, NEMVE06494, NEMVE06508, NEMVE06518, NEMVE03619, NEMVE03110, NEMVE09120, NEMVE12125, NEMVE12319	APOSC_03242, APOSC_29070, APOSC_27667, APOSC_17515, APOSC_10880, APOSC_20061, APOSC_27050, APOSC_00282, APOSC_13323, APOSC_01481, APOSC_20641
OG0000008	NEMVE07817, NEMVE12766	APOSC_25161
OG0000009	NEMVE06521	APOSC_02892, APOSC_21088, APOSC_18646, APOSC_08256, APOSC_25141, APOSC_27880, APOSC_14853, APOSC_18517
OG0000009	NEMVE06802	APOSC_04604
OG0000009	NEMVE08980	APOSC_04254, APOSC_16035, APOSC_11177, APOSC_07331
OG0000009	NEMVE09215, NEMVE16707, NEMVE02912	APOSC_09171
OG0000009	NEMVE09219	APOSC_02463, APOSC_11202, APOSC_23861, APOSC_08876, APOSC_15628
OG0000009	NEMVE02901	APOSC_14640, APOSC_23697, APOSC_22374, APOSC_12078, APOSC_18792, APOSC_21389, APOSC_26160, APOSC_24355, APOSC_01128, APOSC_09422, APOSC_25847, APOSC_18831, APOSC_19501, APOSC_15459, APOSC_11500, APOSC_25661, APOSC_00854, APOSC_26261
OG0000009	NEMVE03675	APOSC_11617
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	APOSC_17642
OG0000010	NEMVE02447	APOSC_12174
OG0000011	NEMVE10152	APOSC_08063, APOSC_04956, APOSC_05740, APOSC_11629, APOSC_21532, APOSC_04285, APOSC_10021, APOSC_20345, APOSC_24075, APOSC_21593, APOSC_00583, APOSC_00879, APOSC_28649, APOSC_24862
OG0000011	NEMVE11104	APOSC_25130, APOSC_25933, APOSC_01416, APOSC_25932, APOSC_00037, APOSC_04547, APOSC_10178, APOSC_13118, APOSC_19810, APOSC_13795, APOSC_12778, APOSC_01800, APOSC_24912, APOSC_04733, APOSC_09019, APOSC_09279, APOSC_11006, APOSC_12345, APOSC_11207, APOSC_13969, APOSC_10113, APOSC_25340, APOSC_02325, APOSC_08981, APOSC_17566, APOSC_17899, APOSC_24383, APOSC_27819, APOSC_02640, APOSC_01478, APOSC_01406
OG0000012	NEMVE09268, NEMVE05547	APOSC_26545
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	APOSC_26024, APOSC_17612
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	APOSC_00187
OG0000015	NEMVE01032, NEMVE12485, NEMVE00817	APOSC_22269
OG0000015	NEMVE10119	APOSC_08494
OG0000015	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220	APOSC_28752
OG0000016	NEMVE10959	APOSC_05404, APOSC_06852, APOSC_19259
OG0000016	NEMVE05675	APOSC_14883
OG0000016	NEMVE01836	APOSC_28721
OG0000017	NEMVE10140	APOSC_13768, APOSC_04701
OG0000017	NEMVE12719	APOSC_10126
OG0000017	NEMVE02741	APOSC_10874, APOSC_19675, APOSC_17962
OG0000017	NEMVE21656	APOSC_17481, APOSC_14095
OG0000017	NEMVE11360	APOSC_11982
OG0000017	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134	APOSC_28296, APOSC_22083, APOSC_26544, APOSC_25070, APOSC_25071, APOSC_24315, APOSC_02943, APOSC_15991, APOSC_14206, APOSC_06737, APOSC_16567, APOSC_27905, APOSC_05780, APOSC_22360, APOSC_27877, APOSC_17687, APOSC_06955, APOSC_23186
OG0000018	NEMVE07261	APOSC_01143, APOSC_05051, APOSC_27730, APOSC_15473, APOSC_09190, APOSC_02455, APOSC_11910, APOSC_04585, APOSC_04584, APOSC_11347, APOSC_01227, APOSC_12246, APOSC_19597, APOSC_27070, APOSC_18020, APOSC_06513, APOSC_00300, APOSC_01781, APOSC_22775, APOSC_25698, APOSC_09930, APOSC_27069, APOSC_25868, APOSC_03516, APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807
OG0000018	NEMVE17996	APOSC_12393
OG0000018	NEMVE12742, NEMVE12416	APOSC_01211
OG0000019	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950	APOSC_15479, APOSC_17249, APOSC_17250, APOSC_21840
OG0000019	NEMVE10214	APOSC_11237, APOSC_00757, APOSC_06078, APOSC_12007, APOSC_14511, APOSC_21290, APOSC_03807, APOSC_15494
OG0000019	NEMVE10489	APOSC_14801, APOSC_11507
OG0000019	NEMVE04731, NEMVE23135, NEMVE19085, NEMVE07512, NEMVE17584, NEMVE17583, NEMVE17474, NEMVE18398, NEMVE17585, NEMVE18173, NEMVE15506, NEMVE15391, NEMVE15390, NEMVE00086, NEMVE20105, NEMVE02817, NEMVE03394, NEMVE11745, NEMVE11242, NEMVE19708	APOSC_10943, APOSC_07328, APOSC_07329, APOSC_13030, APOSC_10924, APOSC_18630, APOSC_20315
OG0000020	NEMVE05671	APOSC_13376
OG0000020	NEMVE21971	APOSC_27693
OG0000020	NEMVE18721	APOSC_28648
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	APOSC_26550, APOSC_09964
OG0000020	NEMVE05506	APOSC_00691
OG0000020	NEMVE08770, NEMVE22771	APOSC_03094
OG0000020	NEMVE13307	APOSC_05461
OG0000020	NEMVE21746	APOSC_14067
OG0000020	NEMVE13092	APOSC_25230
OG0000021	NEMVE01551, NEMVE13918	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253
OG0000021	NEMVE25647	APOSC_13612
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	APOSC_02202, APOSC_26674
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	APOSC_27384
OG0000021	NEMVE04837	APOSC_09814, APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614, APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082
OG0000023	NEMVE01882	APOSC_14757, APOSC_14758
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982
OG0000023	NEMVE13647	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870
OG0000023	NEMVE16721, NEMVE11897	APOSC_15512
OG0000023	NEMVE08792	APOSC_29076
OG0000024	NEMVE05736, NEMVE12848	APOSC_12646, APOSC_04236, APOSC_19476, APOSC_14174, APOSC_24397, APOSC_23909, APOSC_28972, APOSC_07572, APOSC_01461, APOSC_26217, APOSC_01854, APOSC_01855, APOSC_18488, APOSC_05397, APOSC_28827, APOSC_12673, APOSC_17746, APOSC_17532, APOSC_17533, APOSC_28434, APOSC_09826, APOSC_02940, APOSC_15787, APOSC_15998, APOSC_01155, APOSC_26603, APOSC_13066, APOSC_21939, APOSC_21316
OG0000024	NEMVE10194, NEMVE06283, NEMVE03385, NEMVE10736, NEMVE10243, NEMVE12039	APOSC_20140
OG0000024	NEMVE03198	APOSC_15738, APOSC_15739, APOSC_26406
