Orthogroup	BRALA	STRPU_ok
OG0000000	BRALA16375, BRALA16376	STRPU_10146, STRPU_10084
OG0000000	BRALA00047	STRPU_22262
OG0000000	BRALA19584, BRALA19585, BRALA25857	STRPU_10304
OG0000000	BRALA25847	STRPU_10010
OG0000000	BRALA24482	STRPU_10083, STRPU_10145
OG0000000	BRALA16262	STRPU_10015
OG0000000	BRALA16263	STRPU_10016
OG0000000	BRALA18359	STRPU_19865, STRPU_19892
OG0000000	BRALA29522	STRPU_02929
OG0000000	BRALA21349	STRPU_19906
OG0000000	BRALA24707	STRPU_03800
OG0000000	BRALA18600	STRPU_23673, STRPU_23648
OG0000000	BRALA28387	STRPU_09982, STRPU_09961
OG0000000	BRALA21476	STRPU_20780
OG0000000	BRALA00440	STRPU_23557
OG0000000	BRALA00115	STRPU_23206
OG0000000	BRALA11736	STRPU_05654
OG0000000	BRALA11734	STRPU_05390
OG0000000	BRALA00119, BRALA00120, BRALA00121	STRPU_23197, STRPU_23198
OG0000000	BRALA00118	STRPU_23194
OG0000000	BRALA00439, BRALA26541	STRPU_23756
OG0000000	BRALA00079	STRPU_22253
OG0000000	BRALA34448	STRPU_09852
OG0000000	BRALA00125, BRALA00124	STRPU_23199
OG0000000	BRALA11733	STRPU_05830
OG0000000	BRALA00135	STRPU_23207
OG0000000	BRALA30674	STRPU_10189
OG0000000	BRALA30673	STRPU_09890
OG0000000	BRALA17840	STRPU_21014
OG0000001	BRALA22324, BRALA14825	STRPU_05173, STRPU_05094
OG0000001	BRALA08781, BRALA24139, BRALA05562, BRALA26164, BRALA11954, BRALA26697, BRALA02698, BRALA05570, BRALA30227, BRALA11820, BRALA12085, BRALA30418, BRALA12110, BRALA00838	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221
OG0000001	BRALA23764	STRPU_00074
OG0000001	BRALA12714, BRALA00678, BRALA00762, BRALA09667, BRALA20490, BRALA27259	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	BRALA19588, BRALA19586	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227, STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067, STRPU_12910, STRPU_12667, STRPU_13102
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	STRPU_21867
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496
OG0000002	BRALA20754	STRPU_25048, STRPU_20582, STRPU_20566
OG0000002	BRALA27121	STRPU_00361
OG0000003	BRALA33939, BRALA01916	STRPU_08514
OG0000003	BRALA35907	STRPU_04933, STRPU_22487, STRPU_22462, STRPU_22485, STRPU_08169, STRPU_07935, STRPU_22967
OG0000003	BRALA31353	STRPU_00063
OG0000003	BRALA25224	STRPU_17011
OG0000003	BRALA07610	STRPU_02120
OG0000003	BRALA09721	STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412
OG0000003	BRALA02709	STRPU_12000
OG0000003	BRALA02710	STRPU_17010
OG0000003	BRALA01914	STRPU_09130
OG0000004	BRALA16167	STRPU_02122, STRPU_15691
OG0000004	BRALA27667	STRPU_04563
OG0000004	BRALA08526	STRPU_26969
OG0000004	BRALA02003, BRALA02015	STRPU_19329
OG0000005	BRALA25414, BRALA34368	STRPU_18110, STRPU_02307, STRPU_02309
OG0000005	BRALA00382	STRPU_17631, STRPU_02287
OG0000005	BRALA15577, BRALA04488	STRPU_17625, STRPU_17635, STRPU_02284
OG0000005	BRALA15287	STRPU_26723
OG0000006	BRALA07705	STRPU_12837
OG0000006	BRALA06686	STRPU_04777
OG0000006	BRALA19242	STRPU_05111, STRPU_05037
OG0000006	BRALA06109	STRPU_06684
OG0000006	BRALA07568, BRALA29276	STRPU_12594, STRPU_12593
OG0000006	BRALA22280	STRPU_20521
OG0000006	BRALA06185	STRPU_09165, STRPU_02127
OG0000006	BRALA06182, BRALA06186	STRPU_09164
OG0000006	BRALA17603	STRPU_27184, STRPU_27203
OG0000006	BRALA03602	STRPU_07314
OG0000006	BRALA17591	STRPU_27126
OG0000006	BRALA24372	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	BRALA24993	STRPU_21069
OG0000006	BRALA24994	STRPU_21071
OG0000006	BRALA22628	STRPU_14340
OG0000007	BRALA03259	STRPU_25459
OG0000007	BRALA13447, BRALA13448	STRPU_26581
OG0000007	BRALA20872, BRALA20870	STRPU_21427
OG0000007	BRALA09541	STRPU_26977
OG0000007	BRALA31416	STRPU_09815
OG0000007	BRALA11149	STRPU_10770
OG0000007	BRALA03260	STRPU_25460
OG0000007	BRALA03286	STRPU_25304
OG0000007	BRALA03282	STRPU_25458
OG0000007	BRALA25787	STRPU_08156, STRPU_08157
OG0000007	BRALA26097, BRALA14947	STRPU_16477
OG0000007	BRALA22487	STRPU_21790
OG0000007	BRALA06491	STRPU_08442
OG0000007	BRALA18647	STRPU_08417
OG0000007	BRALA23348	STRPU_12872
OG0000007	BRALA05625	STRPU_10590
OG0000007	BRALA30788	STRPU_21559
OG0000008	BRALA27338	STRPU_10214
OG0000008	BRALA19914	STRPU_08296
OG0000008	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954	STRPU_10510
OG0000008	BRALA09673, BRALA27036	STRPU_13258
OG0000008	BRALA26942	STRPU_13930, STRPU_13915
OG0000008	BRALA20539	STRPU_23377, STRPU_23376
OG0000009	BRALA33044, BRALA32203, BRALA32983	STRPU_16150
OG0000009	BRALA26278, BRALA32982	STRPU_15654, STRPU_26439, STRPU_09847, STRPU_13357, STRPU_23871, STRPU_21906, STRPU_16904, STRPU_04743, STRPU_04269, STRPU_14755, STRPU_09185
OG0000009	BRALA26896, BRALA05198, BRALA23884, BRALA31944	STRPU_11543
OG0000009	BRALA24985, BRALA23462, BRALA30489	STRPU_21043, STRPU_16701, STRPU_21874
OG0000009	BRALA12697, BRALA27847	STRPU_18124, STRPU_16867, STRPU_09178, STRPU_19207, STRPU_12303, STRPU_03189, STRPU_16868, STRPU_15303, STRPU_15345, STRPU_20427, STRPU_04877, STRPU_27144, STRPU_05819, STRPU_12056, STRPU_26205, STRPU_03422, STRPU_01689, STRPU_15519, STRPU_03967, STRPU_21734, STRPU_21788, STRPU_12556, STRPU_26350, STRPU_21879, STRPU_07996, STRPU_24057, STRPU_13165, STRPU_08192, STRPU_01156, STRPU_23113, STRPU_05532
OG0000009	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338	STRPU_00264, STRPU_13826, STRPU_19547, STRPU_26479, STRPU_00431, STRPU_17677, STRPU_03968, STRPU_21356, STRPU_17025, STRPU_26652, STRPU_25389, STRPU_22050, STRPU_19627, STRPU_22581, STRPU_08423, STRPU_16702, STRPU_26575, STRPU_03959, STRPU_08817, STRPU_01475, STRPU_14722, STRPU_17642, STRPU_11125
OG0000010	BRALA08739, BRALA05744	STRPU_11420
OG0000010	BRALA17508, BRALA01650, BRALA02432, BRALA03920, BRALA03888, BRALA03922	STRPU_08974, STRPU_08975
OG0000010	BRALA26959, BRALA34111, BRALA03882, BRALA23970, BRALA23974, BRALA23975, BRALA23976, BRALA23977	STRPU_11814
OG0000011	BRALA14401, BRALA26140, BRALA10514, BRALA15580, BRALA11289, BRALA08054, BRALA04532, BRALA22147	STRPU_26685, STRPU_10728
OG0000011	BRALA24606, BRALA21132, BRALA19164, BRALA01848, BRALA33125, BRALA17676, BRALA20767, BRALA04035, BRALA23557, BRALA32799, BRALA32249	STRPU_20881
OG0000011	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037	STRPU_03188, STRPU_03644, STRPU_13118, STRPU_15611, STRPU_01277, STRPU_02577
OG0000011	BRALA06517, BRALA01847, BRALA32798	STRPU_20280, STRPU_12367
OG0000011	BRALA13222	STRPU_09042
OG0000011	BRALA17612	STRPU_04871, STRPU_19442, STRPU_02972, STRPU_07599
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	STRPU_06380, STRPU_06825
OG0000012	BRALA00546	STRPU_23191, STRPU_23193, STRPU_23192
OG0000012	BRALA22947	STRPU_23513
OG0000014	BRALA21274	STRPU_12767, STRPU_02355
OG0000014	BRALA28626, BRALA28625, BRALA28624	STRPU_17754, STRPU_17755
OG0000014	BRALA15621, BRALA12274	STRPU_18535, STRPU_18486
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	STRPU_19509
