STRPU_22262	BRALA00047
STRPU_10010	BRALA25847
STRPU_10015	BRALA16262
STRPU_10016	BRALA16263
STRPU_02929	BRALA29522
STRPU_19906	BRALA21349
STRPU_03800	BRALA24707
STRPU_20780	BRALA21476
STRPU_23557	BRALA00440
STRPU_23206	BRALA00115
STRPU_05654	BRALA11736
STRPU_05390	BRALA11734
STRPU_23194	BRALA00118
STRPU_22253	BRALA00079
STRPU_09852	BRALA34448
STRPU_05830	BRALA11733
STRPU_23207	BRALA00135
STRPU_10189	BRALA30674
STRPU_09890	BRALA30673
STRPU_21014	BRALA17840
STRPU_00074	BRALA23764
STRPU_00361	BRALA27121
STRPU_00063	BRALA31353
STRPU_17011	BRALA25224
STRPU_02120	BRALA07610
STRPU_12000	BRALA02709
STRPU_17010	BRALA02710
STRPU_09130	BRALA01914
STRPU_04563	BRALA27667
STRPU_26969	BRALA08526
STRPU_26723	BRALA15287
STRPU_12837	BRALA07705
STRPU_04777	BRALA06686
STRPU_06684	BRALA06109
STRPU_20521	BRALA22280
STRPU_07314	BRALA03602
STRPU_27126	BRALA17591
STRPU_21069	BRALA24993
STRPU_21071	BRALA24994
STRPU_14340	BRALA22628
STRPU_25459	BRALA03259
STRPU_26977	BRALA09541
STRPU_09815	BRALA31416
STRPU_10770	BRALA11149
STRPU_25460	BRALA03260
STRPU_25304	BRALA03286
STRPU_25458	BRALA03282
STRPU_21790	BRALA22487
STRPU_08442	BRALA06491
STRPU_08417	BRALA18647
STRPU_12872	BRALA23348
STRPU_10590	BRALA05625
STRPU_21559	BRALA30788
STRPU_10214	BRALA27338
STRPU_08296	BRALA19914
STRPU_09042	BRALA13222
STRPU_23513	BRALA22947
STRPU_06872	BRALA21428
STRPU_23484	BRALA09688
STRPU_15361	BRALA24127
STRPU_13949	BRALA09135
STRPU_20580	BRALA28848
STRPU_07115	BRALA16287
STRPU_05007	BRALA11912
STRPU_13832	BRALA18130
STRPU_05521	BRALA12599
STRPU_21977	BRALA10628
STRPU_05676	BRALA23615
STRPU_23367	BRALA18963
STRPU_25829	BRALA22428
STRPU_09349	BRALA34205
STRPU_10195	BRALA01767
STRPU_02455	BRALA30064
STRPU_27008	BRALA08523
STRPU_10522	BRALA10449
STRPU_09527	BRALA32176
STRPU_24640	BRALA04543
STRPU_24955	BRALA04547
STRPU_24636	BRALA04610
STRPU_27330	BRALA13458
STRPU_08004	BRALA16640
STRPU_22584	BRALA13238
STRPU_09354	BRALA23172
STRPU_11798	BRALA08751
STRPU_27315	BRALA17580
STRPU_11793	BRALA08885
STRPU_04070	BRALA06594
STRPU_19458	BRALA18444
STRPU_13051	BRALA13921
STRPU_12700	BRALA13917
STRPU_09907	BRALA35896
STRPU_20762	BRALA22275
STRPU_24785	BRALA16015
STRPU_04485	BRALA03789
STRPU_21027	BRALA21586
STRPU_04938	BRALA28596
STRPU_00051	BRALA27747
STRPU_16214	BRALA06480
STRPU_26903	BRALA22894
STRPU_04857	BRALA32269
STRPU_09198	BRALA14404
STRPU_05493	BRALA08224
STRPU_09674	BRALA06772
STRPU_20602	BRALA17809
STRPU_20482	BRALA10830
STRPU_26191	BRALA03524
STRPU_23537	BRALA15334
STRPU_16312	BRALA35714
STRPU_21567	BRALA35406
STRPU_24986	BRALA25223
STRPU_08934	BRALA06324
STRPU_08638	BRALA27304
STRPU_05220	BRALA11568
STRPU_24855	BRALA01718
STRPU_17613	BRALA13737
STRPU_13962	BRALA07400
STRPU_08191	BRALA31607
