Orthogroup	HUMAN	CAEEL
OG0000000	HUMAN22097, HUMAN03752	CAEEL18735
OG0000000	HUMAN03687, HUMAN17114, HUMAN03688	CAEEL01893
OG0000000	HUMAN03744, HUMAN03743, HUMAN22196	CAEEL18754
OG0000000	HUMAN27740, HUMAN03805, HUMAN22626	CAEEL06523
OG0000000	HUMAN29337, HUMAN01254	CAEEL18467, CAEEL18466
OG0000000	HUMAN05644	CAEEL04771
OG0000000	HUMAN03433	CAEEL18086
OG0000000	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096	CAEEL08092
OG0000000	HUMAN07512, HUMAN22413, HUMAN12896, HUMAN26097, HUMAN07513, HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515, HUMAN26099, HUMAN06518, HUMAN12899, HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	CAEEL08135, CAEEL08091
OG0000000	HUMAN27325, HUMAN27326	CAEEL00979
OG0000000	HUMAN22154, HUMAN24253	CAEEL19601
OG0000000	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	CAEEL07441
OG0000000	HUMAN26107, HUMAN17898	CAEEL08875
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243, HUMAN18756, HUMAN08319	CAEEL16213
OG0000001	HUMAN10622	CAEEL17898, CAEEL19147, CAEEL08601, CAEEL00597, CAEEL06285
OG0000003	HUMAN02915	CAEEL19939
OG0000005	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813	CAEEL01924
OG0000006	HUMAN20053	CAEEL20510
OG0000006	HUMAN30182, HUMAN30280, HUMAN21060	CAEEL18976
OG0000006	HUMAN22351, HUMAN05133	CAEEL00696
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	CAEEL07700
OG0000006	HUMAN25905	CAEEL05532
OG0000006	HUMAN14338, HUMAN14017	CAEEL01533
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	CAEEL12101
OG0000006	HUMAN08856, HUMAN19716	CAEEL00153
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	CAEEL17819
OG0000006	HUMAN24331	CAEEL15182
OG0000007	HUMAN09570, HUMAN28803	CAEEL04050
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	CAEEL17965
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	CAEEL05829
OG0000007	HUMAN24417, HUMAN11533	CAEEL01108
OG0000007	HUMAN13635, HUMAN12258, HUMAN07103, HUMAN07102, HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	CAEEL10238, CAEEL04602
OG0000007	HUMAN08248	CAEEL18586
OG0000010	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337	CAEEL04259
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	CAEEL20690
OG0000012	HUMAN28255	CAEEL20293
OG0000013	HUMAN23265	CAEEL11942
OG0000013	HUMAN23266, HUMAN23264, HUMAN23267, HUMAN22810, HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	CAEEL19127
OG0000015	HUMAN25367, HUMAN25365, HUMAN21195	CAEEL09145
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	CAEEL15587
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	CAEEL20493
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987, HUMAN03528	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	HUMAN07767	CAEEL18647
