TCONS_00008889	AENJA_00004
TCONS_00007665	AENJA_00005
TCONS_00007656	AENJA_00006
TCONS_00020679	AENJA_00010
TCONS_00020680	AENJA_00011
TCONS_00003785	AENJA_00019
TCONS_00001276	AENJA_00020
TCONS_00024505	AENJA_00028
TCONS_00053141	AENJA_00038
TCONS_00049779	AENJA_00050
TCONS_00049781	AENJA_00051
TCONS_00039555	AENJA_00055
TCONS_00001442	AENJA_00082
TCONS_00011086	AENJA_00084
TCONS_00035981	AENJA_00090
TCONS_00015587	AENJA_00095
TCONS_00015563	AENJA_00096
TCONS_00014759	AENJA_00097
TCONS_00016130	AENJA_00099
TCONS_00011636	AENJA_00105
TCONS_00013788	AENJA_00106
TCONS_00005717	AENJA_00107
TCONS_00041936	AENJA_00119
TCONS_00041653	AENJA_00120
TCONS_00044026	AENJA_00124
TCONS_00022493	AENJA_00139
TCONS_00055605	AENJA_00147
TCONS_00008891	AENJA_00149
TCONS_00008892	AENJA_00150
TCONS_00008952	AENJA_00151
TCONS_00009144	AENJA_00153
TCONS_00007927	AENJA_00154
TCONS_00017259	AENJA_00160
TCONS_00018301	AENJA_00161
TCONS_00016891	AENJA_00162
TCONS_00017941	AENJA_00163
TCONS_00017184	AENJA_00164
TCONS_00016653	AENJA_00181
TCONS_00016625	AENJA_00187
TCONS_00014792	AENJA_00188
TCONS_00025850	AENJA_00189
TCONS_00056829	AENJA_00200
TCONS_00012634	AENJA_00222
TCONS_00026683	AENJA_00225
TCONS_00025889	AENJA_00226
TCONS_00005104	AENJA_00227
TCONS_00005309	AENJA_00229
TCONS_00032287	AENJA_00234
TCONS_00043322	AENJA_00238
TCONS_00013377	AENJA_00247
TCONS_00012607	AENJA_00248
TCONS_00013820	AENJA_00249
TCONS_00011155	AENJA_00254
TCONS_00005699	AENJA_00261
TCONS_00006890	AENJA_00262
TCONS_00005439	AENJA_00263
TCONS_00005130	AENJA_00264
TCONS_00006233	AENJA_00266
TCONS_00004994	AENJA_00267
TCONS_00035168	AENJA_00269
TCONS_00028913	AENJA_00276
TCONS_00004818	AENJA_00306
TCONS_00006087	AENJA_00307
TCONS_00004577	AENJA_00309
TCONS_00006088	AENJA_00310
TCONS_00029826	AENJA_00316
TCONS_00029450	AENJA_00317
TCONS_00028834	AENJA_00318
TCONS_00028617	AENJA_00319
TCONS_00028430	AENJA_00320
TCONS_00029700	AENJA_00324
TCONS_00046236	AENJA_00349
TCONS_00046235	AENJA_00359
TCONS_00046300	AENJA_00362
TCONS_00047616	AENJA_00373
TCONS_00048976	AENJA_00374
TCONS_00047615	AENJA_00376
TCONS_00048196	AENJA_00377
TCONS_00049145	AENJA_00380
TCONS_00008979	AENJA_00382
TCONS_00030413	AENJA_00390
TCONS_00031353	AENJA_00391
TCONS_00030498	AENJA_00392
TCONS_00054563	AENJA_00395
TCONS_00053434	AENJA_00396
TCONS_00030064	AENJA_00397
TCONS_00010805	AENJA_00399
TCONS_00006489	AENJA_00401
TCONS_00000643	AENJA_00406
TCONS_00057082	AENJA_00411
TCONS_00000311	AENJA_00420
TCONS_00045363	AENJA_00432
TCONS_00045575	AENJA_00435
TCONS_00046703	AENJA_00436
TCONS_00045868	AENJA_00437
TCONS_00044662	AENJA_00440
TCONS_00006668	AENJA_00451
TCONS_00006547	AENJA_00454
TCONS_00005307	AENJA_00456
TCONS_00006848	AENJA_00457
TCONS_00006107	AENJA_00461
TCONS_00040218	AENJA_00476
TCONS_00028749	AENJA_00478
TCONS_00010202	AENJA_00480
TCONS_00029723	AENJA_00482
TCONS_00028837	AENJA_00483
TCONS_00027937	AENJA_00486
TCONS_00010219	AENJA_00493
TCONS_00000855	AENJA_00506
TCONS_00001800	AENJA_00507
TCONS_00000287	AENJA_00508
TCONS_00029060	AENJA_00512
TCONS_00056943	AENJA_00514
TCONS_00007887	AENJA_00518
TCONS_00005981	AENJA_00519
TCONS_00022982	AENJA_00528
TCONS_00037675	AENJA_00529
TCONS_00037673	AENJA_00530
TCONS_00051127	AENJA_00544
TCONS_00052196	AENJA_00545
TCONS_00044059	AENJA_00551
TCONS_00042749	AENJA_00552
TCONS_00043404	AENJA_00555
TCONS_00010732	AENJA_00565
TCONS_00015815	AENJA_00566
TCONS_00019019	AENJA_00569
TCONS_00041793	AENJA_00571
TCONS_00044265	AENJA_00573
TCONS_00043975	AENJA_00580
TCONS_00002136	AENJA_00585
TCONS_00000141	AENJA_00588
TCONS_00001243	AENJA_00589
TCONS_00001269	AENJA_00590
TCONS_00000118	AENJA_00593
TCONS_00028745	AENJA_00600
TCONS_00056073	AENJA_00601
TCONS_00053238	AENJA_00603
TCONS_00031260	AENJA_00605
TCONS_00038168	AENJA_00608
TCONS_00054014	AENJA_00652
TCONS_00054308	AENJA_00653
TCONS_00028323	AENJA_00665
TCONS_00050489	AENJA_00667
TCONS_00009435	AENJA_00673
TCONS_00051429	AENJA_00684
TCONS_00018827	AENJA_00700
TCONS_00017778	AENJA_00701
TCONS_00029432	AENJA_00704
TCONS_00029346	AENJA_00706
TCONS_00029463	AENJA_00707
TCONS_00028334	AENJA_00709
TCONS_00029041	AENJA_00713
TCONS_00010405	AENJA_00718
TCONS_00010265	AENJA_00719
TCONS_00051191	AENJA_00729
TCONS_00011640	AENJA_00731
TCONS_00010889	AENJA_00732
TCONS_00009559	AENJA_00735
TCONS_00011586	AENJA_00736
TCONS_00050351	AENJA_00744
TCONS_00029922	AENJA_00748
TCONS_00016561	AENJA_00751
TCONS_00016538	AENJA_00753
TCONS_00015406	AENJA_00758
TCONS_00020720	AENJA_00764
TCONS_00007437	AENJA_00765
TCONS_00008712	AENJA_00766
TCONS_00007438	AENJA_00767
TCONS_00019281	AENJA_00776
TCONS_00019092	AENJA_00777
TCONS_00024749	AENJA_00785
TCONS_00028192	AENJA_00791
TCONS_00003258	AENJA_00793
