Orthogroup	MOUSE	Other
OG0000006	MOUSE29954	XENTR03090
OG0000006	MOUSE29954	ORYLA03421
OG0000006	MOUSE29954	DANRE07561, DANRE07562
OG0000006	MOUSE29954	ASTMX11700
OG0000021	MOUSE44446	STRPU_19932, STRPU_02595
OG0000021	MOUSE44446	LYTVA_14564
OG0000021	MOUSE44446	AENJA_10523
OG0000021	MOUSE44446	HELIO_09286
OG0000021	MOUSE44446	AMPFI_19616, AMPFI_08794, AMPFI_23196
OG0000021	MOUSE44446	APOSJ_00001
OG0000021	MOUSE44446	APOSC_23486, APOSC_20200
OG0000021	MOUSE44446	AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163
OG0000021	MOUSE44446	AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163
OG0000021	MOUSE44446	SCHMD09793
OG0000021	MOUSE44446	CAEEL00784
OG0000026	MOUSE12605	AENJA_10622
OG0000026	MOUSE12605	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000039	MOUSE23387	bflo_13135, bflo_00692
OG0000068	MOUSE02010	LYTVA_12287
OG0000069	MOUSE24598, MOUSE24599	SCHMD18974
OG0000069	MOUSE24598, MOUSE24599	bflo_07771
OG0000069	MOUSE24598, MOUSE24599	HUMAN13361, HUMAN02574
OG0000069	MOUSE24598, MOUSE24599	LYTVA_19096
OG0000069	MOUSE24598, MOUSE24599	NEMVE02861
OG0000085	MOUSE54745	bflo_05617
OG0000094	MOUSE53507, MOUSE53505, MOUSE11261	APOSJ_63079
OG0000094	MOUSE53507, MOUSE53505, MOUSE11261	TCONS_00014948.p1
OG0000094	MOUSE25209	AENJA_26553
OG0000094	MOUSE25209	HELIO_03878
OG0000094	MOUSE25209	STRPU_19407
OG0000094	MOUSE25209	LYTVA_09221
OG0000094	MOUSE25209	AMPFI_06525
OG0000094	MOUSE25209	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128
OG0000094	MOUSE25209	APOSC_21896, APOSC_21895
OG0000094	MOUSE25209	AMPFI_18905
OG0000094	MOUSE25209	AMPFI_18905
OG0000094	MOUSE25209	bflo_11484
OG0000094	MOUSE25209	BRALA09222
OG0000094	MOUSE25209	SCHMD19919, SCHMD25650
OG0000122	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654	AMPFI_04266, AMPFI_05019
OG0000124	MOUSE45403	HELIO_02264
OG0000124	MOUSE45403	STRPU_06709
OG0000124	MOUSE45403	AMPFI_24111
OG0000124	MOUSE45403	APOSC_29022
OG0000124	MOUSE45403	APOSJ_39871, APOSJ_49014, APOSJ_23030, APOSJ_23033, APOSJ_14455, APOSJ_23031, APOSJ_23028, APOSJ_49016, APOSJ_49026, APOSJ_49027, APOSJ_46416, APOSJ_23035, APOSJ_39873, APOSJ_23032, APOSJ_49018, APOSJ_23034, APOSJ_23029, APOSJ_49028
OG0000124	MOUSE45403	AENJA_03116, AENJA_25792
OG0000124	MOUSE45403	SACKO_33754, SACKO_22345
OG0000124	MOUSE45403	TCONS_00021851.p1, TCONS_00022661.p1, TCONS_00021848.p1
OG0000124	MOUSE45403	DANRE08738
OG0000124	MOUSE45403	DANRE08738
OG0000124	MOUSE45403	YEAST05021
OG0000124	MOUSE45403	TCONS_00022673.p1
OG0000124	MOUSE45403	TCONS_00022673.p1
OG0000124	MOUSE45403	LYTVA_14993
OG0000157	MOUSE49056	SCHMD05230
OG0000162	MOUSE14762, MOUSE26325, MOUSE26308, MOUSE14755, MOUSE14763, MOUSE26307	XENTR12697, XENTR12696
OG0000162	MOUSE14762, MOUSE26325, MOUSE26308, MOUSE14755, MOUSE14763, MOUSE26307	XENTR12697, XENTR12696
