Orthogroup	CAEEL	STRPU_ok
OG0000000	CAEEL18735	STRPU_10146, STRPU_10084
OG0000000	CAEEL08140	STRPU_10010
OG0000000	CAEEL18754	STRPU_10083, STRPU_10145
OG0000000	CAEEL06523	STRPU_10015
OG0000000	CAEEL00081	STRPU_10016
OG0000000	CAEEL18467, CAEEL18466	STRPU_19865, STRPU_19892
OG0000000	CAEEL04771	STRPU_03800
OG0000000	CAEEL10851	STRPU_23673, STRPU_23648
OG0000000	CAEEL18086	STRPU_09982, STRPU_09961
OG0000000	CAEEL05734	STRPU_23557
OG0000000	CAEEL08092	STRPU_23206
OG0000000	CAEEL08135, CAEEL08091	STRPU_05654, STRPU_23204, STRPU_23203, STRPU_05390, STRPU_23197, STRPU_23198, STRPU_23196, STRPU_23194, STRPU_23195
OG0000000	CAEEL00979	STRPU_23756
OG0000000	CAEEL19601	STRPU_09852
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	STRPU_23199, STRPU_23200, STRPU_25072, STRPU_23201, STRPU_25677, STRPU_23202
OG0000000	CAEEL07441	STRPU_05830
OG0000000	CAEEL08875	STRPU_23207
OG0000000	CAEEL16213	STRPU_09890, STRPU_21017, STRPU_21014
OG0000001	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221
OG0000002	CAEEL13228, CAEEL12925, CAEEL13245, CAEEL13244, CAEEL13243, CAEEL13242, CAEEL13246, CAEEL13682, CAEEL13221, CAEEL13223, CAEEL17594, CAEEL16944, CAEEL13479, CAEEL14996, CAEEL14636, CAEEL11003, CAEEL11002, CAEEL11012, CAEEL20200, CAEEL14075, CAEEL20203, CAEEL20199, CAEEL20201, CAEEL01553, CAEEL04143	STRPU_06289, STRPU_06334
OG0000002	CAEEL18977	STRPU_00361
OG0000003	CAEEL08453, CAEEL08460	STRPU_08968, STRPU_08981
OG0000003	CAEEL20577	STRPU_02120, STRPU_20651
OG0000005	CAEEL13168	STRPU_18110, STRPU_02307, STRPU_02309
OG0000005	CAEEL20591, CAEEL05556, CAEEL19115	STRPU_17631, STRPU_02287
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	STRPU_26723, STRPU_06288, STRPU_06333
OG0000006	CAEEL20510	STRPU_12837
OG0000006	CAEEL00696	STRPU_05111, STRPU_05037
OG0000006	CAEEL07700	STRPU_20521
OG0000006	CAEEL05532	STRPU_09165, STRPU_02127, STRPU_09164
OG0000006	CAEEL01533	STRPU_27126
OG0000006	CAEEL12101	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	CAEEL00153	STRPU_21069
OG0000006	CAEEL17819	STRPU_21071
OG0000006	CAEEL15182	STRPU_14340
OG0000007	CAEEL04050	STRPU_26581
OG0000007	CAEEL17965	STRPU_21427
OG0000007	CAEEL05829	STRPU_18763
OG0000007	CAEEL01108	STRPU_25458
OG0000007	CAEEL10238, CAEEL04602	STRPU_16477, STRPU_21790
OG0000007	CAEEL18586	STRPU_21559
OG0000008	CAEEL19465, CAEEL14382	STRPU_15692
OG0000010	CAEEL10534	STRPU_11420, STRPU_01204, STRPU_19975
OG0000012	CAEEL20690	STRPU_06380, STRPU_06825
OG0000013	CAEEL19127	STRPU_03494, STRPU_03492, STRPU_03491, STRPU_03490, STRPU_24550, STRPU_24549, STRPU_03493, STRPU_13013, STRPU_13016, STRPU_13015, STRPU_26140, STRPU_26139, STRPU_26141, STRPU_26142, STRPU_26063, STRPU_26143, STRPU_26144, STRPU_26145, STRPU_26138, STRPU_12240, STRPU_17902, STRPU_12241, STRPU_05609, STRPU_18744, STRPU_18801, STRPU_18564, STRPU_18562, STRPU_19588, STRPU_25542, STRPU_26621, STRPU_26619, STRPU_13855, STRPU_22248, STRPU_22985, STRPU_05310, STRPU_03335, STRPU_03341, STRPU_05350, STRPU_17608, STRPU_10835, STRPU_10854, STRPU_27045, STRPU_27048, STRPU_27049, STRPU_14795, STRPU_15013, STRPU_15028, STRPU_15009, STRPU_15023, STRPU_15021, STRPU_21089, STRPU_27050, STRPU_21244, STRPU_17615, STRPU_17609, STRPU_17614, STRPU_23920, STRPU_13091, STRPU_13105
