Orthogroup	DROME	CAPO3
OG0000005	DROME07278, DROME16769, DROME16768, DROME05759, DROME05760, DROME12663, DROME12658, DROME09622, DROME09655, DROME16321, DROME03536, DROME05689, DROME15227, DROME16771, DROME15219, DROME15220	CAPO308356, CAPO307946
OG0000006	DROME21674, DROME21675, DROME21673	CAPO302620
OG0000007	DROME14142, DROME19603, DROME19602	CAPO304209
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	CAPO303284
OG0000007	DROME21792, DROME00712, DROME00713	CAPO305123
OG0000012	DROME14687, DROME14686, DROME12555, DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820	CAPO302923, CAPO302931
OG0000015	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329, DROME20983, DROME11913, DROME20981, DROME20982, DROME15820, DROME14399, DROME14400, DROME14397, DROME14398, DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	CAPO302521
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	CAPO304360
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	CAPO306803
OG0000016	DROME01609	CAPO303259
OG0000023	DROME04919, DROME04917, DROME04918, DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	CAPO307690
OG0000029	DROME18440, DROME18439, DROME18441, DROME09446, DROME19091, DROME01527, DROME01529	CAPO307131
OG0000030	DROME12966	CAPO300110
OG0000030	DROME07429, DROME07428, DROME15149, DROME11112, DROME11110, DROME11113, DROME11111, DROME02191, DROME02193, DROME02192, DROME12173, DROME12176, DROME06898, DROME12965	CAPO305356, CAPO301638, CAPO307563
OG0000035	DROME11928, DROME05348, DROME01725, DROME03666, DROME01724, DROME19358, DROME19359, DROME17164, DROME17163, DROME10260, DROME18635	CAPO307346, CAPO308354
OG0000041	DROME00693, DROME00694, DROME00695, DROME00691, DROME00692, DROME01788, DROME01789, DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445, DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	CAPO308025, CAPO306861
OG0000043	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771	CAPO308256
OG0000048	DROME07309	CAPO305301
OG0000048	DROME01500	CAPO304823
OG0000049	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606, DROME18357, DROME18359, DROME18358	CAPO304018
OG0000051	DROME06654, DROME06655	CAPO307809, CAPO301249
OG0000054	DROME20361	CAPO303213, CAPO305653
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	CAPO302015
OG0000054	DROME21992	CAPO303797
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	CAPO301479, CAPO301432
OG0000056	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624	CAPO305974, CAPO306012, CAPO306941
OG0000058	DROME14598	CAPO305595
OG0000060	DROME18201, DROME02317, DROME02583, DROME02316, DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220, DROME15948, DROME00430	CAPO305373
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	CAPO300910
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406, DROME17704, DROME17705, DROME17706, DROME17703, DROME17707, DROME10983, DROME10982	CAPO300270
OG0000066	DROME14379, DROME12296, DROME07231	CAPO308057
OG0000069	DROME03713	CAPO302182
OG0000069	DROME19859, DROME00928	CAPO301523, CAPO305173
OG0000082	DROME20298	CAPO304738
OG0000082	DROME05998	CAPO306626
OG0000082	DROME11174, DROME11173, DROME15008	CAPO300843
OG0000082	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	CAPO306232
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133, DROME10293, DROME10294, DROME10289, DROME10292, DROME00999, DROME00998, DROME01000, DROME19740, DROME10832, DROME10831	CAPO303047
OG0000089	DROME18066, DROME18069, DROME12817	CAPO300386, CAPO300810, CAPO302098
OG0000091	DROME20804, DROME18437, DROME18438, DROME20481, DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941	CAPO301134
OG0000095	DROME01438	CAPO301288, CAPO306046
OG0000096	DROME08870	CAPO301431
OG0000096	DROME13163	CAPO307955
OG0000096	DROME06400	CAPO307522
OG0000096	DROME13915	CAPO300294
OG0000096	DROME09341	CAPO307017
OG0000101	DROME17779, DROME05458	CAPO306858
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989, DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	CAPO302453
OG0000106	DROME19783, DROME02609, DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	CAPO300017
OG0000107	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752	CAPO301524
OG0000110	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727	CAPO300387
OG0000116	DROME05231	CAPO305622
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501, DROME21220, DROME21219, DROME06207, DROME06208, DROME08017, DROME06209	CAPO304642
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476, DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	CAPO307824
OG0000124	DROME08713, DROME09900	CAPO304324
OG0000124	DROME21734	CAPO302553
OG0000126	DROME01805, DROME01804	CAPO301836
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	CAPO302484
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804, DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	CAPO300572
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055	CAPO303361
OG0000142	DROME09730, DROME08254, DROME08253, DROME07188, DROME13886, DROME07187, DROME17530, DROME17531	CAPO302031, CAPO302030
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	CAPO308132
OG0000147	DROME17452, DROME17451	CAPO304230
OG0000149	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236, DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699	CAPO305206, CAPO306214
OG0000157	DROME05619, DROME05620, DROME05621, DROME05618, DROME05617, DROME05616	CAPO305956
OG0000157	DROME11709	CAPO301137
OG0000157	DROME09786, DROME05150, DROME05149	CAPO305824
OG0000167	DROME04018, DROME04019, DROME09457, DROME09458	CAPO301364, CAPO303476
OG0000171	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199, DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495	CAPO304813
OG0000174	DROME10165, DROME11306	CAPO304629
OG0000175	DROME03593, DROME00840	CAPO303513
OG0000179	DROME11221, DROME21050	CAPO300694
OG0000179	DROME07796	CAPO303342
OG0000181	DROME12775	CAPO301108
OG0000181	DROME18397	CAPO302034
OG0000181	DROME06226	CAPO300374
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	CAPO305638
OG0000183	DROME07197	CAPO302591
OG0000183	DROME07008, DROME18789	CAPO305829
