Orthogroup	DANRE	XENTR
OG0000000	DANRE01559	XENTR09224, XENTR09222
OG0000000	DANRE05955	XENTR09223, XENTR09220
OG0000000	DANRE06436	XENTR08878
OG0000000	DANRE35926	XENTR01079, XENTR01080
OG0000000	DANRE05022	XENTR18066
OG0000000	DANRE06714	XENTR08976
OG0000000	DANRE11226	XENTR18621
OG0000000	DANRE16356	XENTR13401
OG0000000	DANRE11234	XENTR10509
OG0000000	DANRE11232	XENTR10508
OG0000000	DANRE16357	XENTR13402
OG0000000	DANRE40795	XENTR02223
OG0000000	DANRE05964	XENTR10492
OG0000000	DANRE19591, DANRE19592	XENTR10560
OG0000000	DANRE34117, DANRE19532	XENTR07734
OG0000000	DANRE36202	XENTR13891
OG0000000	DANRE02487	XENTR17298
OG0000000	DANRE13405	XENTR05705
OG0000000	DANRE00977	XENTR16086
OG0000000	DANRE04328, DANRE04330, DANRE04329	XENTR12445
OG0000000	DANRE18867, DANRE18868	XENTR07618
OG0000000	DANRE03839, DANRE29251	XENTR10848
OG0000000	DANRE14339, DANRE14340	XENTR03338
OG0000000	DANRE35277, DANRE35276	XENTR04390
OG0000000	DANRE17824	XENTR05494
OG0000000	DANRE29250	XENTR10849
OG0000000	DANRE09540	XENTR03337
OG0000000	DANRE24278	XENTR04389
OG0000000	DANRE29240	XENTR10854
OG0000000	DANRE23428	XENTR08539
OG0000000	DANRE29241, DANRE29242	XENTR03332
OG0000000	DANRE03837, DANRE29246	XENTR10853
OG0000000	DANRE23430, DANRE23429, DANRE01703	XENTR08540
OG0000000	DANRE23433	XENTR08542
OG0000000	DANRE29249	XENTR10851
OG0000000	DANRE41434	XENTR07169
OG0000000	DANRE14335	XENTR03335
OG0000000	DANRE14338	XENTR03334
OG0000000	DANRE23432, DANRE23431	XENTR08541
OG0000000	DANRE38770	XENTR06295
OG0000000	DANRE14679, DANRE08590	XENTR03185
OG0000000	DANRE06002	XENTR12464
OG0000000	DANRE20421, DANRE06649	XENTR08726
OG0000000	DANRE11732	XENTR06680
OG0000000	DANRE11786, DANRE11785	XENTR12982
OG0000000	DANRE23427	XENTR08538
OG0000000	DANRE41435	XENTR03331, XENTR07171
OG0000000	DANRE29239, DANRE29238	XENTR10855, XENTR10856
OG0000000	DANRE09538	XENTR03330
OG0000000	DANRE06945, DANRE06944	XENTR00687
OG0000000	DANRE20512	XENTR13779
OG0000000	DANRE14325, DANRE14326	XENTR03327
OG0000000	DANRE41441	XENTR07175
OG0000000	DANRE41165	XENTR01971
OG0000000	DANRE05977	XENTR14936
OG0000000	DANRE05743	XENTR09546
OG0000000	DANRE41166	XENTR01972
OG0000000	DANRE05745, DANRE05744	XENTR09547
OG0000000	DANRE06657	XENTR08722
OG0000000	DANRE11796, DANRE11795	XENTR12981
OG0000001	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247
OG0000002	DANRE16673	XENTR12747
OG0000002	DANRE07411, DANRE07410	XENTR12310, XENTR12309, XENTR12000, XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313
OG0000002	DANRE38244, DANRE38242, DANRE38243	XENTR16022
OG0000002	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827	XENTR16271, XENTR03602, XENTR03603, XENTR03601
OG0000002	DANRE23574	XENTR17667
OG0000004	DANRE17331	XENTR16872, XENTR15834
OG0000004	DANRE15804, DANRE15805	XENTR04878
OG0000004	DANRE05052, DANRE05051, DANRE04104, DANRE04103	XENTR07289, XENTR07290
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045	XENTR07824, XENTR07823
OG0000004	DANRE30832	XENTR18497
OG0000004	DANRE33319	XENTR04025, XENTR04024
OG0000005	DANRE20576, DANRE20588, DANRE20587, DANRE20586	XENTR05002, XENTR05003
OG0000005	DANRE20012, DANRE20011, DANRE20010	XENTR09492, XENTR09491
OG0000005	DANRE20517, DANRE20518	XENTR09477
OG0000005	DANRE17265, DANRE14948, DANRE27010, DANRE24204	XENTR17068
OG0000005	DANRE18558	XENTR04106
OG0000005	DANRE18161	XENTR09142
OG0000005	DANRE11160	XENTR09568
OG0000006	DANRE02891	XENTR06019
OG0000006	DANRE35529, DANRE26614, DANRE26613	XENTR00026
OG0000006	DANRE06496, DANRE06495	XENTR03474, XENTR03473
OG0000006	DANRE08940	XENTR14730
OG0000006	DANRE07561, DANRE07562	XENTR03090
OG0000006	DANRE42479, DANRE42480	XENTR09060
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	XENTR03954
OG0000006	DANRE20396, DANRE24336	XENTR03689
OG0000006	DANRE12604	XENTR00399
OG0000006	DANRE38227, DANRE13192, DANRE13191	XENTR09859
OG0000006	DANRE11213, DANRE11212	XENTR09947
OG0000006	DANRE11601	XENTR11692
OG0000006	DANRE30064, DANRE15483	XENTR11329
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	XENTR15046
OG0000006	DANRE05395	XENTR13548
OG0000006	DANRE20981, DANRE28318	XENTR15729
OG0000006	DANRE19321	XENTR08627
OG0000006	DANRE07087, DANRE07088	XENTR04854
OG0000006	DANRE04631, DANRE04632	XENTR07280
OG0000006	DANRE20580	XENTR07527
OG0000006	DANRE11156	XENTR07719
OG0000006	DANRE08961	XENTR12339
OG0000006	DANRE11849	XENTR03854
OG0000006	DANRE35252	XENTR16538, XENTR16537, XENTR09455
OG0000007	DANRE26275	XENTR04989
OG0000007	DANRE17982	XENTR07641
OG0000007	DANRE38320, DANRE26009	XENTR10435
OG0000007	DANRE11787, DANRE11788	XENTR08906
OG0000007	DANRE10909, DANRE10908	XENTR06676
OG0000007	DANRE40583	XENTR07000, XENTR07001
OG0000007	DANRE36378	XENTR00358
OG0000007	DANRE34325	XENTR05826
OG0000007	DANRE40143	XENTR00041
OG0000007	DANRE16014, DANRE16015	XENTR08678
OG0000007	DANRE40142	XENTR00040
OG0000007	DANRE07035, DANRE20085	XENTR10333
OG0000007	DANRE04871	XENTR09768, XENTR09769
OG0000007	DANRE04210	XENTR02009
OG0000007	DANRE07751, DANRE07750	XENTR03222
OG0000007	DANRE12664	XENTR07642
OG0000007	DANRE03447	XENTR11347, XENTR18406
OG0000007	DANRE26278, DANRE26279, DANRE17980, DANRE17979	XENTR04991
OG0000007	DANRE26277	XENTR04990
OG0000007	DANRE12992, DANRE12991	XENTR05942
OG0000007	DANRE08320	XENTR09461
OG0000007	DANRE33659	XENTR01137
OG0000007	DANRE11123	XENTR03031
OG0000007	DANRE03760, DANRE05908	XENTR06562
OG0000007	DANRE03038, DANRE28801	XENTR16583
OG0000007	DANRE30495	XENTR07405
OG0000007	DANRE03657, DANRE03658	XENTR01816
OG0000007	DANRE02453	XENTR09232
OG0000007	DANRE09326, DANRE09325	XENTR15271
OG0000008	DANRE27059	XENTR11531, XENTR11530
OG0000008	DANRE36385, DANRE36384, DANRE36386, DANRE36383	XENTR00356
OG0000008	DANRE34310	XENTR07747
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	XENTR00105
OG0000008	DANRE36653	XENTR02826
OG0000008	DANRE31436	XENTR02855
OG0000008	DANRE41005, DANRE41006	XENTR14482
OG0000008	DANRE00802	XENTR08824
OG0000008	DANRE18586	XENTR15536
OG0000010	DANRE21116, DANRE21115, DANRE21125, DANRE21126, DANRE21124, DANRE21123, DANRE21122, DANRE21119, DANRE21117, DANRE21118, DANRE21127, DANRE21136	XENTR03796, XENTR03794, XENTR03795, XENTR03797
OG0000010	DANRE40235, DANRE40234, DANRE40232, DANRE40233	XENTR17402, XENTR17403, XENTR17056, XENTR19172
OG0000010	DANRE21135	XENTR19048
OG0000010	DANRE38562, DANRE38564, DANRE38563	XENTR06633
OG0000010	DANRE21309, DANRE21308	XENTR13805
OG0000010	DANRE34456, DANRE07824	XENTR02618
OG0000010	DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541	XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359
