Orthogroup	HUMAN	MOUSE
OG0000000	HUMAN06514, HUMAN08318	MOUSE21446, MOUSE46880, MOUSE20962
OG0000000	HUMAN22097	MOUSE35835
OG0000000	HUMAN03752	MOUSE46731
OG0000000	HUMAN27271	MOUSE35499
OG0000000	HUMAN18431	MOUSE22971
OG0000000	HUMAN17135	MOUSE40493
OG0000000	HUMAN03692	MOUSE21445
OG0000000	HUMAN17114	MOUSE40450
OG0000000	HUMAN03688	MOUSE21440
OG0000000	HUMAN03744	MOUSE46719
OG0000000	HUMAN03743	MOUSE46718
OG0000000	HUMAN22196	MOUSE35959
OG0000000	HUMAN27740	MOUSE47799
OG0000000	HUMAN03805	MOUSE46854
OG0000000	HUMAN22626	MOUSE36974
OG0000000	HUMAN29337	MOUSE25533
OG0000000	HUMAN01254	MOUSE37056
OG0000000	HUMAN28889	MOUSE09344
OG0000000	HUMAN05731	MOUSE50563
OG0000000	HUMAN05644	MOUSE50880
OG0000000	HUMAN03433	MOUSE20961
OG0000000	HUMAN02527	MOUSE24692
OG0000000	HUMAN17906	MOUSE26496, MOUSE26495
OG0000000	HUMAN12895, HUMAN12894	MOUSE05222
OG0000000	HUMAN17907	MOUSE26497
OG0000000	HUMAN26096	MOUSE39799
OG0000000	HUMAN07512	MOUSE38794
OG0000000	HUMAN22413	MOUSE36509
OG0000000	HUMAN12896	MOUSE05221
OG0000000	HUMAN26097	MOUSE39801
OG0000000	HUMAN07513	MOUSE38795
OG0000000	HUMAN12904	MOUSE05214, MOUSE05213
OG0000000	HUMAN06517	MOUSE14888
OG0000000	HUMAN17904	MOUSE26490, MOUSE26491
OG0000000	HUMAN12902	MOUSE05215
OG0000000	HUMAN26102	MOUSE39813, MOUSE39810
OG0000000	HUMAN12901	MOUSE05216
OG0000000	HUMAN26101	MOUSE39808
OG0000000	HUMAN06515	MOUSE14889
OG0000000	HUMAN26099	MOUSE39806
OG0000000	HUMAN06518	MOUSE14890, MOUSE14891
OG0000000	HUMAN12899	MOUSE05218
OG0000000	HUMAN12900	MOUSE05217
OG0000000	HUMAN26100	MOUSE39807
OG0000000	HUMAN06519	MOUSE14885
OG0000000	HUMAN27325	MOUSE35589, MOUSE35590
OG0000000	HUMAN12743	MOUSE05644
OG0000000	HUMAN26016	MOUSE06967
OG0000000	HUMAN22154	MOUSE36056
OG0000000	HUMAN24253	MOUSE09425
OG0000000	HUMAN08317	MOUSE07113
OG0000000	HUMAN18755	MOUSE28108
OG0000000	HUMAN06516	MOUSE14887
OG0000000	HUMAN26103	MOUSE39814
OG0000000	HUMAN17903	MOUSE26488
OG0000000	HUMAN12905	MOUSE05211
OG0000000	HUMAN26104	MOUSE39816
OG0000000	HUMAN30050	MOUSE54681
OG0000000	HUMAN24067	MOUSE19588
OG0000000	HUMAN07515	MOUSE38796
OG0000000	HUMAN26107	MOUSE39822
OG0000000	HUMAN17898	MOUSE26482, MOUSE26483
OG0000000	HUMAN27579	MOUSE12761
OG0000000	HUMAN22230	MOUSE36110
OG0000000	HUMAN27580	MOUSE12760
