Orthogroup	HUMAN	DROME
OG0000000	HUMAN22097, HUMAN03752	DROME16218, DROME16219
OG0000000	HUMAN27271, HUMAN18431	DROME04813
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	DROME14805, DROME14806
OG0000000	HUMAN03744, HUMAN03743, HUMAN22196	DROME15463, DROME15462
OG0000000	HUMAN27740, HUMAN03805, HUMAN22626	DROME11250
OG0000000	HUMAN29337, HUMAN01254	DROME21328, DROME21327
OG0000000	HUMAN05644	DROME03422
OG0000000	HUMAN03433	DROME16097
OG0000000	HUMAN02527	DROME01107
OG0000000	HUMAN17907, HUMAN26096	DROME13389, DROME13388
OG0000000	HUMAN07512, HUMAN22413	DROME11314
OG0000000	HUMAN07513	DROME13415
OG0000000	HUMAN12902, HUMAN26102	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	HUMAN26099, HUMAN06518, HUMAN12899	DROME13413
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	DROME13414
OG0000000	HUMAN27325, HUMAN27326	DROME10025
OG0000000	HUMAN12743, HUMAN26016	DROME16399
OG0000000	HUMAN22154, HUMAN24253	DROME17718
OG0000000	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104	DROME15341, DROME15342, DROME15343
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	DROME03546, DROME03545
OG0000000	HUMAN26107, HUMAN17898	DROME04989
OG0000000	HUMAN27579, HUMAN22230	DROME16202
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243, HUMAN18756, HUMAN08319	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	HUMAN10622	DROME08318
OG0000005	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689
OG0000005	HUMAN25469	DROME15227
OG0000006	HUMAN22351, HUMAN05133	DROME08113
OG0000006	HUMAN21718, HUMAN29537	DROME01994, DROME01995, DROME01996
OG0000006	HUMAN02118, HUMAN29294	DROME07928
OG0000006	HUMAN29691	DROME00104
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	DROME19258, DROME19257, DROME19259
OG0000006	HUMAN25905	DROME21396
OG0000006	HUMAN23524	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	HUMAN03111	DROME19786, DROME00664
OG0000006	HUMAN14338	DROME07417
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	DROME18045, DROME18046, DROME18044
OG0000006	HUMAN08856, HUMAN19716	DROME00147, DROME00148
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	DROME19780, DROME19779, DROME19781
OG0000006	HUMAN24331	DROME21674, DROME21675, DROME21673
OG0000007	HUMAN24418, HUMAN11538	DROME12545
OG0000007	HUMAN09570, HUMAN28803	DROME16994, DROME16993
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	DROME17568, DROME17567
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780, HUMAN21567, HUMAN11539	DROME09292
OG0000007	HUMAN12258, HUMAN07103	DROME14142
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	DROME19603, DROME19602
