Orthogroup	NEMVE	DANRE
OG0000000	NEMVE08613, NEMVE01316, NEMVE08607, NEMVE02787, NEMVE02791, NEMVE03947	DANRE01559, DANRE05955
OG0000000	NEMVE15388	DANRE06436, DANRE05762
OG0000000	NEMVE01834	DANRE24636, DANRE35926
OG0000000	NEMVE09627, NEMVE02365	DANRE04899, DANRE05022, DANRE06714
OG0000000	NEMVE09082, NEMVE00451	DANRE04898
OG0000000	NEMVE05015	DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	NEMVE11246	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	DANRE02487, DANRE13405
OG0000000	NEMVE02364	DANRE04328, DANRE04330, DANRE04329
OG0000000	NEMVE04732, NEMVE07124	DANRE18867, DANRE18868
OG0000000	NEMVE03466	DANRE43385
OG0000000	NEMVE06009	DANRE35277, DANRE35276, DANRE17824
OG0000000	NEMVE05929	DANRE29250, DANRE09540
OG0000000	NEMVE05986	DANRE24278
OG0000000	NEMVE15281	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703, DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335, DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	NEMVE07211	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	NEMVE10161	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	NEMVE05017	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	NEMVE15350	DANRE06945, DANRE06944, DANRE20512, DANRE24055
OG0000000	NEMVE07203	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	NEMVE17362	DANRE05977, DANRE05743
OG0000000	NEMVE17363	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000000	NEMVE10113	DANRE11796, DANRE11795, DANRE18798
OG0000001	NEMVE11138	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
