TCONS_00000009.p1	HUMAN00695
TCONS_00000010.p1	HUMAN23258
TCONS_00000011.p1	HUMAN02074
TCONS_00000015.p1	HUMAN13653
TCONS_00000016.p1	HUMAN13131
TCONS_00000022.p1	HUMAN11456
TCONS_00000023.p1	HUMAN06227
TCONS_00000026.p1	HUMAN02703
TCONS_00000033.p1	HUMAN04454
TCONS_00000035.p1	HUMAN10698
TCONS_00000037.p1	HUMAN05639
TCONS_00000039.p1	HUMAN30309
TCONS_00000045.p1	HUMAN08230
TCONS_00000070.p1	HUMAN17463
TCONS_00000080.p1	HUMAN22106
TCONS_00000084.p1	HUMAN23029
TCONS_00000087.p1	HUMAN22955
TCONS_00000089.p1	HUMAN08817
TCONS_00000091.p1	HUMAN23026
TCONS_00000092.p1	HUMAN12768
TCONS_00000093.p2	HUMAN12506
TCONS_00000094.p1	HUMAN09483
TCONS_00000096.p1	HUMAN09225
TCONS_00000100.p1	HUMAN23217
TCONS_00000101.p1	HUMAN14583
TCONS_00000102.p1	HUMAN14576
TCONS_00000103.p1	HUMAN15749
TCONS_00000104.p1	HUMAN26945
TCONS_00000105.p1	HUMAN12508
TCONS_00000109.p1	HUMAN27224
TCONS_00000115.p1	HUMAN25789
TCONS_00000116.p1	HUMAN05306
TCONS_00000118.p1	HUMAN05300
TCONS_00000121.p1	HUMAN25768
TCONS_00000122.p1	HUMAN22833
TCONS_00000124.p1	HUMAN03416
TCONS_00000125.p1	HUMAN25312
TCONS_00000126.p1	HUMAN08230
TCONS_00000127.p1	HUMAN20860
TCONS_00000128.p1	HUMAN05309
TCONS_00000131.p1	HUMAN25150
TCONS_00000136.p1	HUMAN25332
TCONS_00000139.p1	HUMAN21780
TCONS_00000141.p1	HUMAN29662
TCONS_00000142.p1	HUMAN10090
TCONS_00000144.p1	HUMAN24292
TCONS_00000145.p1	HUMAN23764
TCONS_00000146.p1	HUMAN20683
TCONS_00000147.p1	HUMAN20683
TCONS_00000148.p1	HUMAN20683
TCONS_00000152.p1	HUMAN05454
TCONS_00000153.p1	HUMAN19535
TCONS_00000164.p1	HUMAN19525
TCONS_00000165.p1	HUMAN00756
TCONS_00000166.p1	HUMAN00645
TCONS_00000169.p1	HUMAN04709
TCONS_00000170.p1	HUMAN29639
TCONS_00000173.p1	HUMAN16684
TCONS_00000174.p1	HUMAN21927
TCONS_00000175.p1	HUMAN04088
TCONS_00000177.p1	HUMAN04088
TCONS_00000178.p1	HUMAN20636
TCONS_00000180.p1	HUMAN00733
TCONS_00000181.p1	HUMAN07459
TCONS_00000185.p1	HUMAN07085
TCONS_00000187.p1	HUMAN16018
TCONS_00000188.p1	HUMAN25453
TCONS_00000189.p1	HUMAN25301
TCONS_00000190.p1	HUMAN24941
TCONS_00000196.p1	HUMAN04761
TCONS_00000197.p1	HUMAN23764
TCONS_00000200.p1	HUMAN25720
TCONS_00000201.p1	HUMAN29100
TCONS_00000203.p1	HUMAN28067
TCONS_00000204.p1	HUMAN28067
TCONS_00000205.p1	HUMAN20683
TCONS_00000206.p1	HUMAN20683
TCONS_00000207.p1	HUMAN20683
TCONS_00000211.p1	HUMAN25491
TCONS_00000219.p1	HUMAN26510
TCONS_00000234.p1	HUMAN29303
TCONS_00000242.p1	HUMAN09727
TCONS_00000252.p1	HUMAN14610
TCONS_00000254.p1	HUMAN25458
TCONS_00000259.p1	HUMAN29715
TCONS_00000268.p1	HUMAN21543
TCONS_00000270.p1	HUMAN19384
TCONS_00000272.p1	HUMAN07449
TCONS_00000274.p1	HUMAN19430
TCONS_00000275.p1	HUMAN06839
TCONS_00000278.p1	HUMAN03894
TCONS_00000279.p1	HUMAN03894
TCONS_00000282.p1	HUMAN05436
TCONS_00000285.p1	HUMAN01544
TCONS_00000287.p1	HUMAN25357
TCONS_00000293.p1	HUMAN07483
TCONS_00000295.p1	HUMAN25295
TCONS_00000299.p1	HUMAN25446
TCONS_00000300.p1	HUMAN20038
TCONS_00000308.p1	HUMAN25674
TCONS_00000311.p1	HUMAN25153
TCONS_00000312.p1	HUMAN18336
TCONS_00000316.p1	HUMAN18336
TCONS_00000318.p1	HUMAN03416
TCONS_00000320.p1	HUMAN22036
TCONS_00000321.p1	HUMAN22036
TCONS_00000322.p1	HUMAN21175
TCONS_00000323.p1	HUMAN21172
TCONS_00000324.p1	HUMAN25477
TCONS_00000329.p1	HUMAN10139
TCONS_00000330.p1	HUMAN23630
TCONS_00000334.p1	HUMAN25671
TCONS_00000336.p1	HUMAN13131
TCONS_00000337.p1	HUMAN02926
