Orthogroup	NEMVE	ORYLA
OG0000000	NEMVE15388	ORYLA04928
OG0000000	NEMVE01834	ORYLA07037, ORYLA08538
OG0000000	NEMVE09627, NEMVE02365	ORYLA05297
OG0000000	NEMVE09082, NEMVE00451	ORYLA10797
OG0000000	NEMVE05015	ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113
OG0000000	NEMVE11246	ORYLA18170
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	ORYLA03677
OG0000000	NEMVE04732, NEMVE07124	ORYLA11446
OG0000000	NEMVE06009	ORYLA04170, ORYLA18990
OG0000000	NEMVE07193, NEMVE16932, NEMVE07210	ORYLA15771
OG0000000	NEMVE05929	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619
OG0000000	NEMVE05986	ORYLA09108
OG0000000	NEMVE15281	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160, ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898, ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	NEMVE07211	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	NEMVE10161	ORYLA08225, ORYLA06162
OG0000000	NEMVE05017	ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	NEMVE15350	ORYLA01029, ORYLA04459, ORYLA04630
OG0000000	NEMVE07203	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	NEMVE17362	ORYLA05044, ORYLA00932
OG0000000	NEMVE17363	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	NEMVE10113	ORYLA11797, ORYLA10603
OG0000000	NEMVE14999, NEMVE10106	ORYLA10060
OG0000001	NEMVE17781	ORYLA01580
OG0000001	NEMVE11138	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000001	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094	ORYLA02547
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	ORYLA00438, ORYLA03051, ORYLA12350, ORYLA11640, ORYLA16693, ORYLA11641, ORYLA13465, ORYLA13463, ORYLA13464, ORYLA13468, ORYLA13466, ORYLA13469, ORYLA13571, ORYLA03052, ORYLA16692, ORYLA13467, ORYLA16691
OG0000003	NEMVE02445	ORYLA18464
OG0000004	NEMVE02378	ORYLA04400, ORYLA08919
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160
OG0000006	NEMVE06318	ORYLA04794
OG0000006	NEMVE12700, NEMVE08468	ORYLA13204, ORYLA13568, ORYLA06565
OG0000006	NEMVE10906	ORYLA09038
OG0000006	NEMVE21901	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	NEMVE02590	ORYLA10511, ORYLA11827
OG0000006	NEMVE03392	ORYLA16517
OG0000006	NEMVE06316	ORYLA16515
OG0000006	NEMVE16957	ORYLA17394
OG0000006	NEMVE02351	ORYLA05082
OG0000006	NEMVE14647	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	NEMVE04712	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	NEMVE08464	ORYLA04691
OG0000007	NEMVE15003	ORYLA13334
OG0000007	NEMVE14764	ORYLA14937, ORYLA17526
OG0000007	NEMVE13570	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	NEMVE06210	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	NEMVE02350, NEMVE21807	ORYLA00451, ORYLA13596
OG0000007	NEMVE09701, NEMVE03333	ORYLA10719
OG0000007	NEMVE03816	ORYLA18472
OG0000007	NEMVE16064	ORYLA09030, ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	NEMVE09467	ORYLA03471, ORYLA17615
OG0000007	NEMVE03824	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	NEMVE09051	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	NEMVE03714	ORYLA16317
OG0000007	NEMVE09289	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	NEMVE05677	ORYLA10158, ORYLA04736
OG0000008	NEMVE06079, NEMVE05558	ORYLA06372, ORYLA06647, ORYLA13248
OG0000008	NEMVE12766	ORYLA01591, ORYLA05589, ORYLA06938
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	ORYLA13726, ORYLA15066, ORYLA11025
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	ORYLA12063, ORYLA05561
OG0000010	NEMVE08421	ORYLA09104, ORYLA13024
