Orthogroup	HELIO_ok	BRAFL
OG0000000	HELIO_01999	bflo_10712, bflo_10733
OG0000000	HELIO_08880	bflo_24421, bflo_24425, bflo_09165
OG0000000	HELIO_10837	bflo_08798
OG0000000	HELIO_06752	bflo_09701
OG0000000	HELIO_10666	bflo_10072
OG0000000	HELIO_00795	bflo_10147
OG0000000	HELIO_03148	bflo_08732
OG0000000	HELIO_09005	bflo_26435
OG0000000	HELIO_02157	bflo_10637
OG0000000	HELIO_11687	bflo_19045
OG0000000	HELIO_00534	bflo_00617, bflo_23916
OG0000000	HELIO_08573	bflo_10639
OG0000000	HELIO_06829	bflo_26417, bflo_00526
OG0000000	HELIO_04090	bflo_18457
OG0000001	HELIO_11550	bflo_26771, bflo_03786, bflo_24105, bflo_23954, bflo_11884, bflo_11883, bflo_24341, bflo_27049, bflo_26880, bflo_15240, bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933, bflo_17889, bflo_17890, bflo_27452, bflo_27036, bflo_14077, bflo_22059, bflo_27450
OG0000001	HELIO_00196, HELIO_00018, HELIO_00128	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469
OG0000001	HELIO_06891, HELIO_10957, HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455	bflo_24437, bflo_24440
OG0000002	HELIO_06940	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154	bflo_03228, bflo_21287, bflo_03227, bflo_23657
OG0000003	HELIO_07277	bflo_26615, bflo_04790
OG0000003	HELIO_03324	bflo_02237
OG0000003	HELIO_08472	bflo_26737
OG0000003	HELIO_00669	bflo_26114
OG0000003	HELIO_04687	bflo_15766
OG0000003	HELIO_07587	bflo_26929, bflo_27439
OG0000003	HELIO_07060, HELIO_05284	bflo_26004
OG0000003	HELIO_04393	bflo_02645
OG0000004	HELIO_07102	bflo_07498, bflo_20660
OG0000004	HELIO_08003	bflo_05437
OG0000004	HELIO_07359, HELIO_02720	bflo_00119, bflo_00123, bflo_10641, bflo_11199, bflo_10893, bflo_11198, bflo_11206
OG0000005	HELIO_00211	bflo_10917
OG0000006	HELIO_00413	bflo_10484
OG0000006	HELIO_09248	bflo_07660
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	bflo_10066, bflo_10065
OG0000006	HELIO_06349	bflo_12576
OG0000006	HELIO_00150	bflo_23572
OG0000006	HELIO_12770	bflo_06220
OG0000006	HELIO_08890	bflo_06222
OG0000006	HELIO_11381, HELIO_00450	bflo_08431
OG0000006	HELIO_08227	bflo_22598
OG0000006	HELIO_06418	bflo_15412
OG0000007	HELIO_01296	bflo_13266
OG0000007	HELIO_10106	bflo_05651
OG0000007	HELIO_00643	bflo_16444, bflo_15598
OG0000007	HELIO_06396	bflo_06255
OG0000007	HELIO_00352	bflo_25603
OG0000007	HELIO_11362	bflo_10207
OG0000007	HELIO_11129	bflo_13761
OG0000007	HELIO_04873	bflo_13084
OG0000007	HELIO_06738	bflo_16800
OG0000007	HELIO_03703	bflo_12369, bflo_21087
OG0000007	HELIO_07978	bflo_23309
OG0000007	HELIO_03118	bflo_23091
OG0000007	HELIO_07991	bflo_23283
OG0000007	HELIO_01456	bflo_09771
