Orthogroup	AMPFI_ok	SCHMD
OG0000000	AMPFI_12098	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	AMPFI_16114	SCHMD09645
OG0000000	AMPFI_12336	SCHMD20523, SCHMD24588
OG0000000	AMPFI_16025	SCHMD20256, SCHMD22099
OG0000000	AMPFI_08228	SCHMD09133, SCHMD27825
OG0000000	AMPFI_12478	SCHMD01868
OG0000000	AMPFI_21326	SCHMD05281, SCHMD04291
OG0000000	AMPFI_01589, AMPFI_10655	SCHMD13268
OG0000001	AMPFI_25090	SCHMD23406, SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603
OG0000001	AMPFI_03160	SCHMD16091
OG0000001	AMPFI_08190, AMPFI_16435	SCHMD02916
OG0000002	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336	SCHMD15297
OG0000002	AMPFI_16931, AMPFI_22489	SCHMD02695
OG0000003	AMPFI_16210, AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419, AMPFI_16064	SCHMD14034
OG0000003	AMPFI_23034, AMPFI_24242	SCHMD24187, SCHMD29314, SCHMD02634
OG0000003	AMPFI_13340, AMPFI_02133, AMPFI_10984, AMPFI_16139, AMPFI_15012, AMPFI_02028, AMPFI_17117, AMPFI_14862, AMPFI_13136, AMPFI_02273, AMPFI_14808, AMPFI_19265, AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846, AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596, AMPFI_16630, AMPFI_04001, AMPFI_18895, AMPFI_14207, AMPFI_01423, AMPFI_22677, AMPFI_02209, AMPFI_22111, AMPFI_23718, AMPFI_14216	SCHMD00325
OG0000003	AMPFI_14507, AMPFI_04480	SCHMD11370
OG0000003	AMPFI_14217, AMPFI_16278	SCHMD05302
OG0000004	AMPFI_08378	SCHMD20392, SCHMD06188
OG0000004	AMPFI_14906	SCHMD22004
OG0000005	AMPFI_18504	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757
OG0000005	AMPFI_00525	SCHMD06849
OG0000006	AMPFI_24001	SCHMD07888, SCHMD24507
OG0000006	AMPFI_01603	SCHMD08632
OG0000006	AMPFI_22463, AMPFI_10542, AMPFI_00206, AMPFI_02520, AMPFI_23503	SCHMD09638
OG0000006	AMPFI_09123	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341
OG0000006	AMPFI_18507	SCHMD13710
OG0000006	AMPFI_12555	SCHMD18814
OG0000007	AMPFI_07094	SCHMD08294
OG0000007	AMPFI_16775	SCHMD22164, SCHMD13502
OG0000007	AMPFI_15871	SCHMD12296, SCHMD02893
OG0000007	AMPFI_26059, AMPFI_15806	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	AMPFI_22204	SCHMD19134
OG0000007	AMPFI_08786	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	AMPFI_23280	SCHMD02246
OG0000010	AMPFI_04353	SCHMD19321
OG0000010	AMPFI_20654	SCHMD16346
OG0000010	AMPFI_04364	SCHMD14061
OG0000011	AMPFI_19936, AMPFI_09932, AMPFI_21651, AMPFI_13004, AMPFI_17028, AMPFI_02695, AMPFI_10672, AMPFI_20419, AMPFI_21616, AMPFI_12025	SCHMD05659
OG0000011	AMPFI_00394	SCHMD25643
OG0000012	AMPFI_05035, AMPFI_18913	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000012	AMPFI_16130	SCHMD06045, SCHMD22580
OG0000014	AMPFI_04739	SCHMD18409, SCHMD18786, SCHMD27036
OG0000014	AMPFI_03918, AMPFI_12155, AMPFI_04680	SCHMD11444
OG0000014	AMPFI_14991	SCHMD00336
OG0000014	AMPFI_21256, AMPFI_03968	SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208
OG0000016	AMPFI_04995	SCHMD23829
OG0000016	AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919	SCHMD16694
OG0000016	AMPFI_06248	SCHMD02183
OG0000016	AMPFI_18220	SCHMD09773, SCHMD05700
OG0000017	AMPFI_18434, AMPFI_21572, AMPFI_19735, AMPFI_25830, AMPFI_19153, AMPFI_25878, AMPFI_26001, AMPFI_24062, AMPFI_17267, AMPFI_03602, AMPFI_25087, AMPFI_10075, AMPFI_09589, AMPFI_13357, AMPFI_04506, AMPFI_25171, AMPFI_16384, AMPFI_03555, AMPFI_02100, AMPFI_22933, AMPFI_20010, AMPFI_04573, AMPFI_04127, AMPFI_13530, AMPFI_01348, AMPFI_00180, AMPFI_00815, AMPFI_23308, AMPFI_00751, AMPFI_20980, AMPFI_00516, AMPFI_16762, AMPFI_01137, AMPFI_04581, AMPFI_00417, AMPFI_06710, AMPFI_19081, AMPFI_03641, AMPFI_20305, AMPFI_03931, AMPFI_20464, AMPFI_07428, AMPFI_06877, AMPFI_25954, AMPFI_15097, AMPFI_03217	SCHMD13346
OG0000020	AMPFI_07852	SCHMD01272, SCHMD00005, SCHMD23721
OG0000020	AMPFI_03773	SCHMD08736
OG0000020	AMPFI_15880	SCHMD24153
OG0000020	AMPFI_11019	SCHMD09886
OG0000020	AMPFI_07932	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	AMPFI_24454	SCHMD10526, SCHMD19498
OG0000021	AMPFI_19616, AMPFI_08794, AMPFI_23196	SCHMD09793, SCHMD07893
OG0000026	AMPFI_12171	SCHMD10899
OG0000026	AMPFI_09960, AMPFI_03858, AMPFI_13122	SCHMD02068, SCHMD03522
OG0000026	AMPFI_18636, AMPFI_08031	SCHMD00612
OG0000026	AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957	SCHMD22460
OG0000028	AMPFI_19162	SCHMD09456, SCHMD01093
OG0000028	AMPFI_04239	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	AMPFI_04248	SCHMD22912, SCHMD03422
OG0000029	AMPFI_24572	SCHMD10229, SCHMD16285
OG0000029	AMPFI_17682, AMPFI_23832	SCHMD03695, SCHMD08074, SCHMD15862
OG0000029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	AMPFI_04928, AMPFI_02183	SCHMD17295
OG0000030	AMPFI_03176	SCHMD07576, SCHMD09292, SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000031	AMPFI_06256	SCHMD16950
OG0000031	AMPFI_14304	SCHMD11094
OG0000031	AMPFI_01333	SCHMD00185
OG0000031	AMPFI_05075, AMPFI_10833	SCHMD17865
OG0000031	AMPFI_03768	SCHMD04192
OG0000032	AMPFI_22327	SCHMD05709
OG0000032	AMPFI_04329	SCHMD01866
OG0000034	AMPFI_19171	SCHMD11716
OG0000034	AMPFI_25310, AMPFI_04753	SCHMD13190, SCHMD26745
OG0000034	AMPFI_00398	SCHMD11160, SCHMD18247
OG0000035	AMPFI_17275	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	AMPFI_12878	SCHMD15627, SCHMD19701
OG0000035	AMPFI_24961	SCHMD19700, SCHMD08604, SCHMD17446
OG0000036	AMPFI_06932	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000036	AMPFI_18710	SCHMD10087, SCHMD20124, SCHMD27854
OG0000037	AMPFI_10819, AMPFI_10818, AMPFI_01966, AMPFI_00972, AMPFI_11581, AMPFI_25668	SCHMD19933
OG0000037	AMPFI_08082, AMPFI_17087	SCHMD26619
OG0000038	AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006	SCHMD17582, SCHMD27730
OG0000038	AMPFI_00855	SCHMD15420
OG0000038	AMPFI_03880	SCHMD07372
OG0000039	AMPFI_23863, AMPFI_15658, AMPFI_14066, AMPFI_25847, AMPFI_16323, AMPFI_01199, AMPFI_04473, AMPFI_17373, AMPFI_17767, AMPFI_20335, AMPFI_20685, AMPFI_03724	SCHMD12270
OG0000040	AMPFI_24657, AMPFI_06575	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395
