Orthogroup	MOUSE	LYTVA_ok
OG0000000	MOUSE21446, MOUSE46880, MOUSE20962	LYTVA_09514
OG0000000	MOUSE35835, MOUSE46731	LYTVA_01679
OG0000000	MOUSE35499, MOUSE22971	LYTVA_23170
OG0000000	MOUSE40493, MOUSE21445	LYTVA_01380
OG0000000	MOUSE46719, MOUSE46718, MOUSE35959	LYTVA_01827
OG0000000	MOUSE47799, MOUSE46854, MOUSE36974	LYTVA_18988
OG0000000	MOUSE09344, MOUSE50563	LYTVA_13103
OG0000000	MOUSE20961	LYTVA_22602
OG0000000	MOUSE24692	LYTVA_19974
OG0000000	MOUSE05222, MOUSE26497, MOUSE39799	LYTVA_08678
OG0000000	MOUSE38795	LYTVA_23667
OG0000000	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889	LYTVA_22477
OG0000000	MOUSE05217, MOUSE39807, MOUSE14885	LYTVA_22480
OG0000000	MOUSE35589, MOUSE35590	LYTVA_23047
OG0000000	MOUSE05644, MOUSE06967	LYTVA_14838
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	LYTVA_06897
OG0000000	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817	LYTVA_22476
OG0000000	MOUSE54681, MOUSE19588, MOUSE38796	LYTVA_22714
OG0000000	MOUSE42582	LYTVA_09826
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	LYTVA_19015
OG0000000	MOUSE12761, MOUSE36110	LYTVA_26599
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205	LYTVA_17046
OG0000000	MOUSE28110, MOUSE28109	LYTVA_23349
OG0000000	MOUSE07114	LYTVA_23351
OG0000002	MOUSE31557, MOUSE31558	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289
OG0000002	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176
OG0000003	MOUSE23701, MOUSE23700	LYTVA_23212
OG0000004	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144	LYTVA_11730
OG0000004	MOUSE46694, MOUSE46695, MOUSE46693, MOUSE46689, MOUSE46690, MOUSE46688	LYTVA_03880, LYTVA_11529, LYTVA_13371, LYTVA_08957, LYTVA_21459, LYTVA_00032
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	LYTVA_12392
OG0000006	MOUSE33561, MOUSE33562	LYTVA_15901
OG0000006	MOUSE36359, MOUSE36360, MOUSE45321	LYTVA_21289
OG0000006	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955	LYTVA_12321
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	LYTVA_25253
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	LYTVA_07373
OG0000006	MOUSE38532, MOUSE38531	LYTVA_23957
OG0000006	MOUSE10280	LYTVA_29757
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	LYTVA_18169
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	LYTVA_29412, LYTVA_25462
OG0000006	MOUSE08011, MOUSE15296	LYTVA_16832
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	LYTVA_16844
OG0000006	MOUSE03398	LYTVA_08878
OG0000007	MOUSE09063, MOUSE49748	LYTVA_29912
OG0000007	MOUSE51845, MOUSE20686	LYTVA_22273
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	LYTVA_23216
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	LYTVA_27359
OG0000007	MOUSE52320	LYTVA_29395
OG0000007	MOUSE49749	LYTVA_10898
OG0000007	MOUSE09061	LYTVA_17245
OG0000007	MOUSE09062, MOUSE49739	LYTVA_04121
OG0000007	MOUSE04689, MOUSE37388	LYTVA_03206
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	LYTVA_12379, LYTVA_12378
OG0000007	MOUSE38586, MOUSE06525	LYTVA_12480
OG0000007	MOUSE06204	LYTVA_06652
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	LYTVA_19839
OG0000007	MOUSE07031, MOUSE07030	LYTVA_05177
OG0000010	MOUSE46557	LYTVA_28049, LYTVA_14417, LYTVA_22894
OG0000010	MOUSE43879	LYTVA_09270
OG0000011	MOUSE47282	LYTVA_28379, LYTVA_03236, LYTVA_09817
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	LYTVA_11199, LYTVA_24773, LYTVA_27764
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	LYTVA_12515, LYTVA_06149
OG0000012	MOUSE38313, MOUSE49050, MOUSE49303	LYTVA_24416
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	LYTVA_13955
OG0000014	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976	LYTVA_23372
OG0000015	MOUSE03176, MOUSE35079, MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500	LYTVA_26004
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	LYTVA_26002
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	LYTVA_09631, LYTVA_17348, LYTVA_06152
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	LYTVA_02179, LYTVA_09460, LYTVA_20745
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123	LYTVA_21831, LYTVA_18288
OG0000016	MOUSE13078, MOUSE13077	LYTVA_27143
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	LYTVA_03299, LYTVA_00787
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640	LYTVA_01420
OG0000020	MOUSE45177	LYTVA_00541, LYTVA_04295
OG0000020	MOUSE05499, MOUSE05500	LYTVA_19355
OG0000020	MOUSE53015	LYTVA_21318
OG0000020	MOUSE07164	LYTVA_09793
OG0000020	MOUSE33588	LYTVA_04298
OG0000020	MOUSE23587, MOUSE23586	LYTVA_23496
OG0000020	MOUSE26371	LYTVA_05479
OG0000020	MOUSE45175, MOUSE15405, MOUSE15402	LYTVA_08129
OG0000020	MOUSE24012	LYTVA_23009
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	LYTVA_12234
OG0000020	MOUSE35162	LYTVA_17081
OG0000020	MOUSE09601, MOUSE09602	LYTVA_06231
OG0000020	MOUSE37001, MOUSE37002	LYTVA_09530
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	LYTVA_00542
OG0000021	MOUSE41024, MOUSE41023	LYTVA_04917
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	LYTVA_13831
OG0000021	MOUSE49041, MOUSE09998	LYTVA_10118
OG0000021	MOUSE04592	LYTVA_09991
OG0000021	MOUSE44445, MOUSE53773	LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849
OG0000023	MOUSE46773, MOUSE46772	LYTVA_11225
OG0000023	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074
OG0000023	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064	LYTVA_24785
OG0000026	MOUSE34507	LYTVA_02302
OG0000026	MOUSE38308, MOUSE38309	LYTVA_25523, LYTVA_12516, LYTVA_25399, LYTVA_26794, LYTVA_19796
OG0000027	MOUSE18680	LYTVA_13316
OG0000028	MOUSE44525	LYTVA_12763
OG0000029	MOUSE43115, MOUSE43116	LYTVA_19314
OG0000029	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995	LYTVA_19555, LYTVA_01403, LYTVA_23870
OG0000029	MOUSE17544, MOUSE15400	LYTVA_02569, LYTVA_10073
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	LYTVA_13667
OG0000030	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432	LYTVA_26760
OG0000031	MOUSE26385	LYTVA_04157, LYTVA_03000
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	LYTVA_07242
OG0000031	MOUSE08528, MOUSE08527	LYTVA_07394
OG0000031	MOUSE39309, MOUSE01505	LYTVA_13645
OG0000031	MOUSE13006, MOUSE13005	LYTVA_05124
OG0000031	MOUSE48656, MOUSE48889	LYTVA_29658
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579	LYTVA_09735
OG0000031	MOUSE13008	LYTVA_24172
OG0000032	MOUSE41899	LYTVA_14158
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734
OG0000032	MOUSE29123	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746
OG0000034	MOUSE04537, MOUSE04538, MOUSE04539	LYTVA_20191
OG0000034	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	LYTVA_09293
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	LYTVA_04080
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	LYTVA_29167, LYTVA_10612
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	LYTVA_11788
OG0000034	MOUSE11491, MOUSE11490	LYTVA_12673
OG0000034	MOUSE20059	LYTVA_06697
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	LYTVA_27828
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	LYTVA_22468
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	LYTVA_12116
OG0000035	MOUSE27104	LYTVA_04128
OG0000036	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947
OG0000036	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439	LYTVA_14662, LYTVA_10525, LYTVA_29789, LYTVA_04431, LYTVA_20434
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896
OG0000036	MOUSE49438	LYTVA_13566
OG0000036	MOUSE43709	LYTVA_09424
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	LYTVA_02747
OG0000037	MOUSE21441	LYTVA_25050, LYTVA_25057, LYTVA_25048
OG0000038	MOUSE08557	LYTVA_09822
OG0000038	MOUSE41992, MOUSE41494	LYTVA_09820, LYTVA_11687, LYTVA_19608, LYTVA_04587
OG0000038	MOUSE22591, MOUSE22592	LYTVA_09823
OG0000039	MOUSE32704	LYTVA_16233
OG0000039	MOUSE23387	LYTVA_13062
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285
OG0000041	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266	LYTVA_25852
OG0000041	MOUSE28829, MOUSE21621	LYTVA_03177
