Orthogroup	NEMVE	APOSJ_ok
OG0000000	NEMVE15388	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	NEMVE09627, NEMVE02365	APOSJ_43984, APOSJ_47154
OG0000000	NEMVE11246	APOSJ_18686
OG0000000	NEMVE02875	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	APOSJ_18136
OG0000000	NEMVE02364	APOSJ_34245
OG0000000	NEMVE04732, NEMVE07124	APOSJ_60507
OG0000000	NEMVE05986	APOSJ_36728
OG0000000	NEMVE15281	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190, APOSJ_20159, APOSJ_40396
OG0000000	NEMVE07211	APOSJ_37520
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	APOSJ_38857, APOSJ_38860
OG0000000	NEMVE05017	APOSJ_32562, APOSJ_32561
OG0000000	NEMVE15350	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	NEMVE17362	APOSJ_56734
OG0000000	NEMVE17363	APOSJ_31415
OG0000000	NEMVE10113	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	NEMVE14999, NEMVE10106	APOSJ_02527
OG0000001	NEMVE09207	APOSJ_37929, APOSJ_51222, APOSJ_62226
OG0000001	NEMVE01893, NEMVE23127	APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	APOSJ_36413, APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873, APOSJ_50646, APOSJ_61186, APOSJ_47171, APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322, APOSJ_42507, APOSJ_51187, APOSJ_16645, APOSJ_07327, APOSJ_21931
OG0000003	NEMVE08653, NEMVE10994, NEMVE03429	APOSJ_43552, APOSJ_43551
OG0000003	NEMVE02987, NEMVE01808	APOSJ_43592, APOSJ_07424, APOSJ_43596
OG0000003	NEMVE12557	APOSJ_20832, APOSJ_20829, APOSJ_22272, APOSJ_03630
OG0000003	NEMVE11586, NEMVE03490, NEMVE06078	APOSJ_07887, APOSJ_06613
OG0000003	NEMVE08017	APOSJ_27925, APOSJ_44929
OG0000003	NEMVE10186, NEMVE05185, NEMVE05392, NEMVE09862, NEMVE10187, NEMVE02664	APOSJ_58026
OG0000003	NEMVE00066	APOSJ_12361
OG0000003	NEMVE09864, NEMVE02602, NEMVE10394	APOSJ_28104, APOSJ_21473, APOSJ_28537
OG0000003	NEMVE11632	APOSJ_37328, APOSJ_40157
OG0000003	NEMVE02445	APOSJ_07258
OG0000003	NEMVE00533	APOSJ_22526, APOSJ_22667
OG0000003	NEMVE14981	APOSJ_16637, APOSJ_17591
OG0000003	NEMVE03659	APOSJ_58934
OG0000003	NEMVE19948, NEMVE06287, NEMVE08230, NEMVE05052	APOSJ_04924
OG0000003	NEMVE10059	APOSJ_02529
OG0000003	NEMVE03309	APOSJ_22529, APOSJ_10268
OG0000003	NEMVE10052	APOSJ_57640
OG0000003	NEMVE02981, NEMVE00038	APOSJ_11759
OG0000003	NEMVE03548, NEMVE03070, NEMVE16192, NEMVE05739, NEMVE04940	APOSJ_19882
OG0000003	NEMVE12943, NEMVE02796	APOSJ_38353
OG0000003	NEMVE19925	APOSJ_20460
OG0000003	NEMVE00057, NEMVE03335	APOSJ_10992, APOSJ_60978
OG0000003	NEMVE13177	APOSJ_36445, APOSJ_12157, APOSJ_25443
OG0000004	NEMVE02857, NEMVE08015	APOSJ_23993
OG0000004	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801	APOSJ_50666, APOSJ_27471
OG0000004	NEMVE08317	APOSJ_09445
OG0000004	NEMVE19262	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802
OG0000004	NEMVE10715, NEMVE21151	APOSJ_41012, APOSJ_39023, APOSJ_64853, APOSJ_64854, APOSJ_51805, APOSJ_51803, APOSJ_51802, APOSJ_51801, APOSJ_51799, APOSJ_24222, APOSJ_24219, APOSJ_05113, APOSJ_05111, APOSJ_64856, APOSJ_64852, APOSJ_31665, APOSJ_24225, APOSJ_24224, APOSJ_24223, APOSJ_24221, APOSJ_24220, APOSJ_05118, APOSJ_05117, APOSJ_05116, APOSJ_05114
OG0000004	NEMVE11454	APOSJ_07840, APOSJ_23165, APOSJ_23172, APOSJ_23166, APOSJ_23170, APOSJ_23169, APOSJ_23173, APOSJ_23171
OG0000004	NEMVE10612	APOSJ_42139
OG0000004	NEMVE12065, NEMVE09064, NEMVE03317	APOSJ_12788, APOSJ_26915, APOSJ_39029, APOSJ_33861, APOSJ_60118, APOSJ_23229
OG0000005	NEMVE16926, NEMVE07207	APOSJ_58392, APOSJ_58393
OG0000005	NEMVE05730	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100, APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095, APOSJ_12734
OG0000006	NEMVE02889	APOSJ_12203, APOSJ_12202, APOSJ_12204
OG0000006	NEMVE12700, NEMVE08468	APOSJ_14510
OG0000006	NEMVE01358	APOSJ_14143
OG0000006	NEMVE21901	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	NEMVE03392	APOSJ_52128
OG0000006	NEMVE06316	APOSJ_22887
OG0000006	NEMVE16957	APOSJ_25002
OG0000006	NEMVE02351	APOSJ_24425, APOSJ_24424
OG0000006	NEMVE04712	APOSJ_38154
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	APOSJ_46492
OG0000007	NEMVE15003	APOSJ_59584
OG0000007	NEMVE14764	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	NEMVE13570	APOSJ_59909
OG0000007	NEMVE06210	APOSJ_46494
OG0000007	NEMVE09701, NEMVE03333	APOSJ_04151
OG0000007	NEMVE16064	APOSJ_33751
