Orthogroup	HELIO_ok	ORYLA
OG0000000	HELIO_01999	ORYLA04928
OG0000000	HELIO_08880	ORYLA05297
OG0000000	HELIO_06752	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113
OG0000000	HELIO_10666	ORYLA18170
OG0000000	HELIO_11687	ORYLA11446
OG0000000	HELIO_04988	ORYLA09108
OG0000000	HELIO_00534	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	HELIO_08573	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	HELIO_06829	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	HELIO_00816	ORYLA11797, ORYLA10603
OG0000000	HELIO_04090	ORYLA10060
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237	ORYLA00438
OG0000002	HELIO_05342, HELIO_01248	ORYLA12350
OG0000002	HELIO_12021, HELIO_07207	ORYLA13467, ORYLA16691
OG0000003	HELIO_06573	ORYLA18464
OG0000003	HELIO_00523, HELIO_01732	ORYLA05141
OG0000004	HELIO_05213	ORYLA11723, ORYLA15657
OG0000005	HELIO_04655	ORYLA04733
OG0000006	HELIO_09248	ORYLA13204, ORYLA13568, ORYLA06565
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	HELIO_06349	ORYLA10511, ORYLA11827
OG0000006	HELIO_00150	ORYLA16517
OG0000006	HELIO_12770	ORYLA17394
OG0000006	HELIO_08890	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	HELIO_11381, HELIO_00450	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	HELIO_06418	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000007	HELIO_01296	ORYLA13334
OG0000007	HELIO_10106	ORYLA14937, ORYLA17526
OG0000007	HELIO_00643	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	HELIO_00352	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	HELIO_11362	ORYLA10719
OG0000007	HELIO_11129	ORYLA15197
OG0000007	HELIO_04873	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	HELIO_06738	ORYLA13010
