Orthogroup	BRALA	CAEEL
OG0000000	BRALA16375, BRALA16376	CAEEL18735
OG0000000	BRALA17283	CAEEL01893
OG0000000	BRALA25847	CAEEL08140
OG0000000	BRALA24482	CAEEL18754
OG0000000	BRALA16262	CAEEL06523
OG0000000	BRALA16263	CAEEL00081
OG0000000	BRALA18359	CAEEL18467, CAEEL18466
OG0000000	BRALA24707	CAEEL04771
OG0000000	BRALA18600	CAEEL10851
OG0000000	BRALA28387	CAEEL18086
OG0000000	BRALA00440	CAEEL05734
OG0000000	BRALA00115	CAEEL08092
OG0000000	BRALA11736, BRALA00116, BRALA11734, BRALA00119, BRALA00120, BRALA00121, BRALA00118	CAEEL08135, CAEEL08091
OG0000000	BRALA00439, BRALA26541	CAEEL00979
OG0000000	BRALA34448	CAEEL19601
OG0000000	BRALA00125, BRALA00124, BRALA00127	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	BRALA11733	CAEEL07441
OG0000000	BRALA00135	CAEEL08875
OG0000000	BRALA30673, BRALA17840	CAEEL16213
OG0000001	BRALA17635	CAEEL06769
OG0000001	BRALA22338, BRALA22325	CAEEL15812
OG0000001	BRALA08781, BRALA24139, BRALA05562, BRALA26164, BRALA11954, BRALA26697, BRALA02698, BRALA05570, BRALA30227, BRALA11820, BRALA12085, BRALA30418, BRALA12110, BRALA00838	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770
OG0000001	BRALA14819	CAEEL17898, CAEEL19147
OG0000001	BRALA09015	CAEEL00597, CAEEL06285
OG0000001	BRALA25322, BRALA21156	CAEEL06722
OG0000002	BRALA27121	CAEEL18977
OG0000003	BRALA07140	CAEEL18127
OG0000003	BRALA30232, BRALA07610	CAEEL20577
OG0000003	BRALA23384	CAEEL19939
OG0000005	BRALA25414, BRALA34368	CAEEL13168
OG0000005	BRALA00382	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	BRALA15288, BRALA15287	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	BRALA07705	CAEEL20510
OG0000006	BRALA17590	CAEEL18976
OG0000006	BRALA19242	CAEEL00696
OG0000006	BRALA22280	CAEEL07700
OG0000006	BRALA06185, BRALA06182, BRALA06186	CAEEL05532
OG0000006	BRALA17591	CAEEL01533
OG0000006	BRALA24372, BRALA34187	CAEEL12101
OG0000006	BRALA24993	CAEEL00153
OG0000006	BRALA24994	CAEEL17819
OG0000006	BRALA22628	CAEEL15182
OG0000007	BRALA13447, BRALA13448	CAEEL04050
OG0000007	BRALA20872, BRALA20870	CAEEL17965
OG0000007	BRALA03282	CAEEL01108
OG0000007	BRALA08350	CAEEL01984
OG0000007	BRALA26097, BRALA14947, BRALA22487	CAEEL10238, CAEEL04602
OG0000007	BRALA30788	CAEEL18586
OG0000010	BRALA08739, BRALA05744	CAEEL10534
OG0000010	BRALA01026, BRALA09806	CAEEL04259
OG0000010	BRALA20380, BRALA25997, BRALA21212, BRALA10410, BRALA13100	CAEEL10902
OG0000011	BRALA25154	CAEEL08004
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	CAEEL20690
OG0000013	BRALA10995, BRALA11091, BRALA10996	CAEEL13907, CAEEL07369, CAEEL11453, CAEEL08591
OG0000013	BRALA18430, BRALA18428, BRALA02691, BRALA18429	CAEEL05441
OG0000013	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631, BRALA20932	CAEEL19127
OG0000015	BRALA22447	CAEEL15587
OG0000015	BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
