#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_10_promoters/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_10_promoters/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_10_promoters/0.521288096047105.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_10_promoters/target.clean..pos
BGpeak73503	Scaffold_7_1_contigs	28087250	28087471	+	0.000	0.000	TCONS_00050690
BGpeak73504	Scaffold_7_1_contigs	28087541	28087833	+	0.000	0.000	TCONS_00050690
BGpeak73530	Scaffold_7_1_contigs	28879651	28879901	+	0.000	0.000	TCONS_00050706
BGpeak2427	Scaffold_10_1_contigs	34435683	34435850	+	0.000	0.000	TCONS_00000980
BGpeak2446	Scaffold_10_1_contigs	34735543	34736624	+	0.000	0.000	TCONS_00002146
BGpeak2595	Scaffold_10_1_contigs	36332957	36333144	+	0.000	0.000	TCONS_00001026
BGpeak2674	Scaffold_10_1_contigs	37326433	37326900	+	0.000	0.000	TCONS_00002219
BGpeak39411	Scaffold_19_1_contigs	35026129	35026449	+	0.000	0.000	TCONS_00021729
BGpeak39615	Scaffold_19_1_contigs	36257242	36257592	+	0.000	0.000	TCONS_00022884
BGpeak74663	Scaffold_7_1_contigs	42950499	42951076	+	0.000	0.000	TCONS_00052143
BGpeak74765	Scaffold_7_1_contigs	45312107	45312407	+	0.000	0.000	TCONS_00051114
BGpeak3677	Scaffold_11_1_contigs	4036096	4036347	+	0.000	0.000	TCONS_00003603
BGpeak4752	Scaffold_11_1_contigs	15518947	15519608	+	0.000	0.000	TCONS_00002895
BGpeak76938	Scaffold_8_1_contigs	22130073	22130362	+	0.000	0.000	TCONS_00053048
BGpeak5383	Scaffold_11_1_contigs	22258537	22258778	+	0.000	0.000	TCONS_00004064
BGpeak77097	Scaffold_8_1_contigs	25112102	25112319	+	0.000	0.000	TCONS_00054204
BGpeak6683	Scaffold_1_1_contigs	455717	456161	+	0.000	0.000	TCONS_00022963
BGpeak25877	Scaffold_15_1_contigs	39264018	39264191	+	0.000	0.000	TCONS_00013344
BGpeak25959	Scaffold_15_1_contigs	40192040	40192511	+	0.000	0.000	TCONS_00014589
BGpeak78020	Scaffold_8_1_contigs	35740188	35740365	+	0.000	0.000	TCONS_00054472
BGpeak7300	Scaffold_1_1_contigs	12712185	12712901	+	0.000	0.000	TCONS_00023274
BGpeak26712	Scaffold_16_1_contigs	6179492	6179833	+	0.000	0.000	TCONS_00015848
BGpeak79861	Scaffold_9_1_contigs	15754370	15755358	+	0.000	0.000	TCONS_00056425
BGpeak27220	Scaffold_16_1_contigs	11274604	11274816	+	0.000	0.000	TCONS_00014937
BGpeak62843	Scaffold_4_1_contigs	41348256	41349115	+	0.000	0.000	TCONS_00044008
BGpeak28176	Scaffold_16_1_contigs	20872394	20872996	+	0.000	0.000	TCONS_00015131
BGpeak9787	Scaffold_1_1_contigs	61872020	61872351	+	0.000	0.000	TCONS_00024432
BGpeak11104	Scaffold_12_1_contigs	13593080	13593583	+	0.000	0.000	TCONS_00006251
BGpeak29168	Scaffold_16_1_contigs	33234583	33235102	+	0.000	0.000	TCONS_00016588
BGpeak64408	Scaffold_5_1_contigs	6257408	6257571	+	0.000	0.000	TCONS_00045852
BGpeak64423	Scaffold_5_1_contigs	6412599	6412861	+	0.000	0.000	TCONS_00045856
BGpeak12325	Scaffold_12_1_contigs	25080894	25081159	+	0.000	0.000	TCONS_00006552
BGpeak12326	Scaffold_12_1_contigs	25081187	25081364	+	0.000	0.000	TCONS_00006552
BGpeak65984	Scaffold_5_1_contigs	28759359	28759547	+	0.000	0.000	TCONS_00045290
BGpeak13521	Scaffold_13_1_contigs	697898	698551	+	0.000	0.000	TCONS_00008320
BGpeak13779	Scaffold_13_1_contigs	3848993	3849289	+	0.000	0.000	TCONS_00008398
BGpeak67058	Scaffold_5_1_contigs	43670091	43670563	+	0.000	0.000	TCONS_00045613
BGpeak15470	Scaffold_13_1_contigs	21641625	21642047	+	0.000	0.000	TCONS_00007665
BGpeak68062	Scaffold_6_1_contigs	5546527	5546763	+	0.000	0.000	TCONS_00047352
BGpeak68834	Scaffold_6_1_contigs	15485616	15485969	+	0.000	0.000	TCONS_00048939
BGpeak17549	Scaffold_14_1_contigs	1459444	1459708	+	0.000	0.000	TCONS_00009538
BGpeak52669	Scaffold_22_1_contigs	25117871	25118190	+	0.000	0.000	TCONS_00031234
BGpeak18446	Scaffold_14_1_contigs	8596998	8597271	+	0.000	0.000	TCONS_00009746
BGpeak18943	Scaffold_14_1_contigs	12769654	12770020	+	0.000	0.000	TCONS_00009905
BGpeak19003	Scaffold_14_1_contigs	13298598	13298793	+	0.000	0.000	TCONS_00009919
BGpeak19814	Scaffold_14_1_contigs	20629721	20630247	+	0.000	0.000	TCONS_00011491
BGpeak19955	Scaffold_14_1_contigs	21557809	21558467	+	0.000	0.000	TCONS_00010143
BGpeak54700	Scaffold_23_1_contigs	25742381	25742717	+	0.000	0.000	TCONS_00032030
BGpeak54709	Scaffold_23_1_contigs	25767856	25768238	+	0.000	0.000	TCONS_00032650
BGpeak57277	Scaffold_29_1_contigs	349837	350040	+	0.000	0.000	TCONS_00035740
BGpeak57700	Scaffold_3_1_contigs	11227963	11228385	+	0.000	0.000	TCONS_00039378
BGpeak58760	Scaffold_3_1_contigs	41870699	41870956	+	0.000	0.000	TCONS_00040017
BGpeak59042	Scaffold_3_1_contigs	50385016	50385424	+	0.000	0.000	TCONS_00040175
BGpeak59284	Scaffold_35_1_contigs	1100267	1100523	+	0.000	0.000	TCONS_00038911
BGpeak59889	Scaffold_4_1_contigs	5525798	5526048	+	0.000	0.000	TCONS_00043037
BGpeak43736	Scaffold_20_1_contigs	36489169	36489692	+	0.000	0.000	TCONS_00027814
BGpeak44123	Scaffold_21_1_contigs	2151499	2152048	+	0.000	0.000	TCONS_00028948
BGpeak44987	Scaffold_21_1_contigs	9104041	9104546	+	0.000	0.000	TCONS_00028130
BGpeak45828	Scaffold_21_1_contigs	16557748	16558277	+	0.000	0.000	TCONS_00029343
BGpeak81324	Scaffold_9_1_contigs	31449847	31450518	+	0.000	0.000	TCONS_00055700
BGpeak82081	Scaffold_9_1_contigs	39524911	39525274	+	0.000	0.000	TCONS_00057119
BGpeak82087	Scaffold_9_1_contigs	39531979	39532338	+	0.000	0.000	TCONS_00057120
BGpeak47776	Scaffold_2_1_contigs	1315616	1316028	+	0.000	0.000	TCONS_00035929
BGpeak82149	Scaffold_9_1_contigs	39897946	39898411	+	0.000	0.000	TCONS_00055931
BGpeak82350	Scaffold_9_1_contigs	41133152	41133693	+	0.000	0.000	TCONS_00057178
BGpeak49134	Scaffold_2_1_contigs	27962687	27962946	+	0.000	0.000	TCONS_00037714
BGpeak49993	Scaffold_2_1_contigs	43237622	43238053	+	0.000	0.000	TCONS_00038046
