BRALA00047	OFUSG13305.1
BRALA17283	OFUSG18918.1
BRALA25847	OFUSG06560.1
BRALA24482	OFUSG05755.1
BRALA16262	OFUSG06970.1
BRALA16263	OFUSG05968.1
BRALA29522	OFUSG08786.1
BRALA24707	OFUSG09074.1
BRALA18600	OFUSG17443.1
BRALA28387	OFUSG19303.1
BRALA21476	OFUSG12013.1
BRALA00440	OFUSG17426.1
BRALA00115	OFUSG13332.1
BRALA11734	OFUSG03302.1
BRALA00120	OFUSG13338.1
BRALA00118	OFUSG13336.1
BRALA00079	OFUSG21200.1
BRALA00127	OFUSG23416.1
BRALA11733	OFUSG03177.1
BRALA00135	OFUSG12947.1
BRALA30674	OFUSG05775.1
BRALA30673	OFUSG06109.1
BRALA17840	OFUSG21806.1
BRALA22546	OFUSG04431.1
BRALA34804	OFUSG22334.1
BRALA23764	OFUSG21348.1
BRALA09015	OFUSG07127.1
BRALA20754	OFUSG22946.2
BRALA27121	OFUSG18506.1
BRALA31353	OFUSG17555.1
BRALA05750	OFUSG08772.1
BRALA07140	OFUSG21334.1
BRALA24754	OFUSG04319.1
BRALA10124	OFUSG05924.1
BRALA02711	OFUSG23734.1
BRALA07069	OFUSG23315.1
BRALA07154	OFUSG23618.1
BRALA01914	OFUSG02265.1
BRALA23910	OFUSG23317.1
BRALA27911	OFUSG11531.1
BRALA19242	OFUSG02905.1
BRALA06109	OFUSG14509.1
BRALA23800	OFUSG14428.1
BRALA06185	OFUSG10782.1
BRALA24212	OFUSG14810.1
BRALA30843	OFUSG07465.1
BRALA17591	OFUSG08659.1
BRALA24993	OFUSG11740.1
BRALA22628	OFUSG11470.1
BRALA11149	OFUSG23682.1
BRALA03260	OFUSG05364.1
BRALA03286	OFUSG23111.1
BRALA03282	OFUSG04768.1
BRALA25787	OFUSG08948.1
BRALA26097	OFUSG25429.1
BRALA18647	OFUSG10613.1
BRALA30788	OFUSG25241.1
BRALA27338	OFUSG15555.1
BRALA28057	OFUSG05918.1
BRALA05894	OFUSG20029.1
BRALA23788	OFUSG01743.1
BRALA34301	OFUSG08075.1
BRALA21863	OFUSG16912.1
BRALA34743	OFUSG06389.1
BRALA00485	OFUSG16773.1
BRALA24127	OFUSG11848.1
BRALA26433	OFUSG02956.1
BRALA17788	OFUSG23776.1
BRALA12010	OFUSG17234.1
BRALA11913	OFUSG13197.1
BRALA18963	OFUSG18643.1
BRALA18043	OFUSG03663.1
BRALA04762	OFUSG14126.1
BRALA01048	OFUSG00817.1
BRALA01767	OFUSG24229.1
BRALA01099	OFUSG21155.1
BRALA21105	OFUSG16858.1
BRALA32573	OFUSG21119.1
BRALA13032	OFUSG17928.1
BRALA10449	OFUSG12869.1
BRALA04610	OFUSG03938.1
BRALA16640	OFUSG12627.1
BRALA28311	OFUSG02210.1
BRALA10240	OFUSG07861.1
BRALA17580	OFUSG08780.1
BRALA08885	OFUSG00313.1
BRALA18444	OFUSG08088.1
BRALA02412	OFUSG09735.1
BRALA13925	OFUSG07703.1
BRALA29588	OFUSG07851.1
BRALA32346	OFUSG15211.1
BRALA07354	OFUSG09678.1
BRALA07351	OFUSG15797.1
BRALA13194	OFUSG04771.1
BRALA01170	OFUSG13129.1
BRALA17648	OFUSG05314.1
BRALA01164	OFUSG13135.1
BRALA28596	OFUSG03166.1
BRALA22894	OFUSG18977.1
BRALA28946	OFUSG14160.1
BRALA08224	OFUSG03456.1
BRALA06772	OFUSG19541.1
BRALA17809	OFUSG11587.1
BRALA03524	OFUSG04756.1
BRALA24160	OFUSG22442.1
BRALA15334	OFUSG06038.1
BRALA17285	OFUSG23568.1
BRALA26771	OFUSG21437.1
BRALA23285	OFUSG14496.1
BRALA28793	OFUSG00506.1
BRALA35406	OFUSG05561.1
BRALA08250	OFUSG09997.1
BRALA21236	OFUSG18495.1
BRALA29633	OFUSG21852.1
BRALA24063	OFUSG06504.1
BRALA27304	OFUSG25338.1
BRALA20365	OFUSG10738.1
BRALA20908	OFUSG09429.1
BRALA00957	OFUSG20081.1
