Orthogroup	DROME	AMPFI_ok
OG0000000	DROME16218, DROME16219	AMPFI_12098
OG0000000	DROME04813	AMPFI_16114
OG0000000	DROME14805, DROME14806	AMPFI_11894
OG0000000	DROME15463, DROME15462	AMPFI_12336
OG0000000	DROME14878	AMPFI_16025
OG0000000	DROME21328, DROME21327	AMPFI_08228
OG0000000	DROME16097	AMPFI_02168
OG0000000	DROME01107	AMPFI_10716
OG0000000	DROME13415	AMPFI_19781
OG0000000	DROME17718	AMPFI_12478
OG0000000	DROME03546, DROME03545	AMPFI_20876
OG0000000	DROME16202	AMPFI_21326
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	AMPFI_01589, AMPFI_10655
OG0000001	DROME08318	AMPFI_17354
OG0000002	DROME14626, DROME12189, DROME02894	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663, AMPFI_24271, AMPFI_17825, AMPFI_16931, AMPFI_22489, AMPFI_13725, AMPFI_24486, AMPFI_21278, AMPFI_04152
OG0000006	DROME07928	AMPFI_22262
OG0000006	DROME00104	AMPFI_22463
OG0000006	DROME19258, DROME19257, DROME19259	AMPFI_02520
OG0000006	DROME07420	AMPFI_23503
OG0000006	DROME07417	AMPFI_09123
OG0000006	DROME18045, DROME18046, DROME18044	AMPFI_18507
OG0000006	DROME00147, DROME00148	AMPFI_06099
OG0000006	DROME19780, DROME19779, DROME19781	AMPFI_17130
OG0000006	DROME21674, DROME21675, DROME21673	AMPFI_12555
OG0000007	DROME16994, DROME16993	AMPFI_02812
OG0000007	DROME17568, DROME17567	AMPFI_07094
OG0000007	DROME14142	AMPFI_26059
OG0000007	DROME19603, DROME19602	AMPFI_15806
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	AMPFI_22204
OG0000007	DROME21792, DROME00712, DROME00713	AMPFI_23280
OG0000008	DROME12246	AMPFI_22833
OG0000008	DROME19967, DROME19966, DROME19965, DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	AMPFI_13893
OG0000010	DROME09935	AMPFI_14307, AMPFI_14306, AMPFI_02722
OG0000010	DROME18661, DROME09654	AMPFI_14170
OG0000010	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652	AMPFI_04364
OG0000012	DROME14687, DROME14686	AMPFI_05035, AMPFI_18913
OG0000014	DROME06381	AMPFI_06643
OG0000014	DROME05409, DROME03987	AMPFI_10576, AMPFI_00293, AMPFI_03918, AMPFI_12155, AMPFI_04680, AMPFI_21375, AMPFI_08000, AMPFI_07725, AMPFI_05504, AMPFI_16319
OG0000014	DROME14595, DROME14594	AMPFI_16339
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939
OG0000016	DROME01609	AMPFI_06248
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	AMPFI_10151
OG0000020	DROME18145, DROME18146, DROME22108	AMPFI_07852
OG0000020	DROME02490	AMPFI_19334, AMPFI_20737, AMPFI_23773
OG0000020	DROME11466, DROME11467	AMPFI_07932
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	AMPFI_12343
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	AMPFI_25813
OG0000020	DROME03151, DROME03150	AMPFI_21494
OG0000020	DROME14454, DROME14455	AMPFI_13969
OG0000021	DROME08091	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941
OG0000023	DROME04919, DROME04917, DROME04918	AMPFI_14885, AMPFI_23006, AMPFI_10764
OG0000023	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	AMPFI_05765, AMPFI_01138, AMPFI_10312
OG0000026	DROME19866, DROME19867	AMPFI_09960, AMPFI_03858, AMPFI_13122
OG0000028	DROME00133, DROME09421	AMPFI_19162
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	AMPFI_04239
OG0000029	DROME19091	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	DROME12966	AMPFI_04928, AMPFI_02183
OG0000030	DROME07429, DROME07428, DROME15149	AMPFI_03176
OG0000031	DROME19945	AMPFI_06256
OG0000031	DROME05246	AMPFI_05075, AMPFI_10833
OG0000031	DROME16481	AMPFI_03768
OG0000032	DROME02386	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	DROME01213	AMPFI_03594
OG0000034	DROME20092, DROME20090, DROME20091	AMPFI_25310, AMPFI_04753
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	AMPFI_00398
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	AMPFI_17275
OG0000035	DROME19358, DROME19359	AMPFI_07620, AMPFI_08859, AMPFI_16822
OG0000035	DROME17164, DROME17163	AMPFI_12878
OG0000035	DROME18635	AMPFI_24961
OG0000036	DROME02324, DROME17378, DROME11305	AMPFI_11948
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	AMPFI_24657, AMPFI_06575, AMPFI_02741
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	AMPFI_10491, AMPFI_12455, AMPFI_02748
OG0000044	DROME17013	AMPFI_05987, AMPFI_21776, AMPFI_15551
OG0000045	DROME00740, DROME05490, DROME00741, DROME00650	AMPFI_25297
OG0000046	DROME12318, DROME12319	AMPFI_25804, AMPFI_24317
OG0000048	DROME15626, DROME15625	AMPFI_01185
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	AMPFI_17027, AMPFI_21987, AMPFI_06139, AMPFI_22758
OG0000048	DROME01500	AMPFI_08767
OG0000051	DROME06654, DROME06655	AMPFI_25569, AMPFI_12251, AMPFI_06956, AMPFI_18032
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	AMPFI_10274
OG0000054	DROME21992	AMPFI_00513, AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	AMPFI_18462, AMPFI_10980
OG0000058	DROME14598	AMPFI_18481
OG0000060	DROME18201	AMPFI_19643
OG0000060	DROME02317, DROME02583, DROME02316	AMPFI_19058
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	AMPFI_05434
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	AMPFI_21664
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	AMPFI_04770
OG0000068	DROME18366, DROME18368, DROME18367	AMPFI_11929, AMPFI_04870
OG0000068	DROME18209	AMPFI_11524, AMPFI_11523, AMPFI_24985, AMPFI_16312, AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166
